,name,description,homepage,resource,category,projectrank,show,github_id,pypi_id,conda_id,github_url,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,license,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,trending,new_addition,go_id,updated_github_id,cran_id,pypi,gem_id,hex_id,bitbucket_id
95,ipycytoscape,A Cytoscape Jupyter widget.,https://github.com/QuantStack/ipycytoscape,,widgets,21,True,QuantStack/ipycytoscape,,conda-forge/ipycytoscape,https://github.com/QuantStack/ipycytoscape,2020-02-05 13:46:52.000000,2021-05-06 06:29:17.000000,2021-04-28 18:50:24.000000,40.0,50.0,74.0,136.0,597.0,2021-01-05 04:00:14.000000,1.2.0,2.0,1177.0,16.0,31.0,31.0,26.0,,BSD-3-Clause,,,,https://anaconda.org/conda-forge/ipycytoscape,2021-04-29 09:10:06.243000,16483.0,3.0,,,,,,,,,,,,,,,,,,,,
96,jupyter-packaging,Tools to help build and install Jupyter Python packages.,https://github.com/jupyter/jupyter-packaging,,components,21,True,jupyter/jupyter-packaging,jupyter-packaging,conda-forge/jupyter-packaging,https://github.com/jupyter/jupyter-packaging,2017-03-04 19:38:49.000000,2021-05-06 12:22:23.870000,2021-05-06 11:01:14.000000,35.0,5.0,15.0,29.0,252.0,2021-05-06 11:02:06.000000,0.10.1,,655399.0,28.0,2.0,,17.0,https://pypi.org/project/jupyter-packaging,BSD-3-Clause,2021-05-06 11:01:27.000000,2.0,644614.0,https://anaconda.org/conda-forge/jupyter-packaging,2021-05-06 12:22:23.870000,129426.0,3.0,,,,,,,,,,,,,,,,,,,,
97,ipydatawidgets,A set of widgets to help facilitate reuse of large datasets across widgets.,https://github.com/vidartf/ipydatawidgets,,widgets,21,False,vidartf/ipydatawidgets,ipydatawidgets,conda-forge/ipydatawidgets,https://github.com/vidartf/ipydatawidgets,2017-07-31 17:37:26.000000,2021-01-06 10:43:12.012000,2021-01-04 10:18:53.000000,6.0,3.0,5.0,24.0,266.0,2021-01-04 10:18:03.000000,4.2.0,,30869.0,16.0,326.0,300.0,5.0,https://pypi.org/project/ipydatawidgets,BSD-3-Clause,2021-01-04 10:18:03.000000,26.0,28463.0,https://anaconda.org/conda-forge/ipydatawidgets,2021-01-06 10:43:12.012000,84213.0,3.0,,,,,,,,,,,,,,,,,,,,
98,Hydrogen,"Run code interactively, inspect data, and plot. All the power of Jupyter kernels, inside your favorite text editor.",https://github.com/nteract/hydrogen,,notebook-environments,20,True,nteract/hydrogen,,,https://github.com/nteract/hydrogen,2015-05-11 01:16:55.000000,2021-05-03 14:47:47.000000,2021-04-18 14:20:30.000000,335.0,145.0,1080.0,3695.0,2287.0,2021-04-17 01:56:33.000000,2.15.3,,,86.0,,,86.0,,MIT,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,
99,ML Workspace,All-in-one web-based IDE specialized for machine learning and data science.,https://github.com/ml-tooling/ml-workspace,,notebook-environments,20,True,ml-tooling/ml-workspace,,,https://github.com/ml-tooling/ml-workspace,2019-05-27 16:55:15.000000,2021-05-05 10:16:39.000000,2021-01-15 13:13:35.000000,255.0,14.0,55.0,1934.0,,2021-01-11 00:36:32.000000,0.12.1,,17186.0,3.0,,,9.0,,Apache-2.0,,,,,,,3.0,mltooling/ml-workspace,https://hub.docker.com/r/mltooling/ml-workspace,2021-01-11 00:11:14.480525,16.0,412484.0,,,,,,,,,,,,,,,
100,What-If Tool,Source code/webpage/demos for the What-If Tool.,https://github.com/PAIR-code/what-if-tool,,widgets,20,True,PAIR-code/what-if-tool,witwidget,,https://github.com/PAIR-code/what-if-tool,2018-09-07 20:26:10.000000,2021-04-30 14:31:36.000000,2021-03-17 12:46:20.000000,103.0,37.0,37.0,505.0,319.0,2021-01-19 14:40:37.214000,1.8.0,,13160.0,38.0,0.0,,19.0,https://pypi.org/project/witwidget,Apache-2.0,2021-01-19 14:40:21.000000,0.0,9947.0,,,,3.0,,,,,,wit-widget,https://www.npmjs.com/package/wit-widget,2021-01-19 14:40:37.214000,,3213.0,,,,,,,,,,
101,nbtutor,Visualize Python code execution (line-by-line) in Jupyter Notebook cells.,https://github.com/lgpage/nbtutor,,widgets,20,True,lgpage/nbtutor,,conda-forge/nbtutor,https://github.com/lgpage/nbtutor,2016-11-07 14:08:25.000000,2021-03-07 20:10:37.000000,2021-02-21 18:17:10.000000,33.0,18.0,11.0,385.0,176.0,2016-12-23 12:20:44.000000,1.0.4,,1488.0,2.0,19.0,19.0,3.0,,BSD-3-Clause,,,,https://anaconda.org/conda-forge/nbtutor,2020-10-15 14:07:05.970000,78902.0,3.0,,,,,,,,,,,,,,,,,,,,
102,itkwidgets,"Interactive Jupyter widgets to visualize images, point sets, and meshes in 2D and 3D.",https://github.com/InsightSoftwareConsortium/itkwidgets,,widgets,20,True,InsightSoftwareConsortium/itkwidgets,itkwidgets,,https://github.com/InsightSoftwareConsortium/itkwidgets,2018-02-15 01:43:39.000000,2021-05-03 02:34:20.000000,2021-05-03 01:58:21.000000,46.0,69.0,94.0,356.0,838.0,2020-08-06 14:44:44.865000,0.32.0,50.0,10487.0,63.0,4.0,,19.0,https://pypi.org/project/itkwidgets,Apache-2.0,2020-08-06 14:41:06.000000,4.0,7897.0,,,,3.0,,,,,,itkwidgets,https://www.npmjs.com/package/itkwidgets,2020-08-06 14:44:44.865000,,2587.0,,,,,,,,,,
103,sos,SoS workflow system for daily data analysis.,https://github.com/vatlab/sos,,notebook-environments,20,True,vatlab/SOS,,,https://github.com/vatlab/sos,2016-02-13 00:46:46.000000,2021-02-26 19:51:47.000000,2021-02-26 19:51:31.000000,25.0,50.0,1352.0,202.0,7498.0,2019-05-21 01:06:30.000000,0.9.11,,,51.0,626.0,626.0,33.0,,BSD-3-Clause,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,
104,LTI Authenticator,A JupyterHub authenticator for LTI.,https://github.com/jupyterhub/ltiauthenticator,,hub-auth,20,True,jupyterhub/ltiauthenticator,jupyterhub-ltiauthenticator,,https://github.com/jupyterhub/ltiauthenticator,2017-12-15 02:54:15.000000,2021-04-26 16:50:30.000000,2021-04-26 12:14:12.000000,31.0,8.0,14.0,43.0,90.0,2020-12-04 12:44:11.000000,1.0.0,,3661.0,5.0,66.0,57.0,8.0,https://pypi.org/project/jupyterhub-ltiauthenticator,BSD-3-Clause,2020-12-04 12:44:11.000000,9.0,3661.0,,,,2.0,,,,,,,,,,,,,,,,,,,,
