,name,description,homepage,resource,category,projectrank,show,pypi_id,github_id,conda_id,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,license,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,trending,conda_dependent_project_count,go_id,go_url,go_latest_release_published_at,go_dependent_project_count,cran_id,pypi,gem_id,hex_id,bitbucket_id
146,OCaml Kernel,An OCaml kernel for Jupyter (IPython) notebook.,https://github.com/akabe/ocaml-jupyter,,kernels,19,True,,akabe/ocaml-jupyter,,https://github.com/akabe/ocaml-jupyter,2017-07-14 14:15:05.000,2022-01-12 10:03:23.000000,2022-01-12 10:01:35,332.0,16.0,30.0,9.0,111.0,3.0,64.0,212.0,2022-01-12 10:19:16.000,2.7.6,59250.0,1077.0,28.0,,,18.0,,MIT,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
147,ipydatagrid,Fast Datagrid widget for the Jupyter Notebook and JupyterLab.,https://github.com/bloomberg/ipydatagrid,,widgets,19,True,ipydatagrid,bloomberg/ipydatagrid,conda-forge/ipydatagrid,https://github.com/bloomberg/ipydatagrid,2019-07-19 09:06:19.000,2022-01-25 22:50:51.000000,2021-12-30 16:55:19,610.0,9.0,26.0,9.0,224.0,25.0,43.0,186.0,2021-12-19 22:06:58.000,1.1.8,,1582.0,28.0,,,10.0,https://pypi.org/project/ipydatagrid,BSD-3-Clause,2021-12-19 21:57:24.000,,576.0,https://anaconda.org/conda-forge/ipydatagrid,2021-12-19 22:56:34.519,10179.0,3.0,,,,,,ipydatagrid,https://www.npmjs.com/package/ipydatagrid,2021-12-08 17:54:39.735,,158.0,,,,,,,,,,,
148,JupyterLab Data Explorer,First class datasets in JupyterLab.,https://github.com/jupyterlab/jupyterlab-data-explorer,,lab-extensions,19,False,,jupyterlab/jupyterlab-data-explorer,,https://github.com/jupyterlab/jupyterlab-data-explorer,2019-01-03 21:57:42.000,2021-12-09 16:25:40.000000,2020-05-24 13:16:16,426.0,,35.0,31.0,57.0,57.0,34.0,161.0,2019-10-03 18:34:08.594,3.0.0,,128.0,17.0,15.0,10.0,9.0,,BSD-3-Clause,,,,,,,2.0,,,,,,@jupyterlab/dataregistry-extension,https://www.npmjs.com/package/@jupyterlab/dataregistry-extension,2019-10-03 18:34:08.594,5.0,128.0,,,,,,,,,,,
149,Spylon Kernel,Jupyter kernel for scala and spark.,https://github.com/vericast/spylon-kernel,,kernels,19,False,spylon-kernel,vericast/spylon-kernel,conda-forge/spylon-kernel,https://github.com/vericast/spylon-kernel,2016-11-21 02:23:14.000,2021-06-10 08:02:43.000000,2018-09-20 15:43:57,188.0,,24.0,12.0,25.0,17.0,18.0,154.0,2018-03-23 20:36:58.000,0.4.1,,6302.0,14.0,68.0,68.0,6.0,https://pypi.org/project/spylon-kernel,BSD-3-Clause,2018-03-23 20:36:58.000,,4955.0,https://anaconda.org/conda-forge/spylon-kernel,2018-10-05 21:02:27.447,80832.0,2.0,,,,,,,,,,,,,,,,,,,,,
150,Altair Viewer,Viewer for Altair and Vega-Lite visualizations.,https://github.com/altair-viz/altair_viewer,,widgets,19,True,altair_viewer,altair-viz/altair_viewer,conda-forge/altair_viewer,https://github.com/altair-viz/altair_viewer,2019-12-20 14:32:14.000,2022-01-14 00:49:57.000000,2022-01-14 00:49:56,117.0,9.0,8.0,4.0,43.0,3.0,4.0,49.0,2021-11-06 14:18:45.000,0.4.0,,366148.0,7.0,12.0,,3.0,https://pypi.org/project/altair_viewer,BSD-3-Clause,2021-11-06 14:16:09.000,12.0,365237.0,https://anaconda.org/conda-forge/altair_viewer,2021-11-06 17:22:59.600,22781.0,3.0,,,,,,,,,,,,,,,,,,,,,
151,jupyter-tabnine,Autocompletion with Deep Learning on Jupyter Notebook.,https://github.com/codota/jupyter-tabnine,,jupyter-extensions,18,True,jupyter-tabnine,codota/jupyter-tabnine,,https://github.com/codota/jupyter-tabnine,2019-09-07 00:30:49.000,2021-12-02 10:44:42.000000,2021-08-23 11:44:08,105.0,,103.0,16.0,14.0,42.0,24.0,735.0,2021-08-23 11:45:07.000,1.2.3,,9018.0,8.0,,,10.0,https://pypi.org/project/jupyter-tabnine,MIT,2021-08-23 11:45:07.000,,9018.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,
152,clojupyter,a Jupyter kernel for Clojure.,https://github.com/clojupyter/clojupyter,,kernels,18,True,,clojupyter/clojupyter,simplect/clojupyter,https://github.com/clojupyter/clojupyter,2014-05-09 07:09:06.000,2021-12-29 07:49:50.000000,2021-12-29 07:49:50,283.0,12.0,82.0,37.0,56.0,15.0,79.0,721.0,,,,90.0,7.0,,,26.0,,MIT,,,,https://anaconda.org/simplect/clojupyter,2020-03-02 14:14:22.302,2720.0,3.0,simplect/clojupyter,https://hub.docker.com/r/simplect/clojupyter,2019-04-25 08:25:07.304303,,349.0,,,,,,,,,,,,,,,,
153,Ansible Kernel,Jupyter Notebook Kernel for running Ansible Tasks and Playbooks.,https://github.com/ansible/ansible-jupyter-kernel,,kernels,18,True,ansible-kernel,ansible/ansible-jupyter-kernel,conda-forge/ansible-kernel,https://github.com/ansible/ansible-jupyter-kernel,2018-06-26 14:28:02.000,2022-01-04 14:36:11.000000,2022-01-04 14:36:11,210.0,2.0,50.0,19.0,51.0,13.0,29.0,477.0,2018-12-12 18:30:14.000,0.9.0,,1866.0,10.0,8.0,8.0,10.0,https://pypi.org/project/ansible-kernel,Apache-2.0,2018-12-12 18:30:14.000,,82.0,https://anaconda.org/conda-forge/ansible-kernel,2020-01-14 12:34:24.230,8821.0,3.0,benthomasson/ansible-jupyter-kernel,https://hub.docker.com/r/benthomasson/ansible-jupyter-kernel,2018-12-12 18:42:31.528778,2.0,66419.0,,,,,,,,,,,,,,,,
154,GPU Dashboards,A JupyterLab extension for displaying dashboards of GPU usage.,https://github.com/rapidsai/jupyterlab-nvdashboard,,lab-extensions,18,True,jupyterlab-nvdashboard,rapidsai/jupyterlab-nvdashboard,conda-forge/jupyterlab-nvdashboard,https://github.com/rapidsai/jupyterlab-nvdashboard,2019-08-12 15:22:10.000,2022-02-02 17:51:21.000000,2022-02-02 17:40:22,187.0,2.0,53.0,15.0,66.0,27.0,28.0,444.0,2021-05-25 18:05:21.000,0.6.0,,8434.0,100.0,,,15.0,https://pypi.org/project/jupyterlab-nvdashboard,BSD-3-Clause,2022-02-02 17:51:21.000,,4005.0,https://anaconda.org/conda-forge/jupyterlab-nvdashboard,2021-05-30 13:00:25.332,17161.0,2.0,,,,,,jupyterlab-nvdashboard,https://www.npmjs.com/package/jupyterlab-nvdashboard,2021-04-27 07:19:46.929,,3769.0,,,,,,,,,,,
155,nb_conda_kernels,Package for managing conda environment-based kernels inside of Jupyter.,https://github.com/Anaconda-Platform/nb_conda_kernels,,kernels,18,False,,Anaconda-Platform/nb_conda_kernels,conda-forge/nb_conda_kernels,https://github.com/Anaconda-Platform/nb_conda_kernels,2015-12-10 16:11:42.000,2022-01-26 14:48:39.000000,2020-11-30 15:55:07,335.0,,54.0,18.0,86.0,33.0,97.0,431.0,2020-09-05 22:35:32.000,2.3.0,,7906.0,11.0,,,14.0,,BSD-3-Clause,,,,https://anaconda.org/conda-forge/nb_conda_kernels,2021-11-15 18:27:32.236,537658.0,3.0,,,,,,,,,,,,,,,,,,,,,
