,name,description,homepage,resource,category,projectrank,show,github_id,pypi_id,conda_id,github_url,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,license,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,trending,conda_dependent_project_count,go_id,cran_id,gem_id,pypi,hex_id,bitbucket_id
25,nbclient,A client library for executing notebooks. Formally nbconvert's ExecutePreprocessor.,https://github.com/jupyter/nbclient,,notebook-tools,28,True,jupyter/nbclient,nbclient,conda-forge/nbclient,https://github.com/jupyter/nbclient,2020-01-13 17:29:49.000000,2021-08-16 13:35:11.226000,2021-08-16 09:08:48.000000,32.0,27.0,48.0,72.0,203.0,2021-08-16 09:10:16.000000,0.5.4,,92061.0,15.0,27347.0,27347.0,22.0,https://pypi.org/project/nbclient,BSD-3-Clause,2021-08-16 09:09:59.000000,0.0,,https://anaconda.org/conda-forge/nbclient,2021-08-16 13:35:11.226000,1749173.0,1.0,,,,,,,,,,,,,,,,,,
26,Contrib NBextensions,A collection of various notebook extensions for Jupyter.,https://github.com/ipython-contrib/jupyter_contrib_nbextensions,,jupyter-extensions,27,True,ipython-contrib/jupyter_contrib_nbextensions,jupyter_contrib_nbextensions,,https://github.com/ipython-contrib/jupyter_contrib_nbextensions,2013-07-13 17:05:16.000000,2021-05-21 19:21:38.000000,2021-04-06 05:51:36.000000,737.0,332.0,448.0,4663.0,2608.0,2019-01-02 12:23:07.000000,0.5.1,,206519.0,16.0,494.0,,127.0,https://pypi.org/project/jupyter_contrib_nbextensions,BSD-3-Clause,2018-03-28 11:04:12.000000,494.0,206519.0,,,,1.0,,,,,,,,,,,,,,,,,,
27,Perspective,Streaming pivot visualization via WebAssembly.,https://github.com/finos/perspective,,lab-extensions,27,True,finos/perspective,perspective-python,,https://github.com/finos/perspective,2017-11-02 16:27:54.000000,2021-09-08 04:49:29.000000,2021-09-07 11:02:04.000000,386.0,75.0,372.0,3537.0,4645.0,2021-08-31 15:53:28.000000,0.10.2,,2411.0,49.0,216.0,208.0,64.0,https://pypi.org/project/perspective-python,Apache-2.0,2021-08-31 15:53:28.000000,8.0,,,,,1.0,,,,,,@finos/perspective-jupyterlab,https://www.npmjs.com/package/@finos/perspective-jupyterlab,2021-08-31 19:12:37.891000,,2411.0,,,,,,,,
28,Jupyter Book,"Create beautiful, publication-quality books and documents from computational content.",https://github.com/executablebooks/jupyter-book,,notebook-sharing,27,True,executablebooks/jupyter-book,jupyter-book,,https://github.com/executablebooks/jupyter-book,2018-06-14 01:55:51.000000,2021-09-04 15:20:37.000000,2021-09-02 03:24:35.000000,380.0,327.0,555.0,2393.0,1277.0,2021-08-25 04:10:41.000000,0.11.3,,19088.0,36.0,44.0,,85.0,https://pypi.org/project/jupyter-book,BSD-3-Clause,2021-08-25 04:10:41.000000,44.0,19088.0,,,,2.0,,,,,,,,,,,,,,,,,,
29,sparkmagic,Jupyter magics and kernels for working with remote Spark clusters.,https://github.com/jupyter-incubator/sparkmagic,,magic,27,True,jupyter-incubator/sparkmagic,sparkmagic,conda-forge/sparkmagic,https://github.com/jupyter-incubator/sparkmagic,2015-09-21 15:35:25.000000,2021-09-05 18:07:37.000000,2021-08-27 16:25:58.000000,370.0,131.0,254.0,1037.0,1160.0,2021-08-27 16:28:41.000000,0.19.1,,45657.0,48.0,240.0,206.0,53.0,https://pypi.org/project/sparkmagic,BSD-3-Clause,2021-08-19 13:52:26.000000,34.0,44952.0,https://anaconda.org/conda-forge/sparkmagic,2021-08-17 12:12:12.530000,34587.0,1.0,,,,,,,,,,,,,,,,,,
30,JupyterLab Git,A Git extension for JupyterLab.,https://github.com/jupyterlab/jupyterlab-git,,lab-extensions,27,True,jupyterlab/jupyterlab-git,jupyterlab-git,conda-forge/jupyterlab-git,https://github.com/jupyterlab/jupyterlab-git,2017-06-20 17:31:00.000000,2021-09-05 15:49:55.000000,2021-09-03 07:13:48.000000,199.0,92.0,405.0,952.0,1715.0,2021-08-19 09:49:40.000000,0.32.2,,129271.0,46.0,43.0,13.0,64.0,https://pypi.org/project/jupyterlab-git,BSD-3-Clause,2021-08-19 09:49:40.000000,30.0,126509.0,https://anaconda.org/conda-forge/jupyterlab-git,2021-08-19 12:10:53.941000,91171.0,1.0,,,,,,,,,,,,,,,,,,
31,Jupyter Themes,Custom Jupyter Notebook Themes.,https://github.com/dunovank/jupyter-themes,,jupyter-extensions,26,True,dunovank/jupyter-themes,jupyterthemes,,https://github.com/dunovank/jupyter-themes,2014-12-10 23:22:23.000000,2021-08-23 17:19:43.000000,2021-08-23 17:19:38.000000,967.0,205.0,196.0,8697.0,634.0,2018-11-22 17:02:16.000000,0.20.0,,32480.0,116.0,190.0,,42.0,https://pypi.org/project/jupyterthemes,MIT,2018-11-22 17:02:16.000000,190.0,32480.0,,,,1.0,,,,,,,,,,,,,,,,,,
32,facets-overview,Visualizations for machine learning datasets.,https://github.com/PAIR-code/facets,,widgets,26,True,pair-code/facets,facets-overview,,https://github.com/PAIR-code/facets,2017-07-07 14:03:03.000000,2021-08-16 22:05:29.000000,2021-05-06 12:01:05.000000,834.0,76.0,76.0,6669.0,264.0,2019-07-24 15:57:06.000000,1.0.0,,118642.0,4.0,72.0,66.0,28.0,https://pypi.org/project/facets-overview,Apache-2.0,2019-07-24 15:57:06.000000,6.0,118642.0,,,,2.0,,,,,,,,,,,,,,,,,,
33,nteract,The interactive computing suite for you!.,https://github.com/nteract/nteract,,notebook-environments,26,True,nteract/nteract,nteract_on_jupyter,,https://github.com/nteract/nteract,2015-06-15 23:21:49.000000,2021-09-03 18:17:19.000000,2021-08-30 18:40:42.000000,552.0,153.0,1509.0,5623.0,10501.0,2021-01-26 05:18:38.000000,0.28.0,1239589.0,22347.0,66.0,5.0,,173.0,https://pypi.org/project/nteract_on_jupyter,BSD-3-Clause,2019-07-16 03:59:16.000000,5.0,2979.0,,,,2.0,,,,,,,,,,,,,,,,,,
34,papermill,"Parameterize, execute, and analyze notebooks.",https://github.com/nteract/papermill,,widgets,26,True,nteract/papermill,papermill,conda-forge/papermill,https://github.com/nteract/papermill,2017-07-06 17:17:53.000000,2021-08-31 04:39:30.000000,2021-08-31 04:39:29.000000,319.0,91.0,228.0,4297.0,,2021-03-09 17:54:04.000000,2.3.3,,373360.0,70.0,1778.0,1628.0,93.0,https://pypi.org/project/papermill,BSD-3-Clause,2021-03-09 17:54:04.000000,150.0,368409.0,https://anaconda.org/conda-forge/papermill,2021-03-11 16:25:12.955000,183189.0,2.0,,,,,,,,,,,,,,,,,,
