,name,description,homepage,resource,category,projectrank,show,pypi_id,github_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,pypi_latest_release_published_at,pypi_dependent_project_count,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_monthly_downloads,npm_latest_release_published_at,npm_dependent_project_count,conda_dependent_project_count,updated_github_id,trending,cran_id,pypi,go_id,go_url,go_latest_release_published_at,go_dependent_project_count,gem_id,hex_id,docs_url,bitbucket_id
162,gpu-jupyter,GPU-Jupyter: Leverage the flexibility of Jupyterlab through the power of your NVIDIA GPU to run your code from..,https://github.com/iot-salzburg/gpu-jupyter,,notebook-environments,18,True,,iot-salzburg/gpu-jupyter,,https://github.com/iot-salzburg/gpu-jupyter,Apache-2.0,2019-11-12 20:10:23.000,2024-01-28 21:54:25.000000,2024-01-24 13:59:49,311.0,46.0,222.0,20.0,51.0,3.0,84.0,622.0,2023-12-19 15:55:23.000,1.5_cuda-12.0_ubuntu-22.04,,,7.0,,,15.0,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
163,JupyterLab Latex,JupyterLab extension for live editing of LaTeX documents.,https://github.com/jupyterlab/jupyterlab-latex,,lab-renderer,18,True,jupyterlab_latex,jupyterlab/jupyterlab-latex,conda-forge/jupyterlab-latex,https://github.com/jupyterlab/jupyterlab-latex,BSD-3-Clause,2017-10-24 02:12:37.000,2023-10-31 13:45:02.000000,2023-10-31 13:44:58,446.0,,67.0,15.0,131.0,33.0,57.0,595.0,2023-05-31 04:26:11.000,3.2.0,,2548.0,3.0,,,23.0,https://pypi.org/project/jupyterlab_latex,1977.0,https://anaconda.org/conda-forge/jupyterlab-latex,2023-06-16 19:18:37.104,13156.0,3.0,,,,,,,,@jupyterlab/latex,https://www.npmjs.com/package/@jupyterlab/latex,285.0,,,,,,,,,,,,,,,
164,jupyter-tensorboard,Start Tensorboard in Jupyter Notebook.,https://github.com/lspvic/jupyter_tensorboard,,jupyter-extensions,18,False,jupyter-tensorboard,lspvic/jupyter_tensorboard,,https://github.com/lspvic/jupyter_tensorboard,MIT,2017-08-22 08:05:13.000,2022-06-14 12:29:55.000000,2020-02-16 06:42:48,69.0,,79.0,16.0,10.0,45.0,29.0,464.0,2020-02-16 07:15:03.000,0.2.0,,1433.0,19.0,32.0,,4.0,https://pypi.org/project/jupyter-tensorboard,1433.0,,,,3.0,,2020-02-16 07:15:03.000,32.0,,,,,,,,,,,,,,,,,,,,,,
165,JupyterLab Google Drive,Cloud storage for JupyterLab using Google Drive.,https://github.com/jupyterlab/jupyterlab-google-drive,,lab-extensions,18,True,,jupyterlab/jupyterlab-google-drive,,https://github.com/jupyterlab/jupyterlab-google-drive,BSD-3-Clause,2016-12-17 01:40:45.000,2023-08-03 16:55:22.000000,2023-08-03 16:55:22,516.0,,78.0,34.0,118.0,50.0,99.0,398.0,2020-05-27 00:10:19.202,2.0.0,,364.0,32.0,7.0,5.0,17.0,,,,,,2.0,,,,,,,,@jupyterlab/google-drive,https://www.npmjs.com/package/@jupyterlab/google-drive,364.0,2020-05-27 00:10:19.202,2.0,,,,,,,,,,,,,
166,jupyterlab-execute-time,A JupyterLab extension for displaying cell timings.,https://github.com/deshaw/jupyterlab-execute-time,,lab-extensions,18,True,jupyterlab-execute-time,deshaw/jupyterlab-execute-time,conda-forge/jupyterlab_execute_time,https://github.com/deshaw/jupyterlab-execute-time,BSD-3-Clause,2020-04-07 22:27:30.000,2024-02-15 00:39:31.021000,2024-02-14 22:31:10,60.0,5.0,43.0,8.0,50.0,8.0,54.0,323.0,,,,48172.0,13.0,4.0,4.0,17.0,https://pypi.org/project/jupyterlab-execute-time,45356.0,https://anaconda.org/conda-forge/jupyterlab_execute_time,2024-02-15 00:39:31.021,57865.0,2.0,,,,,,,,jupyterlab-execute-time,https://www.npmjs.com/package/jupyterlab-execute-time,1253.0,,,,,,,,,,,,,,,
167,treon,Easy to use test framework for Jupyter Notebooks.,https://github.com/ReviewNB/treon,,notebook-tools,18,False,treon,ReviewNB/treon,conda-forge/treon,https://github.com/ReviewNB/treon,MIT,2019-03-29 15:02:35.000,2023-06-16 19:26:36.235000,2022-08-04 11:15:04,66.0,,23.0,13.0,12.0,3.0,10.0,293.0,,,,17837.0,2.0,101.0,101.0,5.0,https://pypi.org/project/treon,17555.0,https://anaconda.org/conda-forge/treon,2023-06-16 19:26:36.235,9049.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
168,naas,"Low-code Python library to safely use notebooks in production: schedule workflows, generate assets, trigger webhooks,..",https://github.com/jupyter-naas/naas,,notebook-tools,18,True,naas,jupyter-naas/naas,,https://github.com/jupyter-naas/naas,AGPL-3.0,2020-09-20 17:09:00.000,2024-02-06 13:28:23.000000,2024-01-15 13:40:53,1852.0,18.0,23.0,4.0,249.0,40.0,144.0,268.0,,,,2500.0,,4.0,4.0,20.0,https://pypi.org/project/naas,2500.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
169,HTTP-over-WebSocket,Jupyter support for HTTP-over-ws.,https://github.com/googlecolab/jupyter_http_over_ws,,jupyter-extensions,18,False,jupyter_http_over_ws,googlecolab/jupyter_http_over_ws,conda-forge/jupyter_http_over_ws,https://github.com/googlecolab/jupyter_http_over_ws,Apache-2.0,2018-03-26 22:52:45.000,2023-06-16 19:21:18.164000,2021-08-30 21:48:24,31.0,,50.0,13.0,2.0,21.0,9.0,265.0,2020-03-12 16:09:39.000,0.0.8,,54243.0,10.0,20.0,,3.0,https://pypi.org/project/jupyter_http_over_ws,52939.0,https://anaconda.org/conda-forge/jupyter_http_over_ws,2023-06-16 19:21:18.164,54795.0,3.0,,2020-03-12 16:09:39.000,20.0,,,,,,,,,,,,,,,,,,,,,,
170,nbinteract,Create interactive webpages from Jupyter Notebooks.,https://github.com/SamLau95/nbinteract,,notebook-sharing,18,True,nbinteract,SamLau95/nbinteract,,https://github.com/SamLau95/nbinteract,BSD-3-Clause,2017-08-31 00:16:20.000,2024-02-13 21:24:04.000000,2024-02-13 21:24:04,595.0,5.0,22.0,8.0,117.0,28.0,42.0,226.0,,,,25623.0,,4.0,4.0,8.0,https://pypi.org/project/nbinteract,25531.0,,,,3.0,,,,,,,,nbinteract,https://www.npmjs.com/package/nbinteract,92.0,,,,,,,,,,,,,,,
171,SAS Kernel,A Jupyter kernel for SAS. This opens up all the data manipulation and analytics capabilities of your SAS system within..,https://github.com/sassoftware/sas_kernel,,kernels,18,False,sas_kernel,sassoftware/sas_kernel,anaconda/sas_kernel,https://github.com/sassoftware/sas_kernel,Apache-2.0,2016-04-01 16:19:50.000,2023-06-16 13:24:59.052000,2023-01-13 14:14:25,262.0,,81.0,37.0,29.0,1.0,58.0,196.0,2022-12-01 21:51:02.000,2.4.13,,3893.0,15.0,,,11.0,https://pypi.org/project/sas_kernel,3859.0,https://anaconda.org/anaconda/sas_kernel,2023-06-16 13:24:59.052,2598.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
