,name,description,homepage,resource,category,projectrank,show,github_id,pypi_id,conda_id,github_url,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,license,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,trending,go_id,cran_id,gem_id,pypi,updated_github_id,hex_id,bitbucket_id
247,nbgallery,Enterprise Jupyter notebook sharing and collaboration app.,https://github.com/nbgallery/nbgallery,,notebook-sharing,11,True,nbgallery/nbgallery,,,https://github.com/nbgallery/nbgallery,2017-01-10 19:18:40.000000,2021-03-11 13:26:46.738044,2021-03-09 17:10:02.000000,20.0,65.0,198.0,138.0,,,,,691.0,,,,18.0,,MIT,,,,,,,3.0,nbgallery/nbgallery,https://hub.docker.com/r/nbgallery/nbgallery,2021-03-11 13:26:46.738044,3.0,34565.0,,,,,,,,,,,,,,
248,jupyter-manim,manim cell magic for IPython/Jupyter to show the output video.,https://github.com/krassowski/jupyter-manim,,magic,11,True,krassowski/jupyter-manim,,,https://github.com/krassowski/jupyter-manim,2019-05-22 14:18:39.000000,2021-02-05 05:42:05.000000,2021-02-05 05:42:04.000000,8.0,6.0,15.0,131.0,38.0,2020-04-12 11:15:09.000000,1.3,,,6.0,,,4.0,,MIT,,,,,,,3.0,,,,,,,,,,,,,,,,,,,
249,jupyter-flex,Build dashboards using Jupyter Notebooks.,https://github.com/danielfrg/jupyter-flex,,notebook-sharing,11,True,danielfrg/jupyter-flex,,,https://github.com/danielfrg/jupyter-flex,2019-12-13 20:19:40.000000,2020-12-21 17:35:39.000000,2020-12-21 17:35:37.000000,20.0,3.0,26.0,117.0,243.0,,,,,,12.0,12.0,2.0,,Apache-2.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,
250,xeus-sqlite,Jupyter kernel for SQLite.,https://github.com/jupyter-xeus/xeus-sqlite,,kernels,11,True,jupyter-xeus/xeus-sqlite,,,https://github.com/jupyter-xeus/xeus-sqlite,2020-03-11 11:24:36.000000,2021-02-17 12:11:51.000000,2021-02-17 12:11:51.000000,20.0,19.0,19.0,109.0,251.0,,,,,,,,11.0,,BSD-3-Clause,,,,,,,3.0,,,,,,,,,,,,,,,,,,,
251,jnotebook-reader,"An awesome viewer to browse and render Jupyter Notebooks from local, Amazon S3, Google Cloud Storage or MinIO.",https://github.com/line/jnotebook_reader,,notebook-sharing,11,True,line/jnotebook_reader,,,https://github.com/line/jnotebook_reader,2020-10-30 02:50:59.000000,2021-02-10 02:34:20.000000,2021-02-10 02:29:57.000000,11.0,,1.0,71.0,12.0,2021-02-10 02:34:21.000000,1.0.2,,,3.0,,,4.0,,Apache-2.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,
252,JupyterLab Email,A jupyterlab extension to email notebooks directly from JupyterLab.,https://github.com/timkpaine/jupyterlab_email,,lab-extensions,11,True,timkpaine/jupyterlab_email,jupyterlab_email,,https://github.com/timkpaine/jupyterlab_email,2018-08-07 14:14:40.000000,2021-01-31 22:58:03.000000,2021-01-31 22:57:59.000000,2.0,4.0,30.0,46.0,,2020-06-25 16:29:14.000000,0.2.3,,735.0,14.0,,,1.0,https://pypi.org/project/jupyterlab_email,Apache-2.0,2019-06-30 05:06:14.000000,,37.0,,,,3.0,,,,,,jupyterlab_email,https://www.npmjs.com/package/jupyterlab_email,2020-06-25 16:28:34.913000,,698.0,,,,,,,,,
253,ipyp5,p5.js Jupyter Widget.,https://github.com/jtpio/ipyp5,,widgets,11,True,jtpio/ipyp5,ipyp5,,https://github.com/jtpio/ipyp5,2018-03-06 17:50:12.000000,2021-03-08 20:14:13.000000,2020-10-16 21:38:41.000000,4.0,4.0,,26.0,60.0,2019-07-06 21:45:12.000000,0.1.1,,7.0,2.0,,,2.0,https://pypi.org/project/ipyp5,BSD-3-Clause,2019-07-06 21:45:12.000000,,7.0,,,,3.0,,,,,,,,,,,,,,,,,,,
254,Horizon Theme,VSCode Horizon Theme port for JupyterLab.,https://github.com/mohirio/jupyterlab-horizon-theme,,lab-themes,11,False,mohirio/jupyterlab-horizon-theme,,,https://github.com/mohirio/jupyterlab-horizon-theme,2019-06-07 08:46:59.000000,2020-03-15 08:30:17.000000,2020-03-15 08:30:11.000000,1.0,1.0,2.0,24.0,20.0,2020-03-15 08:27:05.301000,2.0.0,,2675.0,11.0,,,1.0,,BSD-3-Clause,,,,,,,3.0,,,,,,@mohirio/jupyterlab-horizon-theme,https://www.npmjs.com/package/@mohirio/jupyterlab-horizon-theme,2020-03-15 08:27:05.301000,,2675.0,,,,,,,,,
255,YarnSpawner,Spawn JupyterHub single user notebook servers in Hadoop/YARN containers.,https://github.com/jupyterhub/yarnspawner,,hub-spawners,11,False,jupyterhub/yarnspawner,jupyterhub-yarnspawner,conda-forge/jupyterhub-yarnspawner,https://github.com/jupyterhub/yarnspawner,2018-12-18 19:31:03.000000,2020-10-08 04:16:29.489000,2019-07-16 16:58:16.000000,8.0,4.0,4.0,18.0,37.0,2019-07-01 16:01:55.000000,0.4.0,,738.0,4.0,,,2.0,https://pypi.org/project/jupyterhub-yarnspawner,BSD-3-Clause,2019-07-01 16:01:55.000000,,19.0,https://anaconda.org/conda-forge/jupyterhub-yarnspawner,2020-10-08 04:16:29.489000,18714.0,3.0,,,,,,,,,,,,,,,,,,,
256,Remote Authenticator,"A collection of JupyterHub Authenticators, including Header, Remote-User and Dummy, based on..",https://github.com/ucphhpc/jhub-authenticators,,hub-auth,11,True,rasmunk/jhub-authenticators,jhub-authenticators,,https://github.com/ucphhpc/jhub-authenticators,2017-12-20 14:46:18.000000,2021-02-03 20:38:01.000000,2021-02-03 19:25:30.000000,1.0,,,,178.0,2021-02-03 20:38:01.000000,0.3.1,,48.0,11.0,,,5.0,https://pypi.org/project/jhub-authenticators,GPL-3.0,2021-02-03 20:38:01.000000,,48.0,,,,3.0,,,,,,,,,,,,,,,,,ucphhpc/jhub-authenticators,,
257,jupyter2slides,Cloud Native Presentation Slides with Jupyter Notebook + Reveal.js.,https://github.com/datitran/jupyter2slides,,notebook-tools,10,False,datitran/jupyter2slides,,,https://github.com/datitran/jupyter2slides,2016-07-26 12:38:17.000000,2019-09-03 14:54:44.000000,2018-12-28 18:34:22.000000,168.0,11.0,4.0,762.0,11.0,,,,,,,,1.0,,MIT,,,,,,,3.0,,,,,,,,,,,,,,,,,,,
258,ipyannotate,Jupyter Widget for data annotation.,https://github.com/ipyannotate/ipyannotate,,widgets,10,False,ipyannotate/ipyannotate,ipyannotate,,https://github.com/ipyannotate/ipyannotate,2018-07-23 19:23:28.000000,2021-03-08 20:42:30.000000,2020-09-20 09:38:39.000000,8.0,4.0,,108.0,27.0,,,,47.0,2.0,,,3.0,https://pypi.org/project/ipyannotate,,2018-07-29 08:53:50.000000,,24.0,,,,3.0,,,,,,ipyannotate,https://www.npmjs.com/package/ipyannotate,2018-10-05 14:26:44.945000,,23.0,,,,,,,,,
259,WrapSpawner,Mechanism for runtime configuration of spawners for JupyterHub.,https://github.com/jupyterhub/wrapspawner,,hub-spawners,10,True,jupyterhub/wrapspawner,,,https://github.com/jupyterhub/wrapspawner,2016-09-21 21:48:31.000000,2020-11-04 16:06:52.000000,2020-11-04 16:06:52.000000,41.0,18.0,13.0,38.0,28.0,,,,,,,,15.0,,BSD-3-Clause,,,,,,,3.0,,,,,,,,,,,,,,,,,,,
260,Nord Theme,JupyterLab - Nord Theme.,https://github.com/kenshohara/theme-nord-extension,,lab-themes,10,False,kenshohara/theme-nord-extension,,,https://github.com/kenshohara/theme-nord-extension,2019-06-11 02:09:21.000000,2020-09-20 09:11:33.000000,2020-09-20 09:10:43.000000,1.0,5.0,3.0,23.0,13.0,2020-09-20 07:58:25.186000,2.2.5,,35.0,7.0,,,1.0,,BSD-3-Clause,,,,,,,3.0,,,,,,@kenshohara/theme-nord-extension,https://www.npmjs.com/package/@kenshohara/theme-nord-extension,2020-09-20 07:58:25.186000,,35.0,,,,,,,,,
261,CAS Authenticator,CAS authenticator for Jupyterhub.,https://github.com/cwaldbieser/jhub_cas_authenticator,,hub-auth,10,False,cwaldbieser/jhub_cas_authenticator,jhub_cas_authenticator,,https://github.com/cwaldbieser/jhub_cas_authenticator,2017-09-17 19:17:08.000000,2020-03-27 22:25:50.000000,2020-03-27 22:23:51.000000,10.0,1.0,10.0,15.0,40.0,2020-03-27 22:25:50.000000,1.0.2,,107.0,7.0,1.0,,4.0,https://pypi.org/project/jhub_cas_authenticator,GPL-3.0,2020-03-27 22:25:50.000000,1.0,107.0,,,,3.0,,,,,,,,,,,,,,,,,,,
