,name,description,homepage,resource,category,projectrank,show,pypi_id,github_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,conda_dependent_project_count,updated_github_id,cran_id,pypi,go_id,go_url,go_latest_release_published_at,go_dependent_project_count,gem_id,hex_id,bitbucket_id
123,ipyvue,Jupyter widgets base for Vue libraries.,https://github.com/widgetti/ipyvue,,widgets,22,True,ipyvue,mariobuikhuizen/ipyvue,conda-forge/ipyvue,https://github.com/widgetti/ipyvue,MIT,2019-08-11 10:10:05.000,2023-02-23 20:04:44.000000,2023-02-23 20:04:13,107.0,17.0,12.0,5.0,59.0,3.0,5.0,48.0,2023-02-23 19:57:58.885,1.9.0,,145965.0,25.0,439.0,409.0,3.0,https://pypi.org/project/ipyvue,2022-09-22 15:30:48.129,18.0,139624.0,https://anaconda.org/conda-forge/ipyvue,2022-09-26 08:51:09.246,77836.0,3.0,,jupyter-vue,https://www.npmjs.com/package/jupyter-vue,2023-02-23 19:57:28.315,12.0,4531.0,,,,,,,widgetti/ipyvue,,,,,,,,,
124,ipydatawidgets,A set of widgets to help facilitate reuse of large datasets across widgets.,https://github.com/vidartf/ipydatawidgets,,widgets,22,True,ipydatawidgets,vidartf/ipydatawidgets,conda-forge/ipydatawidgets,https://github.com/vidartf/ipydatawidgets,BSD-3-Clause,2017-07-31 17:37:26.000,2023-03-15 04:40:31.000000,2023-02-19 22:18:22,300.0,3.0,9.0,5.0,46.0,7.0,9.0,36.0,2023-02-19 22:37:47.000,4.3.3,,90695.0,20.0,745.0,719.0,5.0,https://pypi.org/project/ipydatawidgets,2022-08-24 15:30:20.601,26.0,86902.0,https://anaconda.org/conda-forge/ipydatawidgets,2022-08-24 16:21:19.099,216242.0,3.0,,,,,,,,,,,,,,,,,,,,,,
125,ML Workspace,All-in-one web-based IDE specialized for machine learning and data science.,https://github.com/ml-tooling/ml-workspace,,notebook-environments,21,False,,ml-tooling/ml-workspace,,https://github.com/ml-tooling/ml-workspace,Apache-2.0,2019-05-27 16:55:15.000,2022-12-25 14:22:01.000000,2021-11-22 20:42:15,846.0,,378.0,71.0,32.0,3.0,90.0,3006.0,2021-07-13 22:12:59.000,0.13.2,,11266.0,4.0,,,11.0,,,,,,,,3.0,,,,,,,mltooling/ml-workspace,https://hub.docker.com/r/mltooling/ml-workspace,2021-07-13 16:32:15.225256,26.0,518270.0,,,,,,,,,,,
126,IJulia.jl,Julia kernel for Jupyter.,https://github.com/JuliaLang/IJulia.jl,,kernels,21,True,,JuliaLang/IJulia.jl,,https://github.com/JuliaLang/IJulia.jl,MIT,2013-03-05 18:20:21.000,2023-01-17 17:13:36.000000,2023-01-17 17:10:37,713.0,5.0,397.0,121.0,263.0,125.0,694.0,2596.0,2022-12-20 22:13:40.000,1.24.0,,,43.0,,,106.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
127,IHaskell,A Haskell kernel for the Jupyter project.,https://github.com/IHaskell/IHaskell,,kernels,21,True,,gibiansky/IHaskell,,https://github.com/IHaskell/IHaskell,MIT,2013-08-26 07:16:09.000,2023-03-03 11:53:17.000000,2023-03-03 11:53:17,2157.0,3.0,250.0,47.0,637.0,48.0,718.0,2452.0,2018-08-01 13:19:52.714,0.0.6,,12.0,6.0,,,111.0,,,,,,,,2.0,,ihaskell_jupyterlab,https://www.npmjs.com/package/ihaskell_jupyterlab,2018-08-01 13:19:52.714,,12.0,,,,,,,IHaskell/IHaskell,,,,,,,,,
128,colabcode,Run VSCode (codeserver) on Google Colab or Kaggle Notebooks.,https://github.com/abhishekkrthakur/colabcode,,others,21,False,colabcode,abhishekkrthakur/colabcode,,https://github.com/abhishekkrthakur/colabcode,MIT,2020-09-09 10:06:26.000,2022-08-22 10:08:00.000000,2021-06-11 15:16:36,44.0,,284.0,18.0,39.0,63.0,33.0,1897.0,2021-06-11 15:17:12.000,0.3.0,,3662.0,13.0,97.0,97.0,8.0,https://pypi.org/project/colabcode,2021-06-11 15:17:12.000,,3662.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
129,notedown,Markdown = IPython Notebook.,https://github.com/aaren/notedown,,notebook-sharing,21,False,notedown,aaren/notedown,conda-forge/notedown,https://github.com/aaren/notedown,BSD-2-Clause,2014-02-17 17:28:59.000,2021-10-18 21:21:21.000000,2017-11-16 19:29:56,264.0,,114.0,20.0,29.0,46.0,29.0,843.0,2017-11-16 17:59:43.000,1.5.1,,5830.0,26.0,242.0,214.0,7.0,https://pypi.org/project/notedown,2017-11-16 17:59:43.000,28.0,5221.0,https://anaconda.org/conda-forge/notedown,2018-06-07 01:28:24.567,34769.0,3.0,,,,,,,,,,,,,,,,,,,,,,
130,Bash Kernel,A bash kernel for IPython.,https://github.com/takluyver/bash_kernel,,kernels,21,True,bash_kernel,takluyver/bash_kernel,conda-forge/bash_kernel,https://github.com/takluyver/bash_kernel,BSD-3-Clause,2014-06-27 00:27:25.000,2022-12-23 18:21:53.000000,2022-12-18 09:16:32,101.0,3.0,127.0,27.0,30.0,36.0,63.0,627.0,2022-12-17 19:23:02.426,0.9.0,,14414.0,12.0,28.0,,16.0,https://pypi.org/project/bash_kernel,2022-12-17 19:23:02.426,28.0,11933.0,https://anaconda.org/conda-forge/bash_kernel,2022-12-19 09:25:54.193,104224.0,2.0,,,,,,,,,,,,,,,,,,,,,,
131,pick,Customize your kernels on Launch!.,https://github.com/nteract/pick,,magic,21,False,pick,nteract/pick,,https://github.com/nteract/pick,BSD-3-Clause,2020-04-08 23:47:09.000,2022-11-21 06:29:00.831000,2020-11-04 01:10:24,87.0,,52.0,5.0,26.0,4.0,5.0,573.0,2022-11-21 06:29:00.831,2.2.0,,61070.0,29.0,126.0,,5.0,https://pypi.org/project/pick,2022-11-21 06:29:00.831,126.0,61070.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
132,GPU Dashboards,A JupyterLab extension for displaying dashboards of GPU usage.,https://github.com/rapidsai/jupyterlab-nvdashboard,,lab-extensions,21,True,jupyterlab-nvdashboard,rapidsai/jupyterlab-nvdashboard,conda-forge/jupyterlab-nvdashboard,https://github.com/rapidsai/jupyterlab-nvdashboard,BSD-3-Clause,2019-08-12 15:22:10.000,2023-03-14 21:54:46.000000,2023-02-15 09:46:02,228.0,6.0,66.0,15.0,90.0,33.0,38.0,491.0,2022-05-10 19:49:24.000,0.7.0,,78744.0,118.0,5.0,2.0,18.0,https://pypi.org/project/jupyterlab-nvdashboard,2022-11-23 09:59:00.656,1.0,77122.0,https://anaconda.org/conda-forge/jupyterlab-nvdashboard,2022-05-11 10:48:15.511,29246.0,2.0,,jupyterlab-nvdashboard,https://www.npmjs.com/package/jupyterlab-nvdashboard,2021-04-27 07:19:46.929,2.0,873.0,,,,,,,,,,,,,,,,
