,name,description,homepage,resource,category,projectrank,show,github_id,pypi_id,conda_id,github_url,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,license,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,conda_dependent_project_count,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,trending,go_id,cran_id,gem_id,pypi,hex_id,bitbucket_id
41,ipyparallel,Interactive Parallel Computing in Python.,https://github.com/ipython/ipyparallel,,notebook-tools,25,True,ipython/ipyparallel,ipyparallel,conda-forge/ipyparallel,https://github.com/ipython/ipyparallel,2015-04-09 07:43:55.000000,2021-08-12 12:14:40.000000,2021-08-11 18:32:01.000000,808.0,63.0,229.0,2030.0,,2020-05-05 18:42:38.000000,6.3.0,,53304.0,27.0,2132.0,1642.0,101.0,https://pypi.org/project/ipyparallel,BSD-3-Clause,2021-08-11 18:34:59.000000,490.0,45652.0,https://anaconda.org/conda-forge/ipyparallel,2021-08-05 06:25:22.813000,489730.0,2.0,,,,,,,,,,,,,,,,,,
42,PixieDust,Python Helper library for Jupyter Notebooks.,https://github.com/pixiedust/pixiedust,,notebook-tools,25,True,pixiedust/pixiedust,pixiedust,conda-forge/pixiedust,https://github.com/pixiedust/pixiedust,2016-07-01 17:34:14.000000,2021-02-16 04:46:42.000000,2021-02-16 04:46:41.000000,162.0,164.0,260.0,1020.0,2157.0,2021-02-01 03:34:36.000000,1.1.19,,12237.0,92.0,257.0,213.0,33.0,https://pypi.org/project/pixiedust,Apache-2.0,2021-02-01 03:34:36.000000,44.0,10739.0,https://anaconda.org/conda-forge/pixiedust,2021-02-06 13:20:07.331000,31464.0,2.0,,,,,,,,,,,,,,,,,,
43,JupyterLab LSP,Coding assistance for JupyterLab (code navigation + hover suggestions + linters + autocompletion + rename) using..,https://github.com/krassowski/jupyterlab-lsp,,lab-extensions,25,True,krassowski/jupyterlab-lsp,,,https://github.com/krassowski/jupyterlab-lsp,2019-08-17 11:34:22.000000,2021-08-11 20:33:12.000000,2021-08-11 20:33:11.000000,82.0,123.0,232.0,986.0,2109.0,2021-08-02 09:34:22.000000,3.8.1,,11855.0,60.0,51.0,49.0,33.0,,BSD-3-Clause,,,,,,,1.0,,,,,,,@krassowski/jupyterlab-lsp,https://www.npmjs.com/package/@krassowski/jupyterlab-lsp,2021-08-02 09:23:44.446000,2.0,11855.0,2.0,,,,,,
44,DataLab,Interactive tools and developer experiences for Big Data on Google Cloud Platform.,https://github.com/googledatalab/datalab,,notebook-environments,25,True,googledatalab/datalab,datalab,,https://github.com/googledatalab/datalab,2014-08-06 18:37:34.000000,2021-08-12 04:05:10.000000,2020-09-09 05:30:42.000000,255.0,228.0,667.0,958.0,2053.0,2020-03-25 23:36:46.000000,1.2.0,,83010.0,18.0,12.0,,51.0,https://pypi.org/project/datalab,Apache-2.0,2020-03-25 23:36:46.000000,12.0,83010.0,,,,2.0,,,,,,,,,,,,,,,,,,
45,pythreejs,A Jupyter - Three.js bridge.,https://github.com/jupyter-widgets/pythreejs,,widgets,25,True,jupyter-widgets/pythreejs,pythreejs,conda-forge/pythreejs,https://github.com/jupyter-widgets/pythreejs,2013-12-23 17:02:11.000000,2021-07-28 20:50:00.000000,2021-02-26 14:01:59.000000,162.0,63.0,142.0,748.0,1659.0,2021-02-26 14:01:21.000000,2.3.0,,54805.0,43.0,51.0,17.0,27.0,https://pypi.org/project/pythreejs,BSD-3-Clause,2021-02-26 14:01:21.000000,26.0,42539.0,https://anaconda.org/conda-forge/pythreejs,2021-03-02 13:32:39.505000,325474.0,2.0,,,,,,,jupyter-threejs,https://www.npmjs.com/package/jupyter-threejs,2021-02-26 13:59:06.062000,8.0,7100.0,,,,,,,
46,JupyterLab Debugger,"A visual debugger for Jupyter notebooks, consoles, and source files.",https://github.com/jupyterlab/debugger,,lab-extensions,25,True,jupyterlab/debugger,,,https://github.com/jupyterlab/debugger,2019-07-19 18:19:17.000000,2021-08-12 11:07:19.075000,2021-03-31 14:20:34.000000,37.0,29.0,243.0,512.0,1174.0,2021-08-09 19:05:25.985000,3.1.4,,65716.0,104.0,92.0,92.0,11.0,,BSD-3-Clause,,,,,,,1.0,,,,,,,@jupyterlab/debugger,https://www.npmjs.com/package/@jupyterlab/debugger,2021-08-12 11:07:19.075000,0.0,65716.0,,,,,,,
47,KubeSpawner,Kubernetes spawner for JupyterHub.,https://github.com/jupyterhub/kubespawner,,hub-spawners,25,True,jupyterhub/kubespawner,jupyterhub-kubespawner,,https://github.com/jupyterhub/kubespawner,2015-11-21 07:02:52.000000,2021-08-04 00:22:24.000000,2021-07-21 11:25:58.000000,230.0,54.0,209.0,369.0,958.0,2021-07-21 11:28:55.000000,1.1.0,,14720.0,22.0,109.0,91.0,64.0,https://pypi.org/project/jupyterhub-kubespawner,BSD-3-Clause,2021-07-21 11:28:55.000000,18.0,14720.0,,,,1.0,,,,,,,,,,,,,,,,,,
48,nbval,A py.test plugin to validate Jupyter notebooks.,https://github.com/computationalmodelling/nbval,,notebook-tools,25,True,computationalmodelling/nbval,nbval,conda-forge/nbval,https://github.com/computationalmodelling/nbval,2015-04-09 09:40:33.000000,2021-05-19 21:33:58.000000,2021-01-27 08:24:41.000000,42.0,35.0,60.0,360.0,435.0,2020-07-30 10:58:32.000000,0.9.6,,81935.0,19.0,1281.0,1105.0,26.0,https://pypi.org/project/nbval,BSD-3-Clause,2020-07-30 10:58:32.000000,176.0,79055.0,https://anaconda.org/conda-forge/nbval,2020-07-31 11:51:06.985000,149790.0,2.0,,,,,,,,,,,,,,,,,,
49,nbdev,Create delightful python projects using Jupyter Notebooks.,https://github.com/fastai/nbdev,,notebook-tools,24,True,fastai/nbdev,nbdev,,https://github.com/fastai/nbdev,2019-11-18 17:37:35.000000,2021-08-10 10:51:23.000000,2021-08-10 10:51:20.000000,298.0,50.0,253.0,2866.0,1273.0,2021-08-10 10:06:32.000000,1.1.21,,48155.0,93.0,2.0,,61.0,https://pypi.org/project/nbdev,Apache-2.0,2021-08-10 10:06:32.000000,2.0,48155.0,,,,2.0,,,,,,,,,,,,,,,,,,
50,lux,Python API for Intelligent Visual Data Discovery.,https://github.com/lux-org/lux,,widgets,24,True,lux-org/lux,lux-api,conda-forge/lux-api,https://github.com/lux-org/lux,2020-01-08 04:53:29.000000,2021-08-12 00:17:09.000000,2021-08-01 17:04:32.000000,212.0,54.0,122.0,2707.0,661.0,2021-07-20 23:52:15.031000,0.1.7,,6667.0,15.0,47.0,47.0,17.0,https://pypi.org/project/lux-api,Apache-2.0,2021-07-20 23:45:37.000000,,5429.0,https://anaconda.org/conda-forge/lux-api,2021-07-21 03:10:50.796000,1876.0,2.0,,,,,,,luxwidget,https://www.npmjs.com/package/luxwidget,2021-07-20 23:52:15.031000,,926.0,,,,,,,
51,nbgrader,A system for assigning and grading notebooks.,https://github.com/jupyter/nbgrader,,jupyter-extensions,24,True,jupyter/nbgrader,nbgrader,conda-forge/nbgrader,https://github.com/jupyter/nbgrader,2014-09-13 03:27:36.000000,2021-08-12 11:56:43.000000,2021-08-12 11:56:35.000000,269.0,191.0,576.0,1026.0,2988.0,2021-05-08 15:44:14.000000,0.6.2,,4691.0,24.0,18.0,,83.0,https://pypi.org/project/nbgrader,BSD-3-Clause,2021-05-08 15:42:11.000000,18.0,2952.0,https://anaconda.org/conda-forge/nbgrader,2021-03-10 20:40:41.451000,95687.0,1.0,,,,,,,,,,,,,,,,,,
52,elyra,Elyra extends JupyterLab Notebooks with an AI centric approach.,https://github.com/elyra-ai/elyra,,lab-extensions,24,True,elyra-ai/elyra,elyra,conda-forge/elyra,https://github.com/elyra-ai/elyra,2019-10-22 21:37:58.000000,2021-08-12 07:10:47.000000,2021-08-10 17:33:50.000000,165.0,225.0,902.0,1013.0,1205.0,2021-08-04 21:51:35.000000,3.0.0,,2244.0,60.0,20.0,20.0,29.0,https://pypi.org/project/elyra,Apache-2.0,2021-08-04 21:51:35.000000,0.0,1717.0,https://anaconda.org/conda-forge/elyra,2021-04-27 19:22:26.105000,6329.0,1.0,,,,,,,,,,,,,,,,,,
