,name,description,homepage,resource,category,projectrank,show,pypi_id,github_id,conda_id,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,license,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,conda_dependent_project_count,updated_github_id,go_id,go_url,go_latest_release_published_at,go_dependent_project_count,cran_id,pypi,gem_id,hex_id,bitbucket_id
117,ipysheet,Jupyter handsontable integration.,https://github.com/QuantStack/ipysheet,,widgets,21,True,ipysheet,QuantStack/ipysheet,conda-forge/ipysheet,https://github.com/QuantStack/ipysheet,2017-07-10 13:46:31.000,2022-03-30 12:50:39.000000,2021-12-14 18:02:31,295.0,,59.0,18.0,108.0,60.0,57.0,480.0,2021-08-13 08:05:12.035,0.5.0,,39790.0,22.0,16.0,3.0,10.0,https://pypi.org/project/ipysheet,MIT,2021-08-11 12:28:11.000,13.0,34746.0,https://anaconda.org/conda-forge/ipysheet,2021-08-11 12:55:17.098,43002.0,3.0,ipysheet,https://www.npmjs.com/package/ipysheet,2021-08-13 08:05:12.035,,3913.0,,,,,,,,,,,,,,,,,
118,itkwidgets,"Interactive Jupyter widgets to visualize images, point sets, and meshes in 2D and 3D.",https://github.com/InsightSoftwareConsortium/itkwidgets,,widgets,21,True,itkwidgets,InsightSoftwareConsortium/itkwidgets,conda-forge/itkwidgets,https://github.com/InsightSoftwareConsortium/itkwidgets,2018-02-15 01:43:39.000,2022-03-12 13:54:32.000000,2022-03-12 13:54:32,879.0,2.0,53.0,22.0,266.0,74.0,100.0,425.0,2021-05-14 15:18:42.716,0.32.1,64.0,14629.0,64.0,9.0,,21.0,https://pypi.org/project/itkwidgets,Apache-2.0,2021-05-14 15:16:38.000,9.0,7046.0,https://anaconda.org/conda-forge/itkwidgets,2020-08-10 14:40:39.579,258622.0,3.0,itkwidgets,https://www.npmjs.com/package/itkwidgets,2021-05-14 15:18:42.716,,1116.0,,,,,,,,,,,,,,,,,
119,nbtutor,Visualize Python code execution (line-by-line) in Jupyter Notebook cells.,https://github.com/lgpage/nbtutor,,widgets,21,True,nbtutor,lgpage/nbtutor,conda-forge/nbtutor,https://github.com/lgpage/nbtutor,2016-11-07 14:08:25.000,2022-03-30 19:36:38.206000,2022-03-28 21:39:44,181.0,4.0,38.0,21.0,31.0,19.0,14.0,396.0,2022-03-30 15:40:11.000,2.0.2,,1919.0,7.0,29.0,26.0,3.0,https://pypi.org/project/nbtutor,BSD-3-Clause,2022-03-30 15:40:11.000,3.0,381.0,https://anaconda.org/conda-forge/nbtutor,2022-03-30 19:36:38.206,96942.0,3.0,,,,,,,,,,,,,,,,,,,,,,
120,Appmode,A Jupyter extensions that turns notebooks into web applications.,https://github.com/oschuett/appmode,,jupyter-extensions,21,True,appmode,oschuett/appmode,conda-forge/appmode,https://github.com/oschuett/appmode,2017-03-17 13:33:53.000,2021-11-16 11:28:50.190000,2021-04-26 19:20:06,96.0,,66.0,24.0,8.0,3.0,49.0,395.0,2020-06-09 08:23:50.000,0.8.0,,5659.0,16.0,332.0,310.0,8.0,https://pypi.org/project/appmode,MIT,2020-06-09 08:23:50.000,22.0,2734.0,https://anaconda.org/conda-forge/appmode,2021-11-16 11:28:50.190,152117.0,2.0,,,,,,,,,,,,,,,,,,,,,,
121,JupyterLab GitHub,GitHub integration for JupyterLab.,https://github.com/jupyterlab/jupyterlab-github,,lab-extensions,21,True,jupyterlab-github,jupyterlab/jupyterlab-github,,https://github.com/jupyterlab/jupyterlab-github,2017-10-15 17:18:11.000,2022-01-22 07:38:11.000000,2021-12-10 09:26:11,228.0,,84.0,28.0,72.0,24.0,36.0,318.0,2021-11-27 17:02:34.000,3.0.1,,3488.0,23.0,4.0,2.0,15.0,https://pypi.org/project/jupyterlab-github,BSD-3-Clause,2021-11-27 16:59:30.000,2.0,1675.0,,,,2.0,@jupyterlab/github,https://www.npmjs.com/package/@jupyterlab/github,2021-11-27 16:51:25.639,,1813.0,,,,,,,,,,,,,,,,,
122,Resource Usage,Jupyter Notebook Extension for monitoring your own Resource Usage.,https://github.com/jupyter-server/jupyter-resource-usage,,jupyter-extensions,21,True,jupyter-resource-usage,jupyter-server/jupyter-resource-usage,conda-forge/nbresuse,https://github.com/jupyter-server/jupyter-resource-usage,2016-04-22 07:01:34.000,2022-02-27 23:05:29.000000,2021-12-06 09:55:23,183.0,,67.0,9.0,65.0,31.0,27.0,303.0,2021-12-06 09:34:12.000,0.6.1,30.0,38692.0,5.0,3.0,,20.0,https://pypi.org/project/jupyter-resource-usage,BSD-2-Clause,2021-12-06 09:34:10.000,3.0,18434.0,https://anaconda.org/conda-forge/nbresuse,2020-11-23 11:22:25.946,476636.0,2.0,@jupyter-server/resource-usage,https://www.npmjs.com/package/@jupyter-server/resource-usage,2021-12-06 09:34:07.883,,398.0,,,,,,,,,,,,,,,,,
123,JupyterLab Templates,Support for jupyter notebook templates in jupyterlab.,https://github.com/jpmorganchase/jupyterlab_templates,,lab-extensions,21,True,jupyterlab_templates,jpmorganchase/jupyterlab_templates,conda-forge/jupyterlab_templates,https://github.com/jpmorganchase/jupyterlab_templates,2018-03-17 21:38:11.000,2022-03-29 01:09:47.000000,2022-03-29 01:09:47,326.0,19.0,51.0,16.0,84.0,8.0,70.0,291.0,2021-03-28 03:28:25.639,0.3.1,,9347.0,24.0,4.0,4.0,14.0,https://pypi.org/project/jupyterlab_templates,Apache-2.0,2019-06-30 05:07:41.000,,5901.0,https://anaconda.org/conda-forge/jupyterlab_templates,2021-03-28 15:22:13.818,4867.0,2.0,jupyterlab_templates,https://www.npmjs.com/package/jupyterlab_templates,2021-03-28 03:28:25.639,,3225.0,,,,,,,,,,,,,,,,,
124,ThebeLab,Turn static HTML pages into live documents with Jupyter kernels.,https://github.com/executablebooks/thebe,,notebook-sharing,21,True,,executablebooks/thebe,,https://github.com/executablebooks/thebe,2017-03-14 12:17:22.000,2022-03-30 11:40:14.000000,2021-11-19 12:06:20,676.0,,54.0,20.0,403.0,64.0,86.0,272.0,2021-10-26 10:05:57.827,0.8.2,,5616.0,6.0,5.0,5.0,26.0,,BSD-3-Clause,,,,,,,3.0,thebe,https://www.npmjs.com/package/thebe,2021-10-26 10:05:57.827,,5616.0,,,,,,,,,,,,,,,,,
125,dask-labextension,JupyterLab extension for Dask.,https://github.com/dask/dask-labextension,,lab-extensions,21,True,dask-labextension,dask/dask-labextension,conda-forge/dask-labextension,https://github.com/dask/dask-labextension,2016-09-26 19:01:37.000,2022-01-22 02:07:28.000000,2022-01-08 00:53:47,337.0,7.0,48.0,19.0,97.0,35.0,89.0,256.0,2022-01-08 01:09:14.000,5.2.0,,25392.0,27.0,3.0,,18.0,https://pypi.org/project/dask-labextension,BSD-3-Clause,2022-01-08 00:59:54.000,3.0,7065.0,https://anaconda.org/conda-forge/dask-labextension,2022-01-08 15:40:51.016,501896.0,2.0,dask-labextension,https://www.npmjs.com/package/dask-labextension,2022-01-08 01:00:06.053,,3119.0,,,,,,,,,,,,,,,,,
126,JupyterLab System Monitor,JupyterLab extension to display system metrics.,https://github.com/jtpio/jupyterlab-system-monitor,,lab-extensions,21,True,jupyterlab-system-monitor,jtpio/jupyterlab-system-monitor,conda-forge/jupyterlab-system-monitor,https://github.com/jtpio/jupyterlab-system-monitor,2019-07-13 12:31:51.000,2022-03-26 11:22:25.000000,2022-02-15 08:27:46,176.0,11.0,28.0,5.0,50.0,19.0,20.0,233.0,2021-02-04 22:39:49.000,0.8.0,,16248.0,20.0,34.0,33.0,7.0,https://pypi.org/project/jupyterlab-system-monitor,BSD-3-Clause,2021-02-04 22:37:18.000,1.0,5933.0,https://anaconda.org/conda-forge/jupyterlab-system-monitor,2021-02-25 11:47:38.410,7100.0,2.0,jupyterlab-system-monitor,https://www.npmjs.com/package/jupyterlab-system-monitor,2020-11-23 15:30:52.408,,9769.0,,,,,,,,,,,,,,,,,
