,name,description,homepage,resource,category,projectrank,show,pypi_id,github_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,updated_github_id,conda_dependent_project_count,go_id,go_url,go_latest_release_published_at,go_dependent_project_count,pypi,cran_id,gem_id,hex_id,bitbucket_id
31,Jupyter Book,"Create beautiful, publication-quality books and documents from computational content.",https://github.com/executablebooks/jupyter-book,,notebook-sharing,30,True,jupyter-book,executablebooks/jupyter-book,conda-forge/jupyter-book,https://github.com/executablebooks/jupyter-book,BSD-3-Clause,2018-06-14 01:55:51.000,2022-07-21 16:32:12.000000,2022-07-21 16:32:12,1375.0,22.0,526.0,62.0,658.0,444.0,659.0,2975.0,2022-06-03 14:18:41.000,0.13.0,,44105.0,41.0,65.0,,111.0,https://pypi.org/project/jupyter-book,2022-06-03 14:18:41.000,65.0,42699.0,https://anaconda.org/conda-forge/jupyter-book,2022-06-03 19:20:51.874,23912.0,2.0,,,,,,,,,,,,,,,,,,,,,,
32,elyra,Elyra extends JupyterLab with an AI centric approach.,https://github.com/elyra-ai/elyra,,lab-extensions,30,True,elyra,elyra-ai/elyra,conda-forge/elyra,https://github.com/elyra-ai/elyra,Apache-2.0,2019-10-22 21:37:58.000,2022-07-28 12:50:17.000000,2022-07-27 21:12:24,1713.0,113.0,251.0,46.0,1304.0,229.0,1244.0,1402.0,2022-07-18 16:35:45.000,3.10.1,,6730.0,110.0,39.0,32.0,52.0,https://pypi.org/project/elyra,2022-07-06 22:27:20.000,3.0,3870.0,https://anaconda.org/conda-forge/elyra,2022-07-08 18:11:54.915,15313.0,1.0,,@elyra/services,https://www.npmjs.com/package/@elyra/services,2022-07-18 16:23:08.434,4.0,2195.0,,,,,,,,,,,,,,,,
33,jupyter-matplotlib,Matplotlib Jupyter Integration.,https://github.com/matplotlib/ipympl,,widgets,30,True,ipympl,matplotlib/ipympl,conda-forge/ipympl,https://github.com/matplotlib/ipympl,BSD-3-Clause,2016-07-21 14:38:56.000,2022-07-20 10:12:15.000000,2022-07-07 05:42:06,474.0,6.0,188.0,41.0,224.0,113.0,142.0,1319.0,2022-04-25 12:06:36.481,0.11.1,,197501.0,47.0,3628.0,3547.0,28.0,https://pypi.org/project/ipympl,2022-04-25 12:03:10.000,81.0,155530.0,https://anaconda.org/conda-forge/ipympl,2022-04-25 12:22:35.098,1017838.0,2.0,,jupyter-matplotlib,https://www.npmjs.com/package/jupyter-matplotlib,2022-04-25 12:06:36.481,,26550.0,,,,,,,,,,,,,,,,
34,sparkmagic,Jupyter magics and kernels for working with remote Spark clusters.,https://github.com/jupyter-incubator/sparkmagic,,magic,30,True,sparkmagic,jupyter-incubator/sparkmagic,conda-forge/sparkmagic,https://github.com/jupyter-incubator/sparkmagic,BSD-3-Clause,2015-09-21 15:35:25.000,2022-07-19 16:53:06.000000,2022-05-02 22:12:52,1212.0,4.0,398.0,52.0,370.0,138.0,271.0,1145.0,2022-05-02 22:18:06.000,0.20.0,,38331.0,50.0,266.0,246.0,57.0,https://pypi.org/project/sparkmagic,2022-05-02 22:18:06.000,20.0,37508.0,https://anaconda.org/conda-forge/sparkmagic,2022-05-09 18:27:42.421,48586.0,1.0,-1.0,,,,,,,,,,,,,,,,,,,,,
35,JupyterLab Git,A Git extension for JupyterLab.,https://github.com/jupyterlab/jupyterlab-git,,lab-extensions,30,True,jupyterlab-git,jupyterlab/jupyterlab-git,conda-forge/jupyterlab-git,https://github.com/jupyterlab/jupyterlab-git,BSD-3-Clause,2017-06-20 17:31:00.000,2022-07-28 14:59:27.934000,2022-07-28 14:56:53,1786.0,16.0,246.0,35.0,605.0,92.0,442.0,1128.0,2022-07-28 15:00:01.658,0.38.0,,154642.0,61.0,38.0,14.0,76.0,https://pypi.org/project/jupyterlab-git,2022-04-26 06:31:56.000,20.0,119174.0,https://anaconda.org/conda-forge/jupyterlab-git,2022-04-26 12:22:32.707,208691.0,1.0,,@jupyterlab/git,https://www.npmjs.com/package/@jupyterlab/git,2022-07-28 14:59:27.934,4.0,30615.0,,,,,,,,,,,,,,,,
36,nbgrader,A system for assigning and grading notebooks.,https://github.com/jupyter/nbgrader,,jupyter-extensions,30,True,nbgrader,jupyter/nbgrader,conda-forge/nbgrader,https://github.com/jupyter/nbgrader,BSD-3-Clause,2014-09-13 03:27:36.000,2022-07-20 09:53:47.000000,2022-07-20 09:52:54,3304.0,273.0,311.0,44.0,829.0,204.0,612.0,1102.0,2022-06-23 11:04:59.000,0.7.1,18.0,4114.0,29.0,17.0,,96.0,https://pypi.org/project/nbgrader,2022-07-06 09:43:23.000,17.0,2356.0,https://anaconda.org/conda-forge/nbgrader,2022-06-23 17:56:54.463,116083.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
37,OAuthenticator,OAuth + JupyterHub Authenticator = OAuthenticator.,https://github.com/jupyterhub/oauthenticator,,hub-auth,30,True,oauthenticator,jupyterhub/oauthenticator,conda-forge/oauthenticator,https://github.com/jupyterhub/oauthenticator,BSD-3-Clause,2014-09-23 21:37:06.000,2022-07-21 09:33:50.000000,2022-07-05 07:56:17,1090.0,101.0,331.0,23.0,299.0,44.0,196.0,341.0,2022-06-06 06:48:58.000,15.0.0,,38229.0,30.0,324.0,281.0,107.0,https://pypi.org/project/oauthenticator,2022-06-09 11:01:21.000,43.0,37577.0,https://anaconda.org/conda-forge/oauthenticator,2022-06-09 13:33:38.024,25448.0,1.0,,,,,,,,,,,,,,,,,,,,,,
38,sos,SoS workflow system for daily data analysis.,https://github.com/vatlab/sos,,notebook-environments,30,True,sos-notebook,vatlab/SOS,conda-forge/sos,https://github.com/vatlab/sos,BSD-3-Clause,2016-02-13 00:46:46.000,2022-06-22 20:53:41.164000,2022-06-21 19:01:37,7578.0,51.0,30.0,7.0,63.0,60.0,1367.0,231.0,2022-04-09 05:07:36.000,0.23.3,,3590.0,162.0,2537.0,2504.0,36.0,https://pypi.org/project/sos-notebook,2022-04-09 05:07:36.000,33.0,953.0,https://anaconda.org/conda-forge/sos,2022-06-22 20:53:41.164,113393.0,2.0,,,,,,,,,,,,,,,,,,,,,,
39,RISE,RISE: Live Reveal.js Jupyter/IPython Slideshow Extension.,https://github.com/damianavila/RISE,,notebook-sharing,29,True,RISE,damianavila/RISE,conda-forge/rise,https://github.com/damianavila/RISE,BSD-3-Clause,2013-08-26 18:55:36.000,2022-06-30 09:25:59.000000,2022-03-28 15:25:07,751.0,,393.0,80.0,194.0,142.0,284.0,3318.0,2020-10-29 01:31:20.000,5.7.1,,8886.0,30.0,2092.0,1925.0,41.0,https://pypi.org/project/RISE,2022-03-28 15:29:03.000,167.0,4899.0,https://anaconda.org/conda-forge/rise,2021-11-16 18:12:02.058,210842.0,2.0,,rise-reveal,https://www.npmjs.com/package/rise-reveal,2019-07-03 12:51:16.722,,9.0,,,,,,,,,,,,,,,,
40,BeakerX,Beaker Extensions for Jupyter Notebook.,https://github.com/twosigma/beakerx,,notebook-tools,29,False,beakerx,twosigma/beakerx,conda-forge/beakerx,https://github.com/twosigma/beakerx,Apache-2.0,2013-12-03 14:16:36.000,2022-06-15 11:25:51.000000,2021-01-21 14:02:57,1689.0,,385.0,127.0,3797.0,349.0,4174.0,2672.0,2022-06-15 11:25:51.000,2.3.13,31.0,24239.0,54.0,23.0,,81.0,https://pypi.org/project/beakerx,2022-06-15 11:25:51.000,22.0,12276.0,https://anaconda.org/conda-forge/beakerx,2021-11-18 19:15:17.218,525932.0,2.0,,beakerx,https://www.npmjs.com/package/beakerx,2019-04-06 03:31:02.776,1.0,481.0,beakerx/beakerx,https://hub.docker.com/r/beakerx/beakerx,2018-12-02 20:23:21.082606,23.0,248796.0,,,,,,,,,,,
