,name,description,homepage,resource,category,projectrank,show,pypi_id,github_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,updated_github_id,conda_dependent_project_count,trending,pypi,go_id,go_url,go_latest_release_published_at,go_dependent_project_count,cran_id,gem_id,hex_id,bitbucket_id
244,Kernel Management,Experimental new kernel management framework for Jupyter.,https://github.com/takluyver/jupyter_kernel_mgmt,,notebook-tools,14,False,jupyter-kernel-mgmt,takluyver/jupyter_kernel_mgmt,,https://github.com/takluyver/jupyter_kernel_mgmt,BSD-3-Clause,2018-04-01 20:06:08.000,2020-08-27 01:11:14.000000,2020-01-29 22:31:34,1783.0,,7.0,8.0,23.0,11.0,14.0,13.0,2020-01-15 19:12:57.000,0.5.1,17.0,49.0,7.0,4.0,,74.0,https://pypi.org/project/jupyter-kernel-mgmt,2019-12-07 18:06:15.000,4.0,49.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
245,jupyter-nbrequirements,Dependency management and optimization in Jupyter Notebooks.,https://github.com/thoth-station/jupyter-nbrequirements,,jupyter-extensions,14,False,jupyter-nbrequirements,thoth-station/jupyter-nbrequirements,,https://github.com/thoth-station/jupyter-nbrequirements,MIT,2019-06-25 06:48:06.000,2022-05-13 02:17:47.000000,2021-10-21 06:25:29,348.0,,4.0,5.0,293.0,,32.0,13.0,2020-04-22 09:38:54.000,0.7.3,,998.0,15.0,,,12.0,https://pypi.org/project/jupyter-nbrequirements,2020-04-22 09:38:54.000,,998.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
246,Null Authenticator,Null Authenticator for JupyterHub instances that should have no login mechanism.,https://github.com/jupyterhub/nullauthenticator,,hub-auth,14,False,nullauthenticator,jupyterhub/nullauthenticator,,https://github.com/jupyterhub/nullauthenticator,BSD-3-Clause,2017-08-30 09:12:22.000,2022-05-17 12:31:29.000000,2022-05-17 12:31:29,20.0,3.0,9.0,5.0,5.0,1.0,,7.0,2017-08-30 13:12:25.000,1.0.0,,2888.0,1.0,91.0,82.0,7.0,https://pypi.org/project/nullauthenticator,2017-08-30 13:12:25.000,9.0,2888.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
247,IElixir,Jupyters kernel for Elixir programming language.,https://github.com/pprzetacznik/IElixir,,kernels,13,False,,pprzetacznik/IElixir,,https://github.com/pprzetacznik/IElixir,Apache-2.0,2015-07-06 11:39:08.000,2021-12-03 09:17:20.000000,2021-03-20 17:27:38,282.0,,39.0,11.0,31.0,10.0,20.0,342.0,2021-05-11 21:22:51.418,0.0.1,,10.0,8.0,,,19.0,,,,,,,,3.0,jupyterlab-ielixir,https://www.npmjs.com/package/jupyterlab-ielixir,2021-05-11 21:22:51.418,,6.0,pprzetacznik/ielixir,https://hub.docker.com/r/pprzetacznik/ielixir,2021-03-20 17:48:12.317861,1.0,340.0,,,,,,,,,,,ielixir,
248,ipyexperiments,jupyter/ipython experiment containers for GPU and general RAM re-use.,https://github.com/stas00/ipyexperiments,,notebook-tools,13,True,ipyexperiments,stas00/ipyexperiments,,https://github.com/stas00/ipyexperiments,Apache-2.0,2018-11-15 01:19:40.000,2021-12-07 18:50:39.000000,2021-12-07 18:50:38,203.0,,11.0,6.0,2.0,1.0,5.0,148.0,2021-12-07 18:44:34.000,0.1.28,,142.0,24.0,8.0,6.0,3.0,https://pypi.org/project/ipyexperiments,2021-12-07 18:44:34.000,2.0,142.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
249,Material Darker Theme,The Material Darker theme for JupyterLab.,https://github.com/oriolmirosa/jupyterlab_materialdarker,,lab-themes,13,True,jupyterlab-materialdarker,oriolmirosa/jupyterlab_materialdarker,,https://github.com/oriolmirosa/jupyterlab_materialdarker,BSD-3-Clause,2018-03-07 23:24:13.000,2022-06-26 02:01:20.000000,2021-08-31 15:09:09,49.0,,15.0,9.0,6.0,4.0,14.0,131.0,2021-08-31 14:45:22.000,0.6.0,,690.0,20.0,4.0,4.0,2.0,https://pypi.org/project/jupyterlab-materialdarker,2021-08-31 14:45:22.000,,302.0,,,,2.0,@oriolmirosa/jupyterlab_materialdarker,https://www.npmjs.com/package/@oriolmirosa/jupyterlab_materialdarker,2021-08-31 13:58:49.807,,388.0,,,,,,,,,,,,,,,,,
250,Neon Theme,"A flat, 80s neon inspired theme for JupyterLab.",https://github.com/yeebc/jupyterlab-neon-theme,,lab-themes,13,False,,yeebc/jupyterlab-neon-theme,,https://github.com/yeebc/jupyterlab-neon-theme,BSD-3-Clause,2019-09-27 14:29:10.000,2022-06-25 11:03:23.000000,2021-03-07 04:40:47,43.0,,5.0,5.0,9.0,2.0,10.0,115.0,2021-03-07 04:41:55.473,3.1.0,,478.0,20.0,1.0,1.0,3.0,,,,,,,,2.0,@yeebc/jupyterlab_neon_theme,https://www.npmjs.com/package/@yeebc/jupyterlab_neon_theme,2021-03-07 04:41:55.473,,478.0,,,,,,,,,,,,,,,,,
251,jupyterlab_darkside_ui,Darkside ui and syntax theme for jupyterlab.,https://github.com/dunovank/jupyterlab_darkside_ui,,lab-themes,13,True,jupyterlab_darkside_ui,dunovank/jupyterlab_darkside_ui,,https://github.com/dunovank/jupyterlab_darkside_ui,BSD-3-Clause,2021-04-22 15:57:16.000,2022-03-18 17:43:49.000000,2022-03-18 17:43:43,27.0,,6.0,3.0,3.0,1.0,4.0,86.0,2022-03-18 17:41:32.000,0.2.3,,473.0,12.0,,,5.0,https://pypi.org/project/jupyterlab_darkside_ui,2022-03-18 17:41:32.000,,473.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
252,nb_black,A simple extension for Jupyter Notebook and Jupyter Lab to beautify Python code automatically using Black.,https://github.com/dnanhkhoa/nb_black,,magic,13,False,nb_black,dnanhkhoa/nb_black,conda-forge/nb_black,https://github.com/dnanhkhoa/nb_black,MIT,2019-05-02 16:13:43.498,2019-11-30 11:30:08.595000,,,,7.0,,,,,62.0,2019-07-31 17:24:06.000,1.0.6,,26472.0,6.0,1.0,,,https://pypi.org/project/nb_black,2019-07-31 17:24:06.000,1.0,24573.0,https://anaconda.org/conda-forge/nb_black,2019-11-30 11:30:08.595,70280.0,3.0,,,,,,,,,,,,,,,,,,,,,,
253,JupyterLab Shortcutui,A JupyterLab extension for managing keyboard shortcuts.,https://github.com/jupyterlab/jupyterlab-shortcutui,,lab-extensions,13,False,,jupyterlab/jupyterlab-shortcutui,,https://github.com/jupyterlab/jupyterlab-shortcutui,BSD-3-Clause,2018-06-18 22:07:19.000,2020-01-17 16:59:32.000000,2020-01-17 16:59:32,191.0,,14.0,4.0,50.0,7.0,6.0,56.0,2019-09-05 11:54:07.000,0.4.0,,257.0,11.0,,,8.0,,,,,,,,3.0,@jupyterlab/shortcutui,https://www.npmjs.com/package/@jupyterlab/shortcutui,2020-01-17 14:43:21.930,,257.0,,,,,,,,,,,,,,,,,
