,name,description,homepage,resource,category,projectrank,show,pypi_id,github_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,dockerhub_id,pypi_latest_release_published_at,pypi_dependent_project_count,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,conda_dependent_project_count,updated_github_id,trending,cran_id,pypi,go_id,go_url,gem_id,hex_id,bitbucket_id
182,ipylab,Control JupyterLab from Python Notebooks with Jupyter Widgets.,https://github.com/jtpio/ipylab,,lab-extensions,17,True,ipylab,jtpio/ipylab,conda-forge/ipylab,https://github.com/jtpio/ipylab,BSD-3-Clause,2019-11-15 19:52:12.000,2023-06-16 16:19:13.259000,2023-04-26 07:46:28,220.0,8.0,11.0,7.0,82.0,18.0,20.0,145.0,2023-03-30 06:21:21.000,0.7.1,109.0,19875.0,14.0,2.0,2.0,7.0,https://pypi.org/project/ipylab,18891.0,https://anaconda.org/conda-forge/ipylab,2023-06-16 16:19:13.259,22223.0,2.0,ipylab,https://www.npmjs.com/package/ipylab,,,466.0,,,,,,,,,,,,,,,,,
183,ipytree,A Tree Widget using Jupyter-widgets protocol and jsTree.,https://github.com/QuantStack/ipytree,,widgets,17,True,ipytree,QuantStack/ipytree,conda-forge/ipytree,https://github.com/QuantStack/ipytree,MIT,2018-09-15 13:17:27.000,2023-06-16 16:14:42.506000,2022-11-23 09:34:00,111.0,,28.0,9.0,45.0,21.0,18.0,115.0,2022-08-24 12:33:17.000,0.2.2,,60355.0,8.0,2.0,2.0,9.0,https://pypi.org/project/ipytree,58350.0,https://anaconda.org/conda-forge/ipytree,2023-06-16 16:14:42.506,77209.0,3.0,ipytree,https://www.npmjs.com/package/ipytree,,,492.0,,,,,,,,,,,,,,,,,
184,ipyregulartable,"High performance, editable, stylable datagrids in jupyter and jupyterlab.",https://github.com/finos/ipyregulartable,,widgets,17,True,ipyregulartable,jpmorganchase/ipyregulartable,conda-forge/ipyregulartable,https://github.com/finos/ipyregulartable,Apache-2.0,2020-06-15 21:45:08.000,2023-06-16 19:23:44.012000,2023-04-25 20:59:15,216.0,7.0,15.0,7.0,81.0,10.0,16.0,88.0,,,,50640.0,6.0,12.0,12.0,5.0,https://pypi.org/project/ipyregulartable,196.0,https://anaconda.org/conda-forge/ipyregulartable,2023-06-16 19:23:44.012,4860.0,3.0,@jupyter-widgets/jupyterlab-manager,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-manager,,,50288.0,,,,,,,,,finos/ipyregulartable,-7.0,,,,,,,
185,sphinxcontrib.jupyter,A Sphinx Extension for Generating Jupyter Notebooks.,https://github.com/QuantEcon/sphinxcontrib-jupyter,,notebook-tools,17,False,sphinxcontrib-jupyter,QuantEcon/sphinxcontrib-jupyter,,https://github.com/QuantEcon/sphinxcontrib-jupyter,BSD-3-Clause,2017-10-12 04:04:05.000,2022-02-09 08:46:28.000000,2020-06-18 03:28:01,269.0,,23.0,10.0,159.0,88.0,93.0,72.0,2020-06-18 03:30:24.000,0.5.10,,626.0,17.0,32.0,32.0,13.0,https://pypi.org/project/sphinxcontrib-jupyter,626.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
186,ipydagred3,ipywidgets library for drawing directed acyclic graphs in jupyterlab using dagre-d3.,https://github.com/timkpaine/ipydagred3,,widgets,17,True,ipydagred3,timkpaine/ipydagred3,conda-forge/ipydagred3,https://github.com/timkpaine/ipydagred3,Apache-2.0,2020-02-29 23:01:15.000,2023-06-15 21:19:08.323000,2023-05-10 08:36:07,326.0,15.0,6.0,3.0,96.0,3.0,17.0,54.0,2022-09-23 17:10:56.000,0.3.7,,51254.0,16.0,2.0,2.0,3.0,https://pypi.org/project/ipydagred3,386.0,https://anaconda.org/conda-forge/ipydagred3,2023-06-15 21:19:08.323,21487.0,3.0,@jupyter-widgets/jupyterlab-manager,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-manager,,,50288.0,,,,,,,,,,-8.0,,,,,,,
187,SudoSpawner,Spawn JupyterHub single-user servers with sudo.,https://github.com/jupyterhub/sudospawner,,hub-spawners,17,False,sudospawner,jupyterhub/sudospawner,,https://github.com/jupyterhub/sudospawner,BSD-3-Clause,2014-11-24 23:21:36.000,2022-12-07 12:46:17.000000,2021-09-10 08:58:36,115.0,,38.0,11.0,36.0,18.0,21.0,44.0,2018-06-19 13:50:35.000,0.5.2,,929.0,8.0,58.0,54.0,14.0,https://pypi.org/project/sudospawner,929.0,,,,3.0,,,,,,,2018-06-19 13:50:35.000,4.0,,,,,,,,,,,,,,
188,geonotebook,A Jupyter notebook extension for geospatial visualization and analysis.,https://github.com/OpenGeoscience/geonotebook,,widgets,16,False,,OpenGeoscience/geonotebook,,https://github.com/OpenGeoscience/geonotebook,Apache-2.0,2016-07-26 19:48:45.000,2019-01-21 18:59:02.250643,2019-01-21 15:53:00,647.0,,139.0,68.0,90.0,39.0,46.0,1073.0,,,,1581.0,,,,9.0,,,,,,3.0,,,,,,geonotebook/geonotebook,,,https://hub.docker.com/r/geonotebook/geonotebook,2019-01-21 18:59:02.250643,9.0,131299.0,,,,,,,,,,
189,heat,IPython magic command to profile and view your python code as a heat map.,https://github.com/csurfer/pyheatmagic,,magic,16,False,py-heat-magic,csurfer/pyheatmagic,,https://github.com/csurfer/pyheatmagic,MIT,2017-08-18 20:35:01.000,2021-09-10 21:27:13.000000,2021-09-10 21:27:13,34.0,,23.0,12.0,3.0,2.0,3.0,1013.0,2017-08-19 16:11:38.000,0.0.2,,803.0,2.0,39.0,39.0,3.0,https://pypi.org/project/py-heat-magic,803.0,,,,3.0,,,,,,,2017-08-19 16:11:38.000,,,,,,,,,,,,,,,
190,jupyter-tabnine,Autocompletion with Deep Learning on Jupyter Notebook.,https://github.com/codota/jupyter-tabnine,,jupyter-extensions,16,False,jupyter-tabnine,codota/jupyter-tabnine,,https://github.com/codota/jupyter-tabnine,MIT,2019-09-07 00:30:49.000,2023-02-05 13:08:34.000000,2021-08-23 11:44:08,105.0,,120.0,18.0,16.0,42.0,28.0,776.0,2021-08-23 11:45:07.000,1.2.3,,4513.0,8.0,,,10.0,https://pypi.org/project/jupyter-tabnine,4513.0,,,,3.0,,,,,,,2021-08-23 11:45:07.000,,,,,,,,,,,,,,,
191,jupyter-notify,A Jupyter Notebook magic for browser notifications of cell completion.,https://github.com/ShopRunner/jupyter-notify,,magic,16,False,jupyternotify,ShopRunner/jupyter-notify,,https://github.com/ShopRunner/jupyter-notify,BSD-3-Clause,2017-06-01 14:08:55.000,2022-08-09 17:30:42.000000,2021-04-27 14:56:38,57.0,,36.0,68.0,26.0,13.0,12.0,573.0,2018-01-08 14:52:15.000,0.1.15,,1214.0,14.0,2.0,,11.0,https://pypi.org/project/jupyternotify,1214.0,,,,3.0,,,,,,,2018-01-08 14:52:15.000,2.0,,,,,,,,,,,,,,
192,jupyterlab-execute-time,A JupyterLab extension for displaying cell timings.,https://github.com/deshaw/jupyterlab-execute-time,,lab-extensions,16,True,jupyterlab-execute-time,deshaw/jupyterlab-execute-time,conda-forge/jupyterlab_execute_time,https://github.com/deshaw/jupyterlab-execute-time,BSD-3-Clause,2020-04-07 22:27:30.000,2023-05-31 20:40:36.614000,2023-05-19 13:36:01,45.0,2.0,38.0,5.0,39.0,10.0,40.0,275.0,,,,29193.0,9.0,2.0,2.0,13.0,https://pypi.org/project/jupyterlab-execute-time,26155.0,https://anaconda.org/conda-forge/jupyterlab_execute_time,2023-05-31 20:40:36.614,42138.0,3.0,jupyterlab-execute-time,https://www.npmjs.com/package/jupyterlab-execute-time,,,1585.0,,,,,,,,,,,,,,,,,
193,JupyterLab Spreadsheet,"JupyterLab plugin for viewing spreadsheets, such as Excel .xls/.xlsx workbooks and OpenOffice .ods files.",https://github.com/quigleyj97/jupyterlab-spreadsheet,,lab-renderer,16,True,,quigleyj97/jupyterlab-spreadsheet,,https://github.com/quigleyj97/jupyterlab-spreadsheet,BSD-3-Clause,2018-10-13 22:51:03.000,2023-05-06 22:45:04.000000,2022-07-18 18:08:51,129.0,,15.0,8.0,37.0,8.0,18.0,179.0,2021-07-17 23:45:44.000,0.4.1,,2020.0,5.0,5.0,5.0,4.0,,,,,,3.0,jupyterlab-spreadsheet,https://www.npmjs.com/package/jupyterlab-spreadsheet,,,2020.0,,,,,,,,,,,,,,,,,
194,JupyterLab Data Explorer,First class datasets in JupyterLab.,https://github.com/jupyterlab/jupyterlab-data-explorer,,lab-extensions,16,False,,jupyterlab/jupyterlab-data-explorer,,https://github.com/jupyterlab/jupyterlab-data-explorer,BSD-3-Clause,2019-01-03 21:57:42.000,2022-05-23 15:47:39.000000,2020-05-24 13:16:16,426.0,,34.0,28.0,58.0,58.0,34.0,174.0,,,,33.0,,12.0,12.0,9.0,,,,,,3.0,@jupyterlab/dataregistry-extension,https://www.npmjs.com/package/@jupyterlab/dataregistry-extension,,,33.0,,,,,,,,,,,,,,,,,
195,xeus-sqlite,Jupyter kernel for SQLite.,https://github.com/jupyter-xeus/xeus-sqlite,,kernels,16,True,,jupyter-xeus/xeus-sqlite,conda-forge/xeus-sqlite,https://github.com/jupyter-xeus/xeus-sqlite,BSD-3-Clause,2020-03-11 11:24:36.000,2023-06-16 19:19:11.464000,2023-03-16 20:36:26,286.0,,22.0,6.0,84.0,15.0,31.0,156.0,,,,758.0,9.0,,,12.0,,,https://anaconda.org/conda-forge/xeus-sqlite,2023-06-16 19:19:11.464,28073.0,3.0,,,,,,,,,,,,,,,,,,,,,,
