,name,description,homepage,resource,category,projectrank,show,pypi_id,github_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,conda_dependent_project_count,updated_github_id,trending,cran_id,pypi,go_id,go_url,go_latest_release_published_at,go_dependent_project_count,gem_id,hex_id,docs_url,bitbucket_id
160,ipysheet,Jupyter handsontable integration.,https://github.com/jupyter-widgets-contrib/ipysheet,,widgets,18,True,ipysheet,QuantStack/ipysheet,conda-forge/ipysheet,https://github.com/jupyter-widgets-contrib/ipysheet,MIT,2017-07-10 13:46:31.000,2024-01-04 06:37:51.000000,2024-01-04 06:37:51,311.0,2.0,66.0,20.0,125.0,63.0,60.0,529.0,,,,38309.0,15.0,7.0,7.0,14.0,https://pypi.org/project/ipysheet,,,35955.0,https://anaconda.org/conda-forge/ipysheet,2023-06-16 16:13:19.853,104171.0,3.0,ipysheet,https://www.npmjs.com/package/ipysheet,,,618.0,,,,,,,jupyter-widgets-contrib/ipysheet,,,,,,,,,,,
161,JupyterLab Renderers,Renderers and renderer extensions for JupyterLab.,https://github.com/jupyterlab/jupyter-renderers,,lab-renderer,18,True,jupyterlab-katex,jupyterlab/jupyter-renderers,conda-forge/jupyterlab-vega3,https://github.com/jupyterlab/jupyter-renderers,BSD-3-Clause,2017-06-08 16:59:07.000,2024-01-10 15:09:32.000000,2023-11-12 10:25:41,622.0,2.0,71.0,33.0,201.0,35.0,74.0,479.0,,,,2848.0,3.0,,,29.0,https://pypi.org/project/jupyterlab-katex,,,660.0,https://anaconda.org/conda-forge/jupyterlab-vega3,2023-06-16 19:25:17.752,3594.0,2.0,@jupyterlab/geojson-extension,https://www.npmjs.com/package/@jupyterlab/geojson-extension,,,2083.0,,,,,,,,,,,,,,,,,,
162,JupyterLab Google Drive,Cloud storage for JupyterLab using Google Drive.,https://github.com/jupyterlab/jupyterlab-google-drive,,lab-extensions,18,True,,jupyterlab/jupyterlab-google-drive,,https://github.com/jupyterlab/jupyterlab-google-drive,BSD-3-Clause,2016-12-17 01:40:45.000,2023-08-03 16:55:22.000000,2023-08-03 16:55:22,516.0,,74.0,34.0,118.0,,99.0,396.0,2018-02-05 18:54:22.000,0.11.1,,260.0,12.0,5.0,5.0,17.0,,,,,,,,2.0,@jupyterlab/google-drive,https://www.npmjs.com/package/@jupyterlab/google-drive,,,260.0,,,,,,,,,,,,,,,,,,
163,Lantern,Data exploration glue.,https://github.com/timkpaine/lantern,,lab-extensions,18,True,pylantern,timkpaine/lantern,,https://github.com/timkpaine/lantern,Apache-2.0,2017-07-15 03:49:10.000,2023-12-11 14:03:21.000000,2023-12-11 14:03:20,538.0,2.0,21.0,14.0,27.0,11.0,188.0,339.0,2020-02-02 22:32:28.000,0.1.6,,72.0,26.0,19.0,19.0,3.0,https://pypi.org/project/pylantern,,,72.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
164,treon,Easy to use test framework for Jupyter Notebooks.,https://github.com/ReviewNB/treon,,notebook-tools,18,False,treon,ReviewNB/treon,conda-forge/treon,https://github.com/ReviewNB/treon,MIT,2019-03-29 15:02:35.000,2023-06-16 19:26:36.235000,2022-08-04 11:15:04,66.0,,23.0,13.0,12.0,3.0,10.0,291.0,,,,13398.0,2.0,96.0,96.0,5.0,https://pypi.org/project/treon,,,13118.0,https://anaconda.org/conda-forge/treon,2023-06-16 19:26:36.235,8680.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
165,gator,Conda environment and package management extension from within Jupyter.,https://github.com/mamba-org/gator,,jupyter-extensions,18,True,mamba-gator,mamba-org/gator,conda-forge/mamba_gator,https://github.com/mamba-org/gator,BSD-3-Clause,2018-08-02 05:15:23.000,2023-11-26 17:44:26.000000,2023-10-26 14:20:46,625.0,1.0,26.0,6.0,152.0,13.0,43.0,251.0,2023-05-05 13:00:11.000,5.2.1,2.0,1092.0,30.0,5.0,5.0,26.0,https://pypi.org/project/mamba-gator,,,27.0,https://anaconda.org/conda-forge/mamba_gator,2023-06-16 19:23:51.106,39016.0,3.0,@mamba-org/gator-lab,https://www.npmjs.com/package/@mamba-org/gator-lab,,,39.0,,,,,,,,,,,,,,,,,,
166,JupyterLab SideCar,A sidecar output widget for JupyterLab.,https://github.com/jupyter-widgets/jupyterlab-sidecar,,lab-extensions,18,True,sidecar,jupyter-widgets/jupyterlab-sidecar,conda-forge/sidecar,https://github.com/jupyter-widgets/jupyterlab-sidecar,BSD-3-Clause,2018-03-26 09:23:58.000,2023-08-30 18:18:16.177000,2023-08-30 15:29:37,94.0,,40.0,15.0,76.0,37.0,12.0,237.0,2023-08-30 15:33:27.000,0.7.0,,5710.0,8.0,19.0,7.0,16.0,https://pypi.org/project/sidecar,2023-08-30 15:33:27.000,9.0,4604.0,https://anaconda.org/conda-forge/sidecar,2023-08-30 18:18:16.177,21763.0,2.0,@jupyter-widgets/jupyterlab-sidecar,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-sidecar,2021-07-05 14:42:11.336,3.0,502.0,,,,,,,,,,,,,,,,,,
167,SAS Kernel,A Jupyter kernel for SAS. This opens up all the data manipulation and analytics capabilities of your SAS system within..,https://github.com/sassoftware/sas_kernel,,kernels,18,True,sas_kernel,sassoftware/sas_kernel,anaconda/sas_kernel,https://github.com/sassoftware/sas_kernel,Apache-2.0,2016-04-01 16:19:50.000,2023-06-16 13:24:59.052000,2023-01-13 14:14:25,262.0,,80.0,37.0,29.0,,58.0,195.0,2022-12-01 21:51:02.000,2.4.13,,3222.0,15.0,,,11.0,https://pypi.org/project/sas_kernel,,,3188.0,https://anaconda.org/anaconda/sas_kernel,2023-06-16 13:24:59.052,2566.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
168,Spylon Kernel,Jupyter kernel for scala and spark.,https://github.com/vericast/spylon-kernel,,kernels,18,False,spylon-kernel,vericast/spylon-kernel,conda-forge/spylon-kernel,https://github.com/vericast/spylon-kernel,,2016-11-21 02:23:14.000,2024-01-11 09:22:04.000000,2018-09-20 15:43:57,188.0,,33.0,12.0,29.0,22.0,20.0,181.0,2017-03-05 04:26:44.000,0.2.0,,3941.0,8.0,150.0,150.0,6.0,https://pypi.org/project/spylon-kernel,,,2404.0,https://anaconda.org/conda-forge/spylon-kernel,2023-06-16 13:20:41.310,127595.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
169,ipyexperiments,"Automatic GPU+CPU memory profiling, re-use and memory leaks detection using jupyter/ipython experiment containers.",https://github.com/stas00/ipyexperiments,,notebook-tools,18,True,ipyexperiments,stas00/ipyexperiments,,https://github.com/stas00/ipyexperiments,Apache-2.0,2018-11-15 01:19:40.000,2023-12-15 03:22:24.000000,2023-12-15 03:22:22,207.0,4.0,11.0,8.0,2.0,,5.0,178.0,2023-12-15 03:21:06.000,0.1.29,,345.0,25.0,10.0,8.0,3.0,https://pypi.org/project/ipyexperiments,2023-12-15 03:21:06.000,2.0,345.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,
