,name,description,homepage,resource,category,projectrank,show,pypi_id,github_id,conda_id,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,license,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,conda_dependent_project_count,trending,updated_github_id,go_id,go_url,go_latest_release_published_at,go_dependent_project_count,cran_id,pypi,gem_id,hex_id,bitbucket_id
124,JupyterLab Templates,Support for jupyter notebook templates in jupyterlab.,https://github.com/jpmorganchase/jupyterlab_templates,,lab-extensions,21,True,jupyterlab_templates,jpmorganchase/jupyterlab_templates,conda-forge/jupyterlab_templates,https://github.com/jpmorganchase/jupyterlab_templates,2018-03-17 21:38:11.000,2022-02-06 23:56:41.000000,2022-02-06 23:56:41,316.0,27.0,50.0,16.0,79.0,8.0,70.0,287.0,2021-03-28 03:28:25.639,0.3.1,,9688.0,24.0,4.0,4.0,14.0,https://pypi.org/project/jupyterlab_templates,Apache-2.0,2019-06-30 05:07:41.000,,6368.0,https://anaconda.org/conda-forge/jupyterlab_templates,2021-03-28 15:22:13.818,4679.0,2.0,jupyterlab_templates,https://www.npmjs.com/package/jupyterlab_templates,2021-03-28 03:28:25.639,,3098.0,,,,,,,,,,,,,,,,,
125,ThebeLab,Turn static HTML pages into live documents with Jupyter kernels.,https://github.com/executablebooks/thebe,,notebook-sharing,21,True,,executablebooks/thebe,,https://github.com/executablebooks/thebe,2017-03-14 12:17:22.000,2022-02-14 12:30:02.000000,2021-11-19 12:06:20,676.0,,52.0,20.0,398.0,64.0,82.0,268.0,2021-10-26 10:05:57.827,0.8.2,,5940.0,6.0,5.0,5.0,26.0,,BSD-3-Clause,,,,,,,3.0,thebe,https://www.npmjs.com/package/thebe,2021-10-26 10:05:57.827,,5940.0,,,,,,,,,,,,,,,,,
126,JupyterLab System Monitor,JupyterLab extension to display system metrics.,https://github.com/jtpio/jupyterlab-system-monitor,,lab-extensions,21,True,jupyterlab-system-monitor,jtpio/jupyterlab-system-monitor,conda-forge/jupyterlab-system-monitor,https://github.com/jtpio/jupyterlab-system-monitor,2019-07-13 12:31:51.000,2022-02-15 08:27:54.000000,2022-02-15 08:27:46,176.0,11.0,27.0,5.0,49.0,17.0,20.0,223.0,2021-02-04 22:39:49.000,0.8.0,,16240.0,20.0,30.0,29.0,7.0,https://pypi.org/project/jupyterlab-system-monitor,BSD-3-Clause,2021-02-04 22:37:18.000,1.0,5668.0,https://anaconda.org/conda-forge/jupyterlab-system-monitor,2021-02-25 11:47:38.410,6098.0,2.0,jupyterlab-system-monitor,https://www.npmjs.com/package/jupyterlab-system-monitor,2020-11-23 15:30:52.408,,10064.0,,,,,,,,,,,,,,,,,
127,Rsession Proxy,Jupyter extensions for running an RStudio rsession proxy.,https://github.com/jupyterhub/jupyter-rsession-proxy,,jupyter-extensions,21,True,jupyter-rsession-proxy,jupyterhub/jupyter-rsession-proxy,conda-forge/jupyter-rsession-proxy,https://github.com/jupyterhub/jupyter-rsession-proxy,2016-12-09 06:26:18.000,2021-12-22 18:40:07.000000,2021-12-22 18:40:06,219.0,21.0,66.0,12.0,55.0,25.0,42.0,88.0,2021-12-01 19:23:10.000,2.0.1,,3741.0,12.0,35.0,35.0,19.0,https://pypi.org/project/jupyter-rsession-proxy,BSD-3-Clause,2021-12-01 19:23:10.000,,3485.0,https://anaconda.org/conda-forge/jupyter-rsession-proxy,2021-12-01 22:22:18.422,8474.0,2.0,,,,,,,,,,,,,,,,,,,,,,
128,LTI Authenticator,A JupyterHub authenticator for LTI.,https://github.com/jupyterhub/ltiauthenticator,,hub-auth,21,True,jupyterhub-ltiauthenticator,jupyterhub/ltiauthenticator,,https://github.com/jupyterhub/ltiauthenticator,2017-12-15 02:54:15.000,2022-01-31 22:16:38.000000,2022-01-27 14:20:28,225.0,8.0,39.0,4.0,52.0,5.0,26.0,51.0,2021-11-15 20:11:03.000,1.3.0,,2658.0,8.0,81.0,72.0,13.0,https://pypi.org/project/jupyterhub-ltiauthenticator,BSD-3-Clause,2021-11-15 20:11:03.000,9.0,2658.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
129,Native Authenticator,JupyterHub-native User Authenticator https://native-authenticator.readthedocs.io/en/latest/.,https://github.com/jupyterhub/nativeauthenticator,,hub-auth,21,True,jupyterhub-nativeauthenticator,jupyterhub/nativeauthenticator,,https://github.com/jupyterhub/nativeauthenticator,2018-12-03 17:38:18.000,2022-01-31 22:16:27.000000,2021-12-30 13:14:05,484.0,6.0,48.0,9.0,112.0,21.0,68.0,47.0,2021-10-19 17:25:45.000,1.0.5,,5023.0,11.0,34.0,34.0,21.0,https://pypi.org/project/jupyterhub-nativeauthenticator,BSD-3-Clause,2021-10-19 17:25:45.000,,5023.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
130,IJulia.jl,Julia kernel for Jupyter.,https://github.com/JuliaLang/IJulia.jl,,kernels,20,True,,JuliaLang/IJulia.jl,,https://github.com/JuliaLang/IJulia.jl,2013-03-05 18:20:21.000,2021-12-17 07:34:26.000000,2021-10-27 14:05:51,702.0,,374.0,121.0,256.0,95.0,683.0,2412.0,2021-02-24 00:04:46.000,1.23.2,,,41.0,,,100.0,,MIT,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
131,Variable Inspector,Variable Inspector extension for Jupyterlab.,https://github.com/lckr/jupyterlab-variableInspector,,lab-extensions,20,True,lckr-jupyterlab-variableinspector,lckr/jupyterlab-variableInspector,conda-forge/jupyterlab-variableinspector,https://github.com/lckr/jupyterlab-variableInspector,2018-06-13 18:16:02.000,2021-10-19 16:52:12.000000,2021-10-19 16:52:05,165.0,,77.0,28.0,80.0,40.0,114.0,887.0,2021-04-10 13:07:39.934,3.0.9,,19191.0,11.0,3.0,3.0,17.0,https://pypi.org/project/lckr-jupyterlab-variableinspector,BSD-3-Clause,2021-04-10 13:07:22.000,,10533.0,https://anaconda.org/conda-forge/jupyterlab-variableinspector,2021-04-10 15:26:15.988,2584.0,2.0,@lckr/jupyterlab_variableinspector,https://www.npmjs.com/package/@lckr/jupyterlab_variableinspector,2021-04-10 13:07:39.934,,8400.0,,,,,,,,,,,,,,,,,
132,notedown,Markdown = IPython Notebook.,https://github.com/aaren/notedown,,notebook-sharing,20,False,notedown,aaren/notedown,conda-forge/notedown,https://github.com/aaren/notedown,2014-02-17 17:28:59.000,2021-10-18 21:21:21.000000,2017-11-16 19:29:56,264.0,,91.0,20.0,29.0,39.0,29.0,787.0,2017-11-16 17:59:43.000,1.5.1,,3901.0,26.0,190.0,162.0,7.0,https://pypi.org/project/notedown,BSD-2-Clause,2017-11-16 17:59:43.000,28.0,3157.0,https://anaconda.org/conda-forge/notedown,2018-06-07 01:28:24.567,32745.0,3.0,,,,,,,,,,,,,,,,,,,,,,
133,IRuby,Official gem repository: Ruby kernel for Jupyter/IPython Notebook.,https://github.com/SciRuby/iruby,,kernels,20,True,,SciRuby/iruby,,https://github.com/SciRuby/iruby,2015-03-03 18:05:50.000,2022-02-17 09:42:13.000000,2022-02-17 09:42:09,713.0,17.0,12.0,31.0,134.0,43.0,140.0,682.0,2021-08-17 16:20:34.000,0.7.4,15.0,19.0,10.0,152.0,152.0,44.0,,MIT,,,,,,,2.0,,,,,,rubydata/datascience-notebook,https://hub.docker.com/r/rubydata/datascience-notebook,2021-09-28 04:43:56.581044,3.0,1577.0,,2.0,,,,,,,,iruby,,
134,Ansible Kernel,Jupyter Notebook Kernel for running Ansible Tasks and Playbooks.,https://github.com/ansible/ansible-jupyter-kernel,,kernels,20,True,ansible-kernel,ansible/ansible-jupyter-kernel,conda-forge/ansible-kernel,https://github.com/ansible/ansible-jupyter-kernel,2018-06-26 14:28:02.000,2022-02-12 03:05:54.538000,2022-02-11 15:18:23,212.0,4.0,53.0,19.0,51.0,14.0,29.0,479.0,2022-02-11 15:19:00.000,1.0.0,,2078.0,11.0,8.0,8.0,10.0,https://pypi.org/project/ansible-kernel,Apache-2.0,2022-02-11 15:19:00.000,,291.0,https://anaconda.org/conda-forge/ansible-kernel,2022-02-12 03:05:54.538,8924.0,2.0,,,,,,benthomasson/ansible-jupyter-kernel,https://hub.docker.com/r/benthomasson/ansible-jupyter-kernel,2018-12-12 18:42:31.528778,2.0,66422.0,,2.0,,,,,,,,,,
135,ipysheet,Jupyter handsontable integration.,https://github.com/QuantStack/ipysheet,,widgets,20,True,ipysheet,QuantStack/ipysheet,conda-forge/ipysheet,https://github.com/QuantStack/ipysheet,2017-07-10 13:46:31.000,2022-01-22 05:56:41.000000,2021-12-14 18:02:31,295.0,1.0,58.0,18.0,105.0,60.0,57.0,473.0,2021-08-13 08:05:12.035,0.5.0,,35425.0,22.0,16.0,3.0,10.0,https://pypi.org/project/ipysheet,MIT,2021-08-11 12:28:11.000,13.0,30392.0,https://anaconda.org/conda-forge/ipysheet,2021-08-11 12:55:17.098,41864.0,3.0,ipysheet,https://www.npmjs.com/package/ipysheet,2021-08-13 08:05:12.035,,3902.0,,,,,,,,,,,,,,,,,
136,tributary,Streaming reactive and dataflow graphs in Python.,https://github.com/timkpaine/tributary,,widgets,20,True,tributary,timkpaine/tributary,conda-forge/tributary,https://github.com/timkpaine/tributary,2018-09-08 02:58:57.000,2022-02-15 03:32:09.000000,2022-02-02 20:14:35,590.0,29.0,25.0,14.0,69.0,11.0,70.0,295.0,2021-02-27 04:59:39.000,0.1.5,,905.0,15.0,17.0,17.0,7.0,https://pypi.org/project/tributary,Apache-2.0,2020-08-25 18:51:06.000,,153.0,https://anaconda.org/conda-forge/tributary,2021-11-17 22:00:58.159,15058.0,3.0,,,,,,,,,,,,,,,,,,,,,,
