,name,description,homepage,resource,category,projectrank,show,pypi_id,github_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,conda_dependent_project_count,updated_github_id,cran_id,pypi,go_id,go_url,go_latest_release_published_at,go_dependent_project_count,gem_id,hex_id,bitbucket_id
208,jupyterlab-flake8,Jupyterlab python linter for notebooks and text files using flake8.,https://github.com/mlshapiro/jupyterlab-flake8,,lab-extensions,16,False,jupyterlab-flake8,mlshapiro/jupyterlab-flake8,,https://github.com/mlshapiro/jupyterlab-flake8,BSD-3-Clause,2018-04-11 16:16:59.000,2021-09-16 16:01:09.000000,2021-09-16 16:01:07,108.0,,10.0,8.0,13.0,6.0,33.0,110.0,2021-09-16 15:37:05.151,0.7.1,,52381.0,21.0,3.0,2.0,5.0,https://pypi.org/project/jupyterlab-flake8,2021-09-16 15:36:42.000,1.0,52210.0,,,,3.0,jupyterlab-flake8,https://www.npmjs.com/package/jupyterlab-flake8,2021-09-16 15:37:05.151,,171.0,,,,,,,,,,,,,,,,,
209,Content Management,Jupyter Content Management Extensions.,https://github.com/jupyter-incubator/contentmanagement,,jupyter-extensions,16,False,jupyter_cms,jupyter-incubator/contentmanagement,conda-forge/jupyter_cms,https://github.com/jupyter-incubator/contentmanagement,BSD-3-Clause,2015-09-21 15:41:02.000,2022-11-07 19:30:19.663000,2018-06-11 01:51:34,136.0,,27.0,21.0,32.0,7.0,20.0,76.0,2017-04-05 01:49:01.000,0.7.0,,1305.0,12.0,6.0,,8.0,https://pypi.org/project/jupyter_cms,2017-04-05 01:49:01.000,6.0,211.0,https://anaconda.org/conda-forge/jupyter_cms,2022-11-07 19:30:19.663,85374.0,3.0,,,,,,,,,,,,,,,,,,,,,,
210,JupyterLab Autoversion,Automatically version jupyter notebooks in JupyterLab.,https://github.com/timkpaine/jupyterlab_autoversion,,lab-extensions,16,True,jupyterlab_autoversion,timkpaine/jupyterlab_autoversion,conda-forge/jupyterlab_autoversion,https://github.com/timkpaine/jupyterlab_autoversion,Apache-2.0,2018-08-23 23:49:52.000,2023-03-15 03:03:13.000000,2023-03-15 03:03:12,295.0,11.0,9.0,4.0,76.0,4.0,29.0,62.0,2022-04-11 15:35:12.000,0.3.6,,496.0,14.0,2.0,,5.0,https://pypi.org/project/jupyterlab_autoversion,2019-06-29 15:19:19.000,,83.0,https://anaconda.org/conda-forge/jupyterlab_autoversion,2022-04-11 19:13:15.331,12815.0,3.0,jupyterlab_autoversion,https://www.npmjs.com/package/jupyterlab_autoversion,2022-04-11 15:34:49.164,2.0,37.0,,,,,,,,,,,,,,,,,
211,jupyterlab-sos,"Jupyterlab extension for SoS Polyglot Notebook and Workflow Engine, allows multiple kernels in one notebook.",https://github.com/vatlab/jupyterlab-sos,,lab-extensions,16,True,jupyterlab-sos,vatlab/jupyterlab-sos,conda-forge/jupyterlab-sos,https://github.com/vatlab/jupyterlab-sos,BSD-3-Clause,2018-03-20 16:07:18.000,2022-12-07 17:29:47.244000,2022-12-06 21:58:47,327.0,,4.0,4.0,3.0,8.0,51.0,62.0,2022-12-06 22:45:00.828,0.9.0,,798.0,43.0,4.0,2.0,4.0,https://pypi.org/project/jupyterlab-sos,2022-12-06 22:45:00.828,,121.0,https://anaconda.org/conda-forge/jupyterlab-sos,2022-12-07 17:29:47.244,24669.0,3.0,jupyterlab-sos,https://www.npmjs.com/package/jupyterlab-sos,2021-01-14 22:31:15.129,2.0,90.0,,,,,,,,,,,,,,,,,
212,Altair Viewer,Viewer for Altair and Vega-Lite visualizations.,https://github.com/altair-viz/altair_viewer,,widgets,16,True,altair_viewer,altair-viz/altair_viewer,conda-forge/altair_viewer,https://github.com/altair-viz/altair_viewer,BSD-3-Clause,2019-12-20 14:32:14.000,2023-02-23 21:39:23.000000,2023-02-23 21:39:23,119.0,2.0,8.0,6.0,45.0,5.0,4.0,58.0,2021-11-06 14:18:45.000,0.4.0,,46534.0,7.0,12.0,,3.0,https://pypi.org/project/altair_viewer,2021-11-06 14:16:09.000,12.0,44962.0,https://anaconda.org/conda-forge/altair_viewer,2021-11-06 17:22:59.600,59755.0,3.0,,,,,,,,,,,,,,,,,,,,,,
213,ipyscales,A widget library for scales.,https://github.com/vidartf/ipyscales,,widgets,16,False,ipyscales,vidartf/ipyscales,conda-forge/ipyscales,https://github.com/vidartf/ipyscales,BSD-3-Clause,2017-08-24 20:16:19.000,2023-01-08 10:52:33.000000,2022-09-01 10:51:55,178.0,,4.0,2.0,23.0,2.0,4.0,13.0,2022-09-01 10:53:14.353,0.7.0,,1134.0,11.0,66.0,56.0,4.0,https://pypi.org/project/ipyscales,2022-09-01 10:53:14.353,1.0,97.0,https://anaconda.org/conda-forge/ipyscales,2022-10-12 13:17:36.580,57217.0,3.0,jupyter-scales,https://www.npmjs.com/package/jupyter-scales,2022-09-01 10:39:34.683,9.0,34.0,,,,,,,,,,,,,,,,,
214,Wolfram Kernel,Wolfram Language kernel for Jupyter notebooks.,https://github.com/WolframResearch/WolframLanguageForJupyter,,kernels,15,False,,WolframResearch/WolframLanguageForJupyter,,https://github.com/WolframResearch/WolframLanguageForJupyter,MIT,2019-01-18 19:37:06.000,2022-08-23 18:11:54.000000,2022-02-19 09:55:04,143.0,,107.0,49.0,40.0,42.0,68.0,833.0,,,7397.0,164.0,3.0,,,7.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
215,nbgather,Spit shine for Jupyter notebooks.,https://github.com/microsoft/gather,,lab-extensions,15,True,,microsoft/gather,,https://github.com/microsoft/gather,MIT,2018-10-08 23:32:10.000,2023-02-28 12:13:09.000000,2022-11-28 19:10:54,345.0,,31.0,13.0,46.0,10.0,17.0,469.0,2020-02-06 15:50:53.838,0.6.1,,62.0,9.0,2.0,2.0,13.0,,,,,,,,3.0,nbgather,https://www.npmjs.com/package/nbgather,2020-02-06 15:50:53.838,,62.0,,,,,,,,,,,,,,,,,
216,ML Hub,Multi-user development platform for machine learning teams. Simple to setup within minutes.,https://github.com/ml-tooling/ml-hub,,notebook-environments,15,False,,ml-tooling/ml-hub,,https://github.com/ml-tooling/ml-hub,Apache-2.0,2019-06-26 15:05:50.000,2021-12-23 13:12:29.000000,2021-12-23 13:12:29,220.0,,58.0,17.0,8.0,15.0,11.0,271.0,2020-02-03 15:59:07.000,1.0.0,1986.0,1036.0,8.0,,,7.0,,,,,,,,3.0,,,,,,mltooling/ml-hub,https://hub.docker.com/r/mltooling/ml-hub,2020-02-18 09:26:53.302538,5.0,44533.0,,,,,,,,,,,,
217,pynb,Jupyter Notebooks as plain Python code with embedded Markdown text.,https://github.com/elehcimd/pynb,,notebook-sharing,15,False,pynb,elehcimd/pynb,,https://github.com/elehcimd/pynb,MIT,2017-11-14 11:13:22.000,2020-07-07 15:27:22.000000,2020-07-07 15:27:10,154.0,,6.0,18.0,6.0,,8.0,243.0,2020-07-07 15:27:22.000,0.2.4,,69.0,17.0,22.0,21.0,8.0,https://pypi.org/project/pynb,2020-07-07 15:27:22.000,1.0,69.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
