,name,description,homepage,resource,category,projectrank,show,pypi_id,github_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_monthly_downloads,npm_latest_release_published_at,npm_dependent_project_count,updated_github_id,trending,pypi,cran_id,go_id,go_url,go_latest_release_published_at,go_dependent_project_count,gem_id,hex_id,bitbucket_id
112,ipywebrtc,WebRTC for Jupyter notebook/lab.,https://github.com/maartenbreddels/ipywebrtc,,widgets,22,True,ipywebrtc,maartenbreddels/ipywebrtc,conda-forge/ipywebrtc,https://github.com/maartenbreddels/ipywebrtc,MIT,2017-08-10 18:07:51.000,2023-06-16 13:24:24.196000,2023-03-06 12:26:30,217.0,,36.0,12.0,74.0,30.0,28.0,228.0,,,,53036.0,8.0,837.0,837.0,9.0,https://pypi.org/project/ipywebrtc,,,48224.0,https://anaconda.org/conda-forge/ipywebrtc,2023-06-16 13:24:24.196,316849.0,3.0,,,,,,jupyter-webrtc,https://www.npmjs.com/package/jupyter-webrtc,350.0,,,,,,,,,,,,,
113,Jupyter Bokeh,An extension for rendering Bokeh content in JupyterLab notebooks.,https://github.com/bokeh/jupyter_bokeh,,lab-extensions,22,True,jupyter-bokeh,bokeh/jupyter_bokeh,conda-forge/jupyter_bokeh,https://github.com/bokeh/jupyter_bokeh,BSD-3-Clause,2017-08-14 23:01:29.000,2023-06-16 19:19:30.692000,2023-03-14 10:04:23,136.0,,42.0,21.0,93.0,18.0,82.0,221.0,2023-03-14 10:13:01.307,3.0.7,,58346.0,19.0,20.0,2.0,18.0,https://pypi.org/project/jupyter-bokeh,2022-09-20 16:25:47.708,16.0,47018.0,https://anaconda.org/conda-forge/jupyter_bokeh,2023-06-16 19:19:30.692,60204.0,1.0,,,,,,@bokeh/jupyter_bokeh,https://www.npmjs.com/package/@bokeh/jupyter_bokeh,9701.0,2023-03-14 10:13:01.307,2.0,,,,,,,,,,,
114,JupyterLab Spellchecker,Spellchecker for JupyterLab notebook markdown cells and file editor.,https://github.com/jupyterlab-contrib/spellchecker,,lab-extensions,22,True,jupyterlab-spellchecker,jupyterlab-contrib/spellchecker,conda-forge/jupyterlab-spellchecker,https://github.com/jupyterlab-contrib/spellchecker,BSD-3-Clause,2018-04-02 07:47:30.000,2023-07-12 18:05:04.000000,2023-07-08 15:07:07,211.0,31.0,17.0,8.0,82.0,17.0,37.0,176.0,2023-07-05 18:58:59.000,0.8.3,,6662.0,12.0,169.0,169.0,6.0,https://pypi.org/project/jupyterlab-spellchecker,,,2857.0,https://anaconda.org/conda-forge/jupyterlab-spellchecker,2023-07-06 01:09:10.162,82654.0,1.0,,,,,,@ijmbarr/jupyterlab_spellchecker,https://www.npmjs.com/package/@ijmbarr/jupyterlab_spellchecker,744.0,,,,,,,,,,,,,
115,Jupyter Sphinx,Sphinx extension for rendering of Jupyter interactive widgets.,https://github.com/jupyter/jupyter-sphinx,,notebook-tools,22,False,jupyter_sphinx,jupyter/jupyter-sphinx,conda-forge/jupyter_sphinx,https://github.com/jupyter/jupyter-sphinx,BSD-3-Clause,2016-11-15 18:36:37.000,2023-06-16 13:24:13.395000,2022-06-25 19:26:22,372.0,,55.0,22.0,88.0,51.0,86.0,164.0,2022-06-25 19:35:21.000,0.4.0,,90299.0,13.0,,,25.0,https://pypi.org/project/jupyter_sphinx,,,87423.0,https://anaconda.org/conda-forge/jupyter_sphinx,2023-06-16 13:24:13.395,218596.0,3.0,,,,,,,,,,,,,,,,,,,,,
116,SystemdSpawner,Spawn JupyterHub single-user notebook servers with systemd.,https://github.com/jupyterhub/systemdspawner,,hub-spawners,22,True,jupyterhub-systemdspawner,jupyterhub/systemdspawner,conda-forge/jupyterhub-systemdspawner,https://github.com/jupyterhub/systemdspawner,BSD-3-Clause,2016-09-06 07:20:44.000,2023-07-11 11:03:45.000000,2023-06-08 13:13:25,228.0,70.0,47.0,9.0,65.0,27.0,49.0,90.0,2023-06-08 13:14:00.415,1.0.1,,4492.0,20.0,28.0,27.0,20.0,https://pypi.org/project/jupyterhub-systemdspawner,2023-01-11 00:33:05.122,1.0,3879.0,https://anaconda.org/conda-forge/jupyterhub-systemdspawner,2023-06-16 16:16:00.682,29456.0,2.0,,,,,,,,,,,,,,,,,,,,,
117,LTI Authenticator,A JupyterHub authenticator for LTI.,https://github.com/jupyterhub/ltiauthenticator,,hub-auth,22,True,jupyterhub-ltiauthenticator,jupyterhub/ltiauthenticator,,https://github.com/jupyterhub/ltiauthenticator,BSD-3-Clause,2017-12-15 02:54:15.000,2023-07-05 07:56:10.000000,2023-07-05 07:56:08,434.0,42.0,49.0,7.0,125.0,3.0,43.0,58.0,2023-06-16 08:44:01.377,1.6.1,,2070.0,13.0,99.0,90.0,18.0,https://pypi.org/project/jupyterhub-ltiauthenticator,2021-11-15 20:11:03.000,9.0,2070.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,
118,ipyvue,Jupyter widgets base for Vue libraries.,https://github.com/widgetti/ipyvue,,widgets,22,True,ipyvue,mariobuikhuizen/ipyvue,conda-forge/ipyvue,https://github.com/widgetti/ipyvue,MIT,2019-08-11 10:10:05.000,2023-06-28 18:05:27.000000,2023-06-16 12:52:37,117.0,10.0,13.0,6.0,66.0,4.0,6.0,50.0,2023-06-16 12:58:00.913,1.9.2,,118299.0,27.0,540.0,512.0,4.0,https://pypi.org/project/ipyvue,2021-10-28 09:32:48.000,16.0,111939.0,https://anaconda.org/conda-forge/ipyvue,2023-06-16 16:16:23.273,96201.0,3.0,,,,,,jupyter-vue,https://www.npmjs.com/package/jupyter-vue,4314.0,2023-06-16 12:57:14.688,12.0,widgetti/ipyvue,,,,,,,,,,
119,commuter,Notebook sharing hub.,https://github.com/nteract/commuter,,notebook-sharing,21,False,,nteract/commuter,,https://github.com/nteract/commuter,BSD-3-Clause,2017-01-03 22:23:32.000,2023-01-06 01:49:20.000000,2022-04-28 20:49:58,640.0,,577.0,41.0,254.0,52.0,39.0,5990.0,2020-10-27 19:53:29.453,5.11.0,,164.0,71.0,7.0,5.0,27.0,,,,,,,,3.0,,,,,,@nteract/commuter,https://www.npmjs.com/package/@nteract/commuter,164.0,2020-10-27 19:53:29.453,2.0,,,,,,,,,,,
120,ML Workspace,All-in-one web-based IDE specialized for machine learning and data science.,https://github.com/ml-tooling/ml-workspace,,notebook-environments,21,False,,ml-tooling/ml-workspace,,https://github.com/ml-tooling/ml-workspace,Apache-2.0,2019-05-27 16:55:15.000,2022-12-25 14:22:01.000000,2021-11-22 20:42:15,846.0,,394.0,75.0,32.0,3.0,91.0,3127.0,2021-07-13 22:12:59.000,0.13.2,,10646.0,4.0,,,11.0,,,,,,,,3.0,mltooling/ml-workspace,https://hub.docker.com/r/mltooling/ml-workspace,2021-07-13 16:32:15.225256,27.0,532344.0,,,,,,,,,,,,,,,,
121,xeus-cling,Jupyter kernel for the C++ programming language.,https://github.com/jupyter-xeus/xeus-cling,,kernels,21,True,,jupyter-xeus/xeus-cling,conda-forge/xeus-cling,https://github.com/jupyter-xeus/xeus-cling,BSD-3-Clause,2017-04-20 15:35:44.000,2023-07-13 04:15:15.591000,2023-07-12 15:01:11,525.0,5.0,264.0,63.0,219.0,149.0,122.0,2691.0,,,,5601.0,19.0,,,25.0,,,,,https://anaconda.org/conda-forge/xeus-cling,2023-07-13 04:15:15.591,207248.0,2.0,,,,,,,,,,,,,,,,,,,,,
