,name,description,homepage,resource,category,projectrank,show,pypi_id,github_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,trending,updated_github_id,conda_dependent_project_count,pypi,cran_id,go_id,go_url,go_latest_release_published_at,go_dependent_project_count,gem_id,hex_id,bitbucket_id
251,PPExtensions,Set of iPython and Jupyter extensions to improve user experience.,https://github.com/paypal/PPExtensions,,jupyter-extensions,13,False,ppextensions,paypal/PPExtensions,,https://github.com/paypal/PPExtensions,BSD-3-Clause,2018-08-17 20:07:23.000,2019-11-22 13:46:43.000000,2018-12-07 00:05:33,32.0,,27.0,21.0,30.0,19.0,22.0,48.0,2019-08-02 19:51:00.000,0.0.6,,18.0,6.0,1.0,1.0,9.0,https://pypi.org/project/ppextensions,2019-08-02 19:51:00.000,,18.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
252,JWT Authenticator,A Token Authenticator for JupyterHub.,https://github.com/mogthesprog/jwtauthenticator,,hub-auth,13,False,jupyterhub-jwtauthenticator,mogthesprog/jwtauthenticator,,https://github.com/mogthesprog/jwtauthenticator,Apache-2.0,2017-06-21 20:09:58.000,2021-04-15 07:40:37.000000,2019-02-13 10:57:15,24.0,,37.0,6.0,14.0,9.0,8.0,43.0,,,,264.0,1.0,13.0,10.0,7.0,https://pypi.org/project/jupyterhub-jwtauthenticator,2018-01-25 07:43:22.000,3.0,264.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
253,FargateSpawner,Spawns JupyterHub single user servers in Docker containers running in AWS Fargate.,https://github.com/uktrade/fargatespawner,,hub-spawners,13,False,fargatespawner,uktrade/fargatespawner,,https://github.com/uktrade/fargatespawner,MIT,2018-09-12 14:06:22.000,2020-06-28 13:26:26.000000,2020-06-28 13:25:54,59.0,,21.0,13.0,12.0,6.0,5.0,37.0,2020-06-28 13:26:26.000,0.0.25,,115.0,25.0,3.0,3.0,3.0,https://pypi.org/project/fargatespawner,2020-06-28 13:26:26.000,,115.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
254,SAML Authenticator,jupyterhub-samlauthenticator.,https://github.com/HewlettPackard/jupyterhub-samlauthenticator,,hub-auth,13,True,jupyterhub-samlauthenticator,HewlettPackard/jupyterhub-samlauthenticator,,https://github.com/HewlettPackard/jupyterhub-samlauthenticator,MIT,2019-04-17 21:34:09.000,2022-03-21 15:14:31.000000,2022-03-21 15:14:31,113.0,,20.0,30.0,40.0,16.0,14.0,33.0,2020-07-13 15:59:02.000,0.0.9,13.0,261.0,8.0,,,7.0,https://pypi.org/project/jupyterhub-samlauthenticator,2020-07-13 15:59:02.000,,261.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
255,dummyauthenticator,A Dummy JupyterHub Authenticator to make testing easy.,https://github.com/jupyterhub/dummyauthenticator,,hub-auth,13,False,jupyterhub-dummyauthenticator,jupyterhub/dummyauthenticator,,https://github.com/jupyterhub/dummyauthenticator,BSD-3-Clause,2016-02-14 21:57:32.000,2021-02-12 08:19:02.000000,2021-02-12 08:19:00,7.0,,14.0,4.0,2.0,6.0,2.0,28.0,2017-04-29 22:45:46.000,0.3.1,,4702.0,4.0,121.0,104.0,1.0,https://pypi.org/project/jupyterhub-dummyauthenticator,2017-04-29 22:45:46.000,17.0,4702.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
256,Kernel Management,Experimental new kernel management framework for Jupyter.,https://github.com/takluyver/jupyter_kernel_mgmt,,notebook-tools,13,False,jupyter-kernel-mgmt,takluyver/jupyter_kernel_mgmt,,https://github.com/takluyver/jupyter_kernel_mgmt,BSD-3-Clause,2018-04-01 20:06:08.000,2020-08-27 01:11:14.000000,2020-01-29 22:31:34,1783.0,,7.0,8.0,23.0,11.0,14.0,13.0,2020-01-15 19:12:57.000,0.5.1,17.0,18.0,7.0,4.0,,74.0,https://pypi.org/project/jupyter-kernel-mgmt,2019-12-07 18:06:15.000,4.0,18.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
257,StickyLand,Break the linear presentation of Jupyter Notebooks with sticky cells!.,https://github.com/xiaohk/stickyland,,lab-extensions,12,True,jupyterlab-stickyland,xiaohk/stickyland,,https://github.com/xiaohk/stickyland,BSD-3-Clause,2021-11-02 15:25:33.000,2022-07-14 20:17:51.000000,2022-05-30 02:36:56,125.0,,16.0,6.0,2.0,,8.0,260.0,2022-05-30 02:42:01.000,0.2.2,11.0,338.0,8.0,2.0,1.0,2.0,https://pypi.org/project/jupyterlab-stickyland,2022-05-30 02:42:01.000,1.0,319.0,,,,3.0,,,,,,jupyterlab-stickyland,https://www.npmjs.com/package/jupyterlab-stickyland,2021-11-23 04:23:59.372,,18.0,,,,,,,,,,,,
258,nbmake-action,GitHub Action for testing notebooks.,https://github.com/treebeardtech/nbmake-action,,notebook-tools,12,False,,treebeardtech/nbmake-action,,https://github.com/treebeardtech/nbmake-action,Apache-2.0,2020-02-06 15:49:32.000,2021-09-21 08:52:43.000000,2021-09-21 08:52:40,9.0,,6.0,8.0,41.0,,24.0,154.0,2020-12-11 15:26:11.000,0.2.1,,,5.0,30.0,30.0,2.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
259,Jupyter DataTables,Jupyter Notebook extension leveraging pandas DataFrames by integrating DataTables and ChartJS.,https://github.com/CermakM/jupyter-datatables,,widgets,12,False,jupyter-datatables,CermakM/jupyter-datatables,,https://github.com/CermakM/jupyter-datatables,MIT,2019-03-28 20:55:12.000,2019-12-11 12:10:31.000000,2019-12-11 12:10:07,147.0,,16.0,8.0,4.0,13.0,15.0,141.0,2019-11-22 07:33:04.000,0.3.9,,466.0,9.0,,,4.0,https://pypi.org/project/jupyter-datatables,2019-11-22 07:33:04.000,,466.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
260,jupyterlab_darkside_ui,Darkside ui and syntax theme for jupyterlab.,https://github.com/dunovank/jupyterlab_darkside_ui,,lab-themes,12,True,jupyterlab_darkside_ui,dunovank/jupyterlab_darkside_ui,,https://github.com/dunovank/jupyterlab_darkside_ui,BSD-3-Clause,2021-04-22 15:57:16.000,2022-10-04 16:35:31.000000,2022-10-04 16:35:31,29.0,2.0,7.0,3.0,4.0,1.0,4.0,100.0,2022-03-18 17:41:32.000,0.2.3,,664.0,12.0,,,5.0,https://pypi.org/project/jupyterlab_darkside_ui,2022-03-18 17:41:32.000,,664.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
