,name,description,homepage,resource,category,projectrank,show,github_id,pypi_id,conda_id,github_url,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,license,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,trending,conda_dependent_project_count,go_id,cran_id,gem_id,pypi,updated_github_id,hex_id,bitbucket_id
63,jupyter-dash,Develop Dash apps in the Jupyter Notebook and JupyterLab.,https://github.com/plotly/jupyter-dash,,widgets,22,True,plotly/jupyter-dash,jupyter-dash,,https://github.com/plotly/jupyter-dash,2020-04-26 18:43:59.000000,2021-02-23 23:07:07.000000,2021-01-22 17:01:16.000000,95.0,25.0,13.0,435.0,119.0,2021-01-22 17:07:52.000000,0.4.0,58.0,7272.0,12.0,260.0,260.0,3.0,https://pypi.org/project/jupyter-dash,MIT,2021-01-22 17:02:58.000000,0.0,7266.0,,,,2.0,,,,,,,,,,,,,,,,,,,
64,ipycanvas,Interactive Canvas in Jupyter.,https://github.com/martinRenou/ipycanvas,,widgets,22,True,martinRenou/ipycanvas,ipycanvas,conda-forge/ipycanvas,https://github.com/martinRenou/ipycanvas,2019-07-06 12:55:29.000000,2021-02-19 17:57:42.000000,2021-02-19 17:57:42.000000,32.0,22.0,54.0,413.0,323.0,2021-01-20 17:26:18.000000,0.8.2,,3378.0,24.0,81.0,81.0,9.0,https://pypi.org/project/ipycanvas,BSD-3-Clause,2021-01-20 17:26:18.000000,0.0,2356.0,https://anaconda.org/conda-forge/ipycanvas,2021-01-20 17:56:51.201000,17382.0,2.0,,,,,,,,,,,,,,,,,,,
65,vega,IPython/Jupyter notebook module for Vega and Vega-Lite.,https://github.com/vega/ipyvega,,widgets,22,True,vega/ipyvega,vega,conda-forge/vega,https://github.com/vega/ipyvega,2015-08-04 03:22:47.000000,2021-02-04 22:17:48.000000,2021-02-04 22:17:48.000000,46.0,8.0,79.0,295.0,480.0,2020-05-15 23:40:02.000000,3.4.0,,16029.0,37.0,148.0,,9.0,https://pypi.org/project/vega,BSD-3-Clause,2020-05-15 23:40:02.000000,148.0,9115.0,https://anaconda.org/conda-forge/vega,2020-12-10 15:03:57.175000,387210.0,2.0,,,,,,,,,,,,,,,,,,,
66,ipyvuetify,Jupyter widgets based on vuetify UI components.,https://github.com/mariobuikhuizen/ipyvuetify,,widgets,22,True,mariobuikhuizen/ipyvuetify,ipyvuetify,conda-forge/ipyvuetify,https://github.com/mariobuikhuizen/ipyvuetify,2019-05-14 17:35:51.000000,2021-02-22 19:18:07.995000,2021-02-22 17:03:17.000000,25.0,43.0,58.0,179.0,192.0,2021-01-15 09:50:46.000000,1.6.1,,9400.0,43.0,10.0,4.0,10.0,https://pypi.org/project/ipyvuetify,MIT,2021-02-22 17:11:17.000000,6.0,7513.0,https://anaconda.org/conda-forge/ipyvuetify,2021-02-22 19:18:07.995000,35856.0,2.0,,,,,,,,,,,,,,,,,,,
67,jupyter-console,Jupyter Terminal Console.,https://github.com/jupyter/jupyter_console,,others,22,True,jupyter/jupyter_console,jupyter-console,,https://github.com/jupyter/jupyter_console,2015-04-09 06:58:55.000000,2020-11-06 12:19:59.000000,2020-08-27 23:32:32.000000,112.0,48.0,76.0,160.0,536.0,2020-08-28 19:47:01.000000,6.2.0,,4386237.0,13.0,0.0,,52.0,https://pypi.org/project/jupyter-console,BSD-3-Clause,2020-08-28 19:47:01.000000,0.0,4386237.0,,,,3.0,,,,,,,,,,,,,,,,,,,
68,nbgitpuller,Jupyter server extension to sync a git repository one-way to a local path.,https://github.com/jupyterhub/nbgitpuller,,jupyter-extensions,22,True,jupyterhub/nbgitpuller,nbgitpuller,conda-forge/nbgitpuller,https://github.com/jupyterhub/nbgitpuller,2017-05-24 19:41:10.000000,2021-02-16 13:41:13.000000,2021-02-16 13:40:44.000000,46.0,33.0,55.0,126.0,338.0,2020-08-01 12:38:50.000000,0.9.0,,17634.0,13.0,279.0,264.0,20.0,https://pypi.org/project/nbgitpuller,BSD-3-Clause,2020-08-01 12:38:50.000000,15.0,16906.0,https://anaconda.org/conda-forge/nbgitpuller,2020-08-01 13:34:29.631000,14560.0,2.0,,,,,,,,,,,,,,,,,,,
69,Jupyter Sphinx,Sphinx extension for rendering of Jupyter interactive widgets.,https://github.com/jupyter/jupyter-sphinx,,notebook-tools,22,True,jupyter/jupyter-sphinx,jupyter_sphinx,,https://github.com/jupyter/jupyter-sphinx,2016-11-15 18:36:37.000000,2021-02-19 11:21:03.000000,2021-02-19 11:21:03.000000,35.0,31.0,67.0,103.0,335.0,2020-09-21 17:37:11.000000,0.3.2,,17574.0,8.0,17.0,,22.0,https://pypi.org/project/jupyter_sphinx,BSD-3-Clause,2018-08-06 23:12:20.000000,17.0,17574.0,,,,2.0,,,,,,,,,,,,,,,,,,,
70,jupyter-packaging,Tools to help build and install Jupyter Python packages.,https://github.com/jupyter/jupyter-packaging,,components,22,False,jupyter/jupyter-packaging,jupyter-packaging,conda-forge/jupyter-packaging,https://github.com/jupyter/jupyter-packaging,2017-03-04 19:38:49.000000,2021-02-11 14:52:06.950000,2021-02-11 12:20:48.000000,28.0,7.0,11.0,24.0,205.0,2021-02-11 12:21:11.000000,0.7.12,,23531.0,19.0,59.0,57.0,16.0,https://pypi.org/project/jupyter-packaging,BSD-3-Clause,2021-02-11 12:21:11.000000,2.0,22491.0,https://anaconda.org/conda-forge/jupyter-packaging,2021-02-11 14:52:06.950000,9368.0,3.0,,,,,,,,,,,1.0,,,,,,,,
71,ipydatawidgets,A set of widgets to help facilitate reuse of large datasets across widgets.,https://github.com/vidartf/ipydatawidgets,,widgets,22,False,vidartf/ipydatawidgets,ipydatawidgets,conda-forge/ipydatawidgets,https://github.com/vidartf/ipydatawidgets,2017-07-31 17:37:26.000000,2021-01-06 10:43:12.012000,2021-01-04 10:18:53.000000,6.0,5.0,5.0,24.0,266.0,2021-01-04 10:18:03.000000,4.2.0,,10742.0,16.0,276.0,250.0,5.0,https://pypi.org/project/ipydatawidgets,BSD-3-Clause,2021-01-04 10:18:03.000000,26.0,8466.0,https://anaconda.org/conda-forge/ipydatawidgets,2021-01-06 10:43:12.012000,72857.0,2.0,,,,,,,,,,,,,,,,,,,
72,commuter,Notebook sharing hub.,https://github.com/nteract/commuter,,notebook-sharing,21,True,nteract/commuter,,,https://github.com/nteract/commuter,2017-01-03 22:23:32.000000,2021-01-27 21:54:50.000000,2021-01-27 21:54:49.000000,542.0,47.0,38.0,5424.0,610.0,2020-07-17 00:15:20.654000,5.10.1,,156.0,70.0,3.0,3.0,27.0,,BSD-3-Clause,,,,,,,2.0,,,,,,@nteract/commuter,https://www.npmjs.com/package/@nteract/commuter,2020-07-17 00:15:20.654000,,156.0,,,,,,,,,
73,Knowledge Repo,A next-generation curated knowledge sharing platform for data scientists and other technical professions.,https://github.com/airbnb/knowledge-repo,,notebook-sharing,21,True,airbnb/knowledge-repo,knowledge-repo,,https://github.com/airbnb/knowledge-repo,2016-08-17 23:32:50.000000,2021-01-20 07:28:10.000000,2021-01-20 02:55:37.000000,635.0,131.0,159.0,4662.0,573.0,2021-01-20 07:28:10.000000,0.9.0,,355.0,30.0,1.0,,57.0,https://pypi.org/project/knowledge-repo,Apache-2.0,2021-01-20 07:28:10.000000,1.0,355.0,,,,2.0,,,,,,,,,,,,,,,,,,,
74,gophernotes,The Go kernel for Jupyter notebooks and nteract.,https://github.com/gopherdata/gophernotes,,kernels,21,True,gopherdata/gophernotes,,,https://github.com/gopherdata/gophernotes,2016-01-22 19:22:16.000000,2021-02-12 16:59:46.000000,2021-02-12 16:59:45.000000,195.0,39.0,118.0,2803.0,378.0,2020-07-22 09:44:18.000000,0.7.1,38.0,1348.0,13.0,,,26.0,,MIT,,,,,,,1.0,gopherdata/gophernotes,https://hub.docker.com/r/gopherdata/gophernotes,2018-12-22 19:00:35.934804,5.0,82281.0,,,,,,,,github.com/gopherdata/gophernotes,,,,,,
75,IRkernel,R kernel for Jupyter.,https://github.com/IRkernel/IRkernel,,kernels,21,True,IRkernel/IRkernel,,r/r-irkernel,https://github.com/IRkernel/IRkernel,2014-02-26 02:57:07.000000,2021-02-25 06:15:29.831473,2021-02-10 10:22:01.000000,276.0,44.0,491.0,1404.0,577.0,2020-07-20 12:11:32.000000,1.1.1,,4070.0,15.0,,,38.0,,MIT,,,,https://anaconda.org/r/r-irkernel,2020-03-10 23:18:20.173000,28082.0,1.0,jupyter/r-notebook,https://hub.docker.com/r/jupyter/r-notebook,2021-02-25 06:15:29.831473,36.0,308272.0,,,,,,,,,IRkernel,,,,,
76,Variable Inspector,Variable Inspector extension for Jupyterlab.,https://github.com/lckr/jupyterlab-variableInspector,,lab-extensions,21,True,lckr/jupyterlab-variableInspector,,,https://github.com/lckr/jupyterlab-variableInspector,2018-06-13 18:16:02.000000,2021-01-26 15:10:11.000000,2021-01-26 15:10:10.000000,70.0,34.0,105.0,739.0,159.0,2021-01-20 16:38:35.000000,3.0.6,,16467.0,7.0,3.0,3.0,16.0,,BSD-3-Clause,,,,,,,2.0,,,,,,@lckr/jupyterlab_variableinspector,https://www.npmjs.com/package/@lckr/jupyterlab_variableinspector,2020-05-29 14:50:45.861000,,16467.0,,,,,,,,,
77,Apache Toree,Jupyter kernel for Apache Spark.,https://github.com/apache/incubator-toree,,kernels,21,True,apache/incubator-toree,toree,,https://github.com/apache/incubator-toree,2016-01-07 08:00:06.000000,2020-09-28 04:37:49.000000,2020-08-23 17:51:13.000000,213.0,12.0,,663.0,1128.0,2020-08-01 16:46:23.000000,0.4.0,,4881.0,13.0,9.0,,101.0,https://pypi.org/project/toree,Apache-2.0,2020-08-01 16:46:23.000000,9.0,4881.0,,,,1.0,,,,,,,,,,,,,,,,,,,
78,Stencila,Living documents for reproducible research.,https://github.com/stencila/stencila,,notebook-sharing,21,True,stencila/stencila,,,https://github.com/stencila/stencila,2012-05-31 02:43:31.000000,2021-02-25 04:44:49.000000,2021-02-25 04:43:32.000000,37.0,8.0,445.0,585.0,2763.0,2021-02-25 04:43:44.000000,0.38.0,1173.0,245.0,75.0,21.0,13.0,19.0,,Apache-2.0,,,,,,,2.0,stencila/cloud,https://hub.docker.com/r/stencila/cloud,2019-04-08 04:14:51.284193,,16458.0,stencila,https://www.npmjs.com/package/stencila,2020-11-06 15:20:04.059000,8.0,75.0,,,,,,,,,
79,Code Formatter,A universal code formatter for JupyterLab.,https://github.com/ryantam626/jupyterlab_code_formatter,,lab-extensions,21,True,ryantam626/jupyterlab_code_formatter,jupyterlab_code_formatter,,https://github.com/ryantam626/jupyterlab_code_formatter,2018-08-12 20:50:17.000000,2021-02-13 13:34:08.000000,2021-02-13 13:30:34.000000,35.0,13.0,106.0,399.0,332.0,2021-02-13 13:31:29.000000,1.4.4,,28520.0,48.0,2.0,,29.0,https://pypi.org/project/jupyterlab_code_formatter,MIT,2021-02-13 13:31:29.000000,2.0,14747.0,,,,2.0,,,,,,@ryantam626/jupyterlab_code_formatter,https://www.npmjs.com/package/@ryantam626/jupyterlab_code_formatter,2021-02-13 13:30:56.044000,,13773.0,,,,,,,,,
80,ipysheet,Jupyter handsontable integration.,https://github.com/QuantStack/ipysheet,,widgets,21,True,QuantStack/ipysheet,ipysheet,conda-forge/ipysheet,https://github.com/QuantStack/ipysheet,2017-07-10 13:46:31.000000,2021-01-29 19:07:38.000000,2020-04-30 08:50:34.000000,51.0,58.0,46.0,390.0,282.0,2020-04-30 08:53:17.000000,0.4.4,,8144.0,21.0,21.0,3.0,8.0,https://pypi.org/project/ipysheet,MIT,2020-04-30 08:53:17.000000,18.0,3397.0,https://anaconda.org/conda-forge/ipysheet,2020-10-12 16:07:52.593000,28512.0,3.0,,,,,,ipysheet,https://www.npmjs.com/package/ipysheet,2020-04-30 08:49:24.146000,,3607.0,,,,,,,,,
81,Appmode,A Jupyter extensions that turns notebooks into web applications.,https://github.com/oschuett/appmode,,jupyter-extensions,21,True,oschuett/appmode,appmode,conda-forge/appmode,https://github.com/oschuett/appmode,2017-03-17 13:33:53.000000,2021-01-24 17:12:41.412000,2020-06-09 08:15:17.000000,59.0,5.0,46.0,357.0,95.0,2020-06-09 08:23:50.000000,0.8.0,,4313.0,16.0,289.0,251.0,8.0,https://pypi.org/project/appmode,MIT,2020-06-09 08:23:50.000000,38.0,1686.0,https://anaconda.org/conda-forge/appmode,2021-01-24 17:12:41.412000,102456.0,2.0,,,,,,,,,,,,,,,,,,,
