,name,description,homepage,resource,category,projectrank,show,pypi_id,github_id,conda_id,npm_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_latest_release_published_at,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,projectrank_placing,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,updated_github_id,conda_dependent_project_count,trending,pypi,go_id,go_url,go_latest_release_published_at,go_dependent_project_count,cran_id,gem_id,hex_id,bitbucket_id
163,OCaml Kernel,An OCaml kernel for Jupyter (IPython) notebook.,https://github.com/akabe/ocaml-jupyter,,kernels,18,True,,akabe/ocaml-jupyter,,,https://github.com/akabe/ocaml-jupyter,MIT,2017-07-14 14:15:05.000,2022-04-10 08:21:20.000000,2022-04-10 07:57:57,372.0,,28.0,9.0,119.0,3.0,68.0,227.0,,,18.0,,,2022-04-10 08:38:48.000,2.8.0,32.0,,,1145.0,,,,,,,,3.0,69897.0,,,,,,,,,,,,,,,,,
164,JupyterLab Chart Editor,JupyterLab extension for Plotlys react-chart-editor.,https://github.com/plotly/jupyterlab-chart-editor,,lab-renderer,18,False,,plotly/jupyterlab-chart-editor,,jupyterlab-chart-editor,https://github.com/plotly/jupyterlab-chart-editor,BSD-3-Clause,2018-01-23 18:18:38.000,2022-07-08 05:34:02.000000,2021-03-10 20:56:11,71.0,,22.0,37.0,34.0,12.0,19.0,209.0,3.0,3.0,5.0,,,2021-03-10 20:57:44.000,4.14.3,12.0,,,1105.0,,,,https://www.npmjs.com/package/jupyterlab-chart-editor,2021-03-10 20:56:44.112,,1105.0,3.0,,,,,,,,,,,,,,,,,,
165,SAS Kernel,A Jupyter kernel for SAS. This opens up all the data manipulation and analytics capabilities of your SAS system within..,https://github.com/sassoftware/sas_kernel,,kernels,18,True,sas_kernel,sassoftware/sas_kernel,anaconda/sas_kernel,,https://github.com/sassoftware/sas_kernel,Apache-2.0,2016-04-01 16:19:50.000,2022-06-01 15:55:57.000000,2022-06-01 15:55:57,253.0,1.0,72.0,35.0,28.0,3.0,54.0,187.0,1.0,,9.0,https://pypi.org/project/sas_kernel,2021-07-14 17:32:33.000,2021-07-14 17:32:33.000,2.4.11,19.0,1.0,1918.0,1947.0,https://anaconda.org/anaconda/sas_kernel,2022-03-05 07:03:16.530,1709.0,,,,,3.0,,,,,,,,,,,,,,,,,,
166,cdsdashboards,JupyterHub extension for ContainDS Dashboards.,https://github.com/ideonate/cdsdashboards,,notebook-sharing,18,True,cdsdashboards,ideonate/cdsdashboards,conda-forge/cdsdashboards,,https://github.com/ideonate/cdsdashboards,BSD-3-Clause,2020-04-28 13:51:31.000,2022-04-29 14:54:24.213000,2022-04-29 11:09:30,461.0,,33.0,7.0,18.0,31.0,57.0,171.0,,,13.0,https://pypi.org/project/cdsdashboards,2022-04-29 11:08:28.000,2022-04-29 11:08:28.000,0.6.2,43.0,,415.0,1602.0,https://anaconda.org/conda-forge/cdsdashboards,2022-04-29 14:54:24.213,29690.0,,,,,3.0,,,,,,,,,,,,,,,,,,
167,JupyterLab Data Explorer,First class datasets in JupyterLab.,https://github.com/jupyterlab/jupyterlab-data-explorer,,lab-extensions,18,False,,jupyterlab/jupyterlab-data-explorer,,@jupyterlab/dataregistry-extension,https://github.com/jupyterlab/jupyterlab-data-explorer,BSD-3-Clause,2019-01-03 21:57:42.000,2022-05-23 15:47:39.000000,2020-05-24 13:16:16,426.0,,34.0,28.0,58.0,57.0,34.0,170.0,15.0,10.0,9.0,,,2019-10-03 18:34:08.594,3.0.0,17.0,,,127.0,,,,https://www.npmjs.com/package/@jupyterlab/dataregistry-extension,2019-10-03 18:34:08.594,5.0,127.0,2.0,,,,,,,,,,,,,,,,,,
168,nbgallery,Enterprise Jupyter notebook sharing and collaboration app.,https://github.com/nbgallery/nbgallery,,notebook-sharing,18,True,,nbgallery/nbgallery,,,https://github.com/nbgallery/nbgallery,MIT,2017-01-10 19:18:40.000,2022-08-15 04:33:03.000000,2022-08-05 14:09:26,1505.0,21.0,23.0,10.0,316.0,67.0,305.0,142.0,,,19.0,,,,,,,,2370.0,,,,,,,,3.0,,nbgallery/nbgallery,https://hub.docker.com/r/nbgallery/nbgallery,2022-08-05 11:23:40.558016,3.0,158822.0,,,,,,,,,,,,
169,SystemdSpawner,Spawn JupyterHub single-user notebook servers with systemd.,https://github.com/jupyterhub/systemdspawner,,hub-spawners,18,True,jupyterhub-systemdspawner,jupyterhub/systemdspawner,conda-forge/jupyterhub-systemdspawner,,https://github.com/jupyterhub/systemdspawner,BSD-3-Clause,2016-09-06 07:20:44.000,2022-04-22 08:28:24.000000,2022-04-22 08:28:24,150.0,,40.0,10.0,38.0,35.0,32.0,79.0,22.0,21.0,17.0,https://pypi.org/project/jupyterhub-systemdspawner,2022-04-22 08:27:58.000,2020-12-07 11:49:55.000,0.15.0,17.0,1.0,1489.0,1995.0,https://anaconda.org/conda-forge/jupyterhub-systemdspawner,2021-11-17 00:47:23.558,18724.0,,,,,3.0,,,,,,,,,,,,,,,,,,
170,jupyter-archive,"A Jupyter/Jupyterlab extension to make, download and extract archive files.",https://github.com/jupyterlab-contrib/jupyter-archive,,jupyter-extensions,18,True,jupyter-archive,jupyterlab-contrib/jupyter-archive,conda-forge/jupyter-archive,@hadim/jupyter-archive,https://github.com/jupyterlab-contrib/jupyter-archive,BSD-3-Clause,2019-07-25 17:15:19.000,2022-07-20 08:18:21.000000,2022-07-20 08:18:20,211.0,3.0,10.0,3.0,65.0,1.0,32.0,56.0,,,9.0,https://pypi.org/project/jupyter-archive,2022-04-08 13:50:50.000,2022-04-08 13:51:10.322,3.3.1,32.0,,2514.0,8660.0,https://anaconda.org/conda-forge/jupyter-archive,2022-04-08 17:06:07.608,26929.0,https://www.npmjs.com/package/@hadim/jupyter-archive,2022-04-08 13:51:10.322,,5259.0,3.0,3252.0,,,,,,,,,,,,,,,,,
171,Altair Viewer,Viewer for Altair and Vega-Lite visualizations.,https://github.com/altair-viz/altair_viewer,,widgets,18,True,altair_viewer,altair-viz/altair_viewer,conda-forge/altair_viewer,,https://github.com/altair-viz/altair_viewer,BSD-3-Clause,2019-12-20 14:32:14.000,2022-01-14 00:49:57.000000,2022-01-14 00:49:56,117.0,,8.0,5.0,43.0,3.0,4.0,52.0,12.0,,3.0,https://pypi.org/project/altair_viewer,2021-11-06 14:16:09.000,2021-11-06 14:18:45.000,0.4.0,7.0,12.0,580163.0,581446.0,https://anaconda.org/conda-forge/altair_viewer,2021-11-06 17:22:59.600,39795.0,,,,,3.0,,,,,,,,,,,,,,,,,,
172,heat,IPython magic command to profile and view your python code as a heat map.,https://github.com/csurfer/pyheatmagic,,magic,17,True,py-heat-magic,csurfer/pyheatmagic,,,https://github.com/csurfer/pyheatmagic,MIT,2017-08-18 20:35:01.000,2021-09-10 21:27:13.000000,2021-09-10 21:27:13,34.0,,22.0,12.0,3.0,2.0,3.0,992.0,29.0,29.0,3.0,https://pypi.org/project/py-heat-magic,2017-08-19 16:11:38.000,2017-08-19 16:11:38.000,0.0.2,2.0,,1356.0,1356.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,
