,name,description,homepage,resource,category,projectrank,show,pypi_id,github_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,npm_id,pypi_latest_release_published_at,pypi_dependent_project_count,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,conda_dependent_project_count,updated_github_id,trending,pypi,cran_id,go_id,go_url,go_latest_release_published_at,go_dependent_project_count,gem_id,hex_id,docs_url,bitbucket_id
37,ipython-sql,"%%sql magic for IPython, hopefully evolving into full SQL client.",https://github.com/catherinedevlin/ipython-sql,,magic,29,True,ipython-sql,catherinedevlin/ipython-sql,conda-forge/ipython-sql,https://github.com/catherinedevlin/ipython-sql,MIT,2013-03-20 16:41:10.000,2024-01-25 00:54:52.000000,2023-04-21 20:49:35,292.0,,271.0,48.0,97.0,108.0,43.0,1741.0,,,,122994.0,3.0,5821.0,5821.0,55.0,https://pypi.org/project/ipython-sql,120198.0,https://anaconda.org/conda-forge/ipython-sql,2023-06-16 13:23:09.898,248879.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
38,repo2docker,Turn repositories into Jupyter-enabled Docker images.,https://github.com/jupyterhub/repo2docker,,notebook-tools,29,True,jupyter-repo2docker,jupyterhub/repo2docker,,https://github.com/jupyterhub/repo2docker,BSD-3-Clause,2017-05-09 08:36:30.000,2024-01-24 10:39:23.000000,2024-01-24 10:39:22,2737.0,22.0,354.0,48.0,800.0,174.0,363.0,1556.0,2023-06-13 07:26:00.805,2023.6.0,,4217.0,20.0,229.0,201.0,123.0,https://pypi.org/project/jupyter-repo2docker,4217.0,,,,1.0,,2023-06-13 07:26:00.805,28.0,,,,,,,,,,,,,,,,,,,,,,
39,JupyterLab Git,A Git extension for JupyterLab.,https://github.com/jupyterlab/jupyterlab-git,,lab-extensions,29,True,jupyterlab-git,jupyterlab/jupyterlab-git,conda-forge/jupyterlab-git,https://github.com/jupyterlab/jupyterlab-git,BSD-3-Clause,2017-06-20 17:31:00.000,2024-01-23 18:45:18.000000,2023-12-06 16:15:46,1884.0,16.0,279.0,39.0,700.0,85.0,495.0,1345.0,2023-11-21 14:39:09.000,0.50.0,165.0,167010.0,56.0,3.0,3.0,94.0,https://pypi.org/project/jupyterlab-git,137848.0,https://anaconda.org/conda-forge/jupyterlab-git,2023-11-22 14:00:51.490,516112.0,1.0,@jupyterlab/git,,,https://www.npmjs.com/package/@jupyterlab/git,,,17156.0,,,,,,,,,,,,,,,,,,
40,sparkmagic,Jupyter magics and kernels for working with remote Spark clusters.,https://github.com/jupyter-incubator/sparkmagic,,magic,29,False,sparkmagic,jupyter-incubator/sparkmagic,conda-forge/sparkmagic,https://github.com/jupyter-incubator/sparkmagic,,2015-09-21 15:35:25.000,2024-01-24 08:59:31.000000,2024-01-01 19:50:50,1354.0,23.0,411.0,49.0,435.0,130.0,300.0,1272.0,2023-09-13 15:49:53.000,0.21.0,,27078.0,23.0,329.0,329.0,64.0,https://pypi.org/project/sparkmagic,24276.0,https://anaconda.org/conda-forge/sparkmagic,2023-09-23 23:23:29.586,112106.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
41,responsible-ai-widgets,Responsible AI Toolbox is a suite of tools providing model and data exploration and assessment user interfaces and..,https://github.com/microsoft/responsible-ai-toolbox,,widgets,29,True,raiwidgets,microsoft/responsible-ai-toolbox,,https://github.com/microsoft/responsible-ai-toolbox,MIT,2020-07-06 20:46:53.000,2024-01-24 21:34:13.000000,2024-01-24 21:24:40,1917.0,83.0,278.0,23.0,2211.0,47.0,225.0,1093.0,2023-12-28 21:53:33.000,0.33.0,,4493.0,37.0,79.0,79.0,41.0,https://pypi.org/project/raiwidgets,4493.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
42,Stencila,"Programmable, reproducible, interactive documents.",https://github.com/stencila/stencila,,notebook-sharing,29,True,,stencila/stencila,,https://github.com/stencila/stencila,Apache-2.0,2012-05-31 02:43:31.000,2024-01-25 13:53:52.000000,2024-01-25 05:09:08,12130.0,873.0,46.0,27.0,1296.0,56.0,598.0,752.0,2023-11-26 02:36:17.000,2.0.0-alpha.23,3907.0,633.0,100.0,30.0,20.0,42.0,,,,,,2.0,stencila,,,https://www.npmjs.com/package/stencila,2020-11-06 15:20:04.059,10.0,377.0,stencila/cloud,https://hub.docker.com/r/stencila/cloud,2019-04-08 04:14:51.284193,,16469.0,,,,,,,,,,,,,
43,DockerSpawner,Spawns JupyterHub single user servers in Docker containers.,https://github.com/jupyterhub/dockerspawner,,hub-spawners,29,True,dockerspawner,jupyterhub/dockerspawner,conda-forge/dockerspawner,https://github.com/jupyterhub/dockerspawner,BSD-3-Clause,2014-09-26 20:08:26.000,2024-01-04 09:43:29.000000,2024-01-04 09:43:01,723.0,20.0,309.0,27.0,242.0,25.0,250.0,467.0,2023-11-21 14:14:18.000,13.0.0,,39114.0,17.0,205.0,178.0,69.0,https://pypi.org/project/dockerspawner,38408.0,https://anaconda.org/conda-forge/dockerspawner,2023-11-21 14:56:25.623,20496.0,2.0,,2023-11-21 14:14:18.000,27.0,,,,,,,,,,,,,,,,,,,,,,
44,Jupyter Client,Jupyter protocol client APIs.,https://github.com/jupyter/jupyter_client,,notebook-tools,29,True,jupyter-client,jupyter/jupyter_client,conda-forge/jupyter_client,https://github.com/jupyter/jupyter_client,BSD-3-Clause,2015-04-09 06:57:29.000,2024-01-15 12:39:19.000000,2024-01-02 13:33:54,2592.0,12.0,263.0,35.0,635.0,171.0,197.0,346.0,2023-11-06 12:55:30.000,8.6.0,1479.0,19785516.0,64.0,,,131.0,https://pypi.org/project/jupyter-client,19302578.0,https://anaconda.org/conda-forge/jupyter_client,2023-11-06 15:36:13.460,20281286.0,1.0,,,,,,,,,,,,,,,-5.0,,,,,,,,,,
45,facets-overview,Visualizations for machine learning datasets.,https://github.com/PAIR-code/facets,,widgets,28,True,facets-overview,pair-code/facets,,https://github.com/PAIR-code/facets,Apache-2.0,2017-07-07 14:03:03.000,2023-05-24 15:56:22.000000,2023-05-24 15:56:22,277.0,,876.0,268.0,98.0,78.0,81.0,7285.0,2019-07-01 16:35:20.000,1.0.0,,219361.0,4.0,212.0,212.0,31.0,https://pypi.org/project/facets-overview,219361.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
46,nbdev,Create delightful software with Jupyter Notebooks.,https://github.com/fastai/nbdev,,notebook-tools,28,True,nbdev,fastai/nbdev,,https://github.com/fastai/nbdev,Apache-2.0,2019-11-18 17:37:35.000,2023-12-29 22:24:56.000000,2023-11-13 05:45:49,1679.0,2.0,464.0,46.0,542.0,131.0,713.0,4665.0,2023-10-19 04:40:00.000,2.3.13,,42882.0,155.0,148.0,,46.0,https://pypi.org/project/nbdev,42882.0,,,,2.0,,2023-10-19 04:40:00.000,148.0,,,,,,,,,,,,,,,,,,,,,,
