,name,description,homepage,resource,category,projectrank,show,github_id,pypi_id,conda_id,github_url,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,license,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,new_addition,go_id,cran_id,pypi,gem_id,updated_github_id,hex_id,bitbucket_id
54,D-Tale,Visualizer for Pandas Data Structures.,https://github.com/man-group/dtale,,widgets,23,False,man-group/dtale,dtale,conda-forge/dtale,https://github.com/man-group/dtale,2019-07-15 09:34:48.000000,2021-03-31 03:08:24.029000,2021-03-31 01:42:10.000000,157.0,31.0,291.0,2166.0,384.0,2021-03-31 02:47:15.000000,1.41.1,,6360.0,112.0,117.0,117.0,15.0,https://pypi.org/project/dtale,LGPL-2.1,2021-03-31 02:45:27.000000,0.0,3107.0,https://anaconda.org/conda-forge/dtale,2021-03-31 03:08:24.029000,45546.0,2.0,,,,,,,,,,,,,True,,,,,,,
55,nbgrader,A system for assigning and grading notebooks.,https://github.com/jupyter/nbgrader,,jupyter-extensions,23,True,jupyter/nbgrader,nbgrader,conda-forge/nbgrader,https://github.com/jupyter/nbgrader,2014-09-13 03:27:36.000000,2021-03-27 19:27:42.000000,2021-03-19 01:01:25.000000,269.0,181.0,567.0,1002.0,2937.0,2019-11-07 21:56:26.000000,0.6.1,,2695.0,23.0,18.0,,81.0,https://pypi.org/project/nbgrader,BSD-3-Clause,2019-11-07 21:54:11.000000,18.0,1038.0,https://anaconda.org/conda-forge/nbgrader,2021-03-10 20:40:41.451000,84532.0,1.0,,,,,,,,,,,,,,,,,,,,
56,DataLab,Interactive tools and developer experiences for Big Data on Google Cloud Platform.,https://github.com/googledatalab/datalab,,notebook-environments,23,True,googledatalab/datalab,datalab,,https://github.com/googledatalab/datalab,2014-08-06 18:37:34.000000,2020-09-09 05:30:44.000000,2020-09-09 05:30:42.000000,242.0,221.0,666.0,954.0,2053.0,2020-03-25 23:36:46.000000,1.2.0,,13733.0,18.0,12.0,,51.0,https://pypi.org/project/datalab,Apache-2.0,2020-03-25 23:36:46.000000,12.0,13733.0,,,,2.0,,,,,,,,,,,,,,,,,,,,
57,JupyterLab LSP,Coding assistance for JupyterLab (code navigation + hover suggestions + linters + autocompletion + rename) using..,https://github.com/krassowski/jupyterlab-lsp,,lab-extensions,23,True,krassowski/jupyterlab-lsp,,,https://github.com/krassowski/jupyterlab-lsp,2019-08-17 11:34:22.000000,2021-04-01 10:02:41.000000,2021-03-30 09:59:34.000000,59.0,111.0,199.0,816.0,1941.0,2021-03-22 12:07:01.000000,3.5.0,,19295.0,56.0,3.0,1.0,26.0,,BSD-3-Clause,,,,,,,1.0,,,,,,,@krassowski/jupyterlab-lsp,https://www.npmjs.com/package/@krassowski/jupyterlab-lsp,2021-03-22 11:53:41.453000,2.0,19295.0,,,,,,,,,
58,NBextensions Configurator,A jupyter notebook serverextension providing config interfaces for nbextensions.,https://github.com/Jupyter-contrib/jupyter_nbextensions_configurator,,jupyter-extensions,23,False,jupyter-contrib/jupyter_nbextensions_configurator,jupyter_nbextensions_configurator,,https://github.com/Jupyter-contrib/jupyter_nbextensions_configurator,2016-06-24 22:29:05.000000,2021-01-11 10:02:27.000000,2020-03-01 13:46:17.000000,94.0,51.0,31.0,815.0,488.0,2018-12-29 12:36:16.000000,0.4.1,,67924.0,13.0,314.0,,17.0,https://pypi.org/project/jupyter_nbextensions_configurator,BSD-3-Clause,2018-12-29 12:36:16.000000,314.0,67924.0,,,,1.0,,,,,,,,,,,,,,,,,,,,
59,DockerSpawner,Spawns JupyterHub single user servers in Docker containers.,https://github.com/jupyterhub/dockerspawner,,hub-spawners,23,True,jupyterhub/dockerspawner,dockerspawner,conda-forge/dockerspawner,https://github.com/jupyterhub/dockerspawner,2014-09-26 20:08:26.000000,2021-03-26 12:46:49.000000,2021-03-26 10:25:36.000000,255.0,89.0,222.0,370.0,587.0,2019-04-25 09:02:42.000000,0.11.1,,2391.0,14.0,129.0,89.0,62.0,https://pypi.org/project/dockerspawner,BSD-3-Clause,2021-03-26 10:26:12.000000,40.0,2136.0,https://anaconda.org/conda-forge/dockerspawner,2019-04-26 00:50:54.465000,7397.0,2.0,,,,,,,,,,,,,,,,,,,,
60,gophernotes,The Go kernel for Jupyter notebooks and nteract.,https://github.com/gopherdata/gophernotes,,kernels,22,True,gopherdata/gophernotes,,,https://github.com/gopherdata/gophernotes,2016-01-22 19:22:16.000000,2021-03-20 20:49:38.000000,2021-03-20 20:49:38.000000,210.0,41.0,118.0,2852.0,381.0,2021-03-18 17:47:36.000000,0.7.2,39.0,1309.0,14.0,,,27.0,,MIT,,,,,,,1.0,gopherdata/gophernotes,https://hub.docker.com/r/gopherdata/gophernotes,2018-12-22 19:00:35.934804,6.0,82514.0,,,,,,,,,github.com/gopherdata/gophernotes,,,,,,
61,nbviewer,nbconvert as a web service: Render Jupyter Notebooks as static web pages.,https://github.com/jupyter/nbviewer,,notebook-sharing,22,True,jupyter/nbviewer,,,https://github.com/jupyter/nbviewer,2012-08-05 11:42:33.000000,2021-02-01 12:03:17.000000,2020-12-02 09:03:55.000000,474.0,144.0,400.0,1852.0,1382.0,,,,16727.0,,5.0,5.0,83.0,,BSD-3-Clause,,,,,,,2.0,jupyter/nbviewer,https://hub.docker.com/r/jupyter/nbviewer,2020-12-02 09:25:43.416709,26.0,1739676.0,,,,,,,,,,,,,,,
62,docker-python,Kaggle Python docker image.,https://github.com/Kaggle/docker-python,,notebook-environments,22,True,kaggle/docker-python,,,https://github.com/Kaggle/docker-python,2015-04-14 01:45:38.000000,2021-03-30 17:35:14.344536,2021-03-29 18:47:44.000000,721.0,22.0,234.0,1736.0,1856.0,2021-03-30 17:11:51.000000,da8df81cfa243148eed7af89d88ab85a88419749938682aa3d380cf04de90034,,2628.0,39.0,,,140.0,,Apache-2.0,,,,,,,3.0,kaggle/python,https://hub.docker.com/r/kaggle/python,2021-03-30 17:35:14.344536,151.0,189241.0,,,,,,,,,,,,,,,
63,IJavascript,IJavascript is a javascript kernel for the Jupyter notebook.,https://github.com/n-riesco/ijavascript,,kernels,22,True,n-riesco/ijavascript,,,https://github.com/n-riesco/ijavascript,2015-02-02 15:46:34.000000,2020-12-02 16:36:07.000000,2020-12-02 16:32:55.000000,153.0,49.0,148.0,1529.0,323.0,2019-09-26 17:24:18.653000,5.2.0,,3074.0,32.0,83.0,45.0,14.0,,BSD-3-Clause,,,,,,,1.0,,,,,,,ijavascript,https://www.npmjs.com/package/ijavascript,2019-09-26 17:24:18.653000,38.0,3074.0,,,,,,,,,
