,name,description,homepage,resource,category,projectrank,show,pypi_id,github_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,pypi_latest_release_published_at,pypi_dependent_project_count,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_monthly_downloads,updated_github_id,npm_latest_release_published_at,npm_dependent_project_count,conda_dependent_project_count,trending,pypi,cran_id,go_id,go_url,go_latest_release_published_at,go_dependent_project_count,gem_id,hex_id,bitbucket_id
165,SciJava Kernel,[RETIRED] Try IJava or BeakerX.,https://github.com/scijava/scijava-jupyter-kernel,,kernels,18,False,,scijava/scijava-jupyter-kernel,conda-forge/scijava-jupyter-kernel,https://github.com/scijava/scijava-jupyter-kernel,Apache-2.0,2017-01-31 01:16:24.000,2023-06-16 13:18:35.621000,2022-02-03 17:25:03,404.0,,42.0,20.0,22.0,,80.0,174.0,2017-06-02 21:19:27.000,0.5.0,104.0,1264.0,15.0,,,9.0,,,https://anaconda.org/conda-forge/scijava-jupyter-kernel,2023-06-16 13:18:35.621,96020.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,
166,JupyterLab Data Explorer,First class datasets in JupyterLab.,https://github.com/jupyterlab/jupyterlab-data-explorer,,lab-extensions,18,False,,jupyterlab/jupyterlab-data-explorer,,https://github.com/jupyterlab/jupyterlab-data-explorer,BSD-3-Clause,2019-01-03 21:57:42.000,2022-05-23 15:47:39.000000,2020-05-24 13:16:16,426.0,,35.0,27.0,58.0,59.0,34.0,174.0,2019-10-03 18:34:08.594,3.0.0,,83.0,17.0,19.0,12.0,9.0,,,,,,2.0,,,,,,,,@jupyterlab/dataregistry-extension,https://www.npmjs.com/package/@jupyterlab/dataregistry-extension,83.0,,2019-10-03 18:34:08.594,7.0,,,,,,,,,,,
167,jupyverse,A Jupyter server based on FastAPI.,https://github.com/jupyter-server/jupyverse,,notebook-environments,18,False,jupyverse,jupyter-server/jupyverse,conda-forge/fps-auth,https://github.com/jupyter-server/jupyverse,,2021-07-23 14:20:02.000,2023-08-03 13:08:30.000000,2023-08-03 12:25:36,610.0,36.0,23.0,9.0,277.0,17.0,41.0,159.0,2023-08-02 10:01:22.000,0.2.1,4305.0,1751.0,38.0,,,12.0,https://pypi.org/project/jupyverse,520.0,https://anaconda.org/conda-forge/fps-auth,2023-08-02 15:07:29.379,17624.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,
168,jupyter-fs,A filesystem-like contents manager for multiple backends in Jupyter.,https://github.com/jpmorganchase/jupyter-fs,,lab-extensions,18,True,jupyter-fs,jpmorganchase/jupyter-fs,conda-forge/jupyter-fs,https://github.com/jpmorganchase/jupyter-fs,Apache-2.0,2019-09-24 17:44:10.000,2023-07-19 01:58:45.000000,2023-06-06 09:31:44,407.0,10.0,30.0,14.0,111.0,12.0,50.0,152.0,2021-06-04 01:03:11.000,0.3.1,,765.0,7.0,2.0,2.0,13.0,https://pypi.org/project/jupyter-fs,542.0,https://anaconda.org/conda-forge/jupyter-fs,2023-06-16 19:22:50.491,7832.0,2.0,,2021-06-04 01:03:11.000,,,,,,,,,,,,,,,,,,,,,,
169,nbgallery,Enterprise Jupyter notebook sharing and collaboration app.,https://github.com/nbgallery/nbgallery,,notebook-sharing,18,True,,nbgallery/nbgallery,,https://github.com/nbgallery/nbgallery,MIT,2017-01-10 19:18:40.000,2023-07-10 14:12:13.990879,2023-07-10 11:45:14,1614.0,21.0,26.0,10.0,428.0,42.0,416.0,148.0,,,,2139.0,,,,20.0,,,,,,3.0,nbgallery/nbgallery,,,https://hub.docker.com/r/nbgallery/nbgallery,2023-07-10 14:12:13.990879,3.0,169007.0,,,,,,,,,,,,,,,,,
170,JupyterLab HDF5,"Open and explore HDF5 files in JupyterLab. Can handle very large (TB) sized files, and datasets of any dimensionality.",https://github.com/jupyterlab/jupyterlab-hdf5,,lab-extensions,18,True,jupyterlab_hdf,jupyterlab/jupyterlab-hdf5,,https://github.com/jupyterlab/jupyterlab-hdf5,BSD-3-Clause,2018-10-02 18:20:20.000,2023-07-19 01:38:02.000000,2023-03-22 16:23:31,361.0,,22.0,16.0,95.0,12.0,36.0,112.0,2023-03-08 10:22:18.488,1.3.0,,898.0,15.0,5.0,2.0,7.0,https://pypi.org/project/jupyterlab_hdf,574.0,,,,2.0,,2022-02-21 09:56:23.000,1.0,,,,,@jupyterlab/hdf5,https://www.npmjs.com/package/@jupyterlab/hdf5,324.0,,2023-03-08 10:22:05.823,2.0,,,,,,,,,,,
171,ipysigma,A Jupyter widget using sigma.js to render interactive networks.,https://github.com/medialab/ipysigma,,widgets,18,True,ipysigma,Yomguithereal/ipysigma,,https://github.com/medialab/ipysigma,MIT,2018-06-25 20:03:21.000,2023-06-15 13:49:54.000000,2023-06-15 13:49:38,354.0,6.0,10.0,5.0,17.0,43.0,152.0,111.0,2023-01-10 16:02:53.000,0.24.0,,663.0,2.0,22.0,22.0,6.0,https://pypi.org/project/ipysigma,355.0,,,,3.0,,,,,,,,ipysigma,https://www.npmjs.com/package/ipysigma,308.0,medialab/ipysigma,,,,,,,,,,,,,
172,ipyregulartable,"High performance, editable, stylable datagrids in jupyter and jupyterlab.",https://github.com/finos/ipyregulartable,,widgets,18,True,ipyregulartable,jpmorganchase/ipyregulartable,conda-forge/ipyregulartable,https://github.com/finos/ipyregulartable,Apache-2.0,2020-06-15 21:45:08.000,2023-07-18 22:54:29.000000,2023-07-18 22:54:28,223.0,7.0,15.0,7.0,85.0,10.0,17.0,91.0,,,,60219.0,6.0,12.0,12.0,5.0,https://pypi.org/project/ipyregulartable,126.0,https://anaconda.org/conda-forge/ipyregulartable,2023-06-16 19:23:44.012,5139.0,3.0,,,,,,,,@jupyter-widgets/jupyterlab-manager,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-manager,59938.0,finos/ipyregulartable,,,,-6.0,,,,,,,,,
173,Content Management,Jupyter Content Management Extensions.,https://github.com/jupyter-incubator/contentmanagement,,jupyter-extensions,18,False,jupyter_cms,jupyter-incubator/contentmanagement,conda-forge/jupyter_cms,https://github.com/jupyter-incubator/contentmanagement,BSD-3-Clause,2015-09-21 15:41:02.000,2023-06-16 13:18:19.143000,2018-06-11 01:51:34,136.0,,27.0,22.0,32.0,7.0,20.0,76.0,2017-04-05 01:49:01.000,0.7.0,,1381.0,12.0,20.0,14.0,8.0,https://pypi.org/project/jupyter_cms,275.0,https://anaconda.org/conda-forge/jupyter_cms,2023-06-16 13:18:19.143,91833.0,3.0,,2017-04-05 01:49:01.000,6.0,,,,,,,,,,,,,,,,,,,,,
174,SudoSpawner,Spawn JupyterHub single-user servers with sudo.,https://github.com/jupyterhub/sudospawner,,hub-spawners,18,False,sudospawner,jupyterhub/sudospawner,,https://github.com/jupyterhub/sudospawner,BSD-3-Clause,2014-11-24 23:21:36.000,2022-12-07 12:46:17.000000,2021-09-10 08:58:36,115.0,,38.0,11.0,36.0,18.0,21.0,44.0,2018-06-19 13:50:35.000,0.5.2,,1107.0,8.0,58.0,54.0,14.0,https://pypi.org/project/sudospawner,1107.0,,,,3.0,,2018-06-19 13:50:35.000,4.0,,,,,,,,,,,,,,,,,,,,,
