,name,description,homepage,resource,category,projectrank,show,pypi_id,github_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,conda_dependent_project_count,updated_github_id,trending,pypi,cran_id,go_id,go_url,go_latest_release_published_at,go_dependent_project_count,gem_id,hex_id,docs_url,bitbucket_id
131,colabcode,Run VSCode (codeserver) on Google Colab or Kaggle Notebooks.,https://github.com/abhishekkrthakur/colabcode,,others,21,False,colabcode,abhishekkrthakur/colabcode,,https://github.com/abhishekkrthakur/colabcode,MIT,2020-09-09 10:06:26.000,2023-05-31 15:54:53.000000,2021-06-11 15:16:36,44.0,,297.0,19.0,39.0,62.0,33.0,2025.0,2021-06-11 15:17:12.000,0.3.0,,4197.0,13.0,180.0,180.0,8.0,https://pypi.org/project/colabcode,2021-06-11 15:17:12.000,,4197.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,
132,datapane,Build and share data reports in 100% Python.,https://github.com/datapane/datapane,,others,21,True,datapane,datapane/datapane,conda-forge/datapane,https://github.com/datapane/datapane,Apache-2.0,2020-04-23 20:56:54.000,2023-10-16 21:21:29.000000,2023-09-07 13:44:00,362.0,,104.0,19.0,119.0,,112.0,1349.0,2023-09-07 13:59:32.000,0.17.0,,23889.0,90.0,14.0,,16.0,https://pypi.org/project/datapane,2023-09-07 13:59:32.000,14.0,22017.0,https://anaconda.org/conda-forge/datapane,2023-09-07 16:46:44.103,84284.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
133,JupyterLab Dash,An Extension for the Interactive development of Dash apps in JupyterLab.,https://github.com/plotly/jupyterlab-dash,,lab-renderer,21,False,jupyterlab-dash,plotly/jupyterlab-dash,,https://github.com/plotly/jupyterlab-dash,MIT,2018-11-07 19:47:52.000,2021-01-22 17:06:54.671000,2020-05-19 11:44:34,41.0,,237.0,51.0,12.0,22.0,8.0,885.0,2021-01-22 17:06:54.671,0.4.0,,3897.0,10.0,680.0,676.0,7.0,https://pypi.org/project/jupyterlab-dash,2019-07-13 16:38:26.000,1.0,1727.0,,,,2.0,jupyterlab-dash,https://www.npmjs.com/package/jupyterlab-dash,2021-01-22 17:06:54.671,3.0,2170.0,,,,,,,,,,,,,,,,,,
134,What-If Tool,Source code/webpage/demos for the What-If Tool.,https://github.com/PAIR-code/what-if-tool,,widgets,21,True,witwidget,PAIR-code/what-if-tool,conda-forge/tensorboard-plugin-wit,https://github.com/PAIR-code/what-if-tool,Apache-2.0,2018-09-07 20:26:10.000,2024-03-14 21:28:06.000000,2024-02-01 21:38:56,330.0,1.0,162.0,29.0,111.0,80.0,56.0,881.0,2021-10-12 17:42:50.869,1.8.1,,53802.0,40.0,8.0,2.0,20.0,https://pypi.org/project/witwidget,2021-10-12 17:42:30.000,4.0,5572.0,https://anaconda.org/conda-forge/tensorboard-plugin-wit,2023-06-16 19:20:28.498,2166131.0,3.0,wit-widget,https://www.npmjs.com/package/wit-widget,2021-10-12 17:42:50.869,2.0,1141.0,,,,,,,,,,,,,,,,,,
135,IRuby,Official gem repository: Ruby kernel for Jupyter/IPython Notebook.,https://github.com/SciRuby/iruby,,kernels,21,True,,SciRuby/iruby,,https://github.com/SciRuby/iruby,MIT,2015-03-03 18:05:50.000,2024-04-11 04:35:25.000000,2024-04-11 04:35:24,723.0,3.0,23.0,30.0,145.0,48.0,147.0,830.0,2021-08-17 16:20:34.000,0.7.4,15.0,19.0,10.0,232.0,232.0,47.0,,,,,,,,2.0,,,,,,rubydata/datascience-notebook,https://hub.docker.com/r/rubydata/datascience-notebook,2023-02-03 04:21:45.711711,5.0,2146.0,,,,,,,,,,iruby,,,
136,Apache Toree,Jupyter kernel for Apache Spark.,https://github.com/apache/incubator-toree,,kernels,21,True,toree,apache/incubator-toree,,https://github.com/apache/incubator-toree,Apache-2.0,2016-01-07 08:00:06.000,2024-03-26 16:19:26.000000,2024-03-26 16:19:25,1173.0,1.0,220.0,49.0,222.0,12.0,,732.0,2022-04-21 19:01:00.000,0.5.0,,7124.0,14.0,9.0,,108.0,https://pypi.org/project/toree,2022-04-21 19:01:00.000,9.0,7124.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
137,ipysheet,Jupyter handsontable integration.,https://github.com/jupyter-widgets-contrib/ipysheet,,widgets,21,True,ipysheet,QuantStack/ipysheet,conda-forge/ipysheet,https://github.com/jupyter-widgets-contrib/ipysheet,MIT,2017-07-10 13:46:31.000,2024-01-04 06:37:51.000000,2024-01-04 06:37:51,311.0,,69.0,20.0,125.0,63.0,60.0,536.0,2022-11-28 09:27:38.314,0.7.0,,124585.0,24.0,38.0,7.0,14.0,https://pypi.org/project/ipysheet,2022-11-28 09:25:01.163,28.0,122140.0,https://anaconda.org/conda-forge/ipysheet,2023-06-16 16:13:19.853,112953.0,3.0,ipysheet,https://www.npmjs.com/package/ipysheet,2022-11-28 09:27:38.314,3.0,653.0,,,,,,,jupyter-widgets-contrib/ipysheet,,,,,,,,,,,
138,JupyterLab Renderers,Renderers and renderer extensions for JupyterLab.,https://github.com/jupyterlab/jupyter-renderers,,lab-renderer,21,True,jupyterlab-katex,jupyterlab/jupyter-renderers,conda-forge/jupyterlab-vega3,https://github.com/jupyterlab/jupyter-renderers,BSD-3-Clause,2017-06-08 16:59:07.000,2024-03-27 12:52:53.000000,2024-03-20 13:37:27,626.0,4.0,75.0,33.0,205.0,40.0,74.0,485.0,2023-08-01 12:55:42.001,3.4.0,,1156.0,33.0,5.0,,31.0,https://pypi.org/project/jupyterlab-katex,2023-05-23 12:27:01.602,1.0,680.0,https://anaconda.org/conda-forge/jupyterlab-vega3,2023-06-16 19:25:17.752,3770.0,2.0,@jupyterlab/geojson-extension,https://www.npmjs.com/package/@jupyterlab/geojson-extension,2023-08-01 12:55:42.001,4.0,375.0,,,,,,,,,,,,,,,,,,
139,Appmode,A Jupyter extensions that turns notebooks into web applications.,https://github.com/oschuett/appmode,,jupyter-extensions,21,True,appmode,oschuett/appmode,conda-forge/appmode,https://github.com/oschuett/appmode,MIT,2017-03-17 13:33:53.000,2024-04-07 11:36:57.000000,2024-04-07 11:36:57,103.0,1.0,70.0,24.0,17.0,7.0,56.0,431.0,2023-05-18 14:28:00.000,0.9.0,,6604.0,17.0,381.0,359.0,10.0,https://pypi.org/project/appmode,2023-05-18 14:25:00.792,22.0,1617.0,https://anaconda.org/conda-forge/appmode,2024-02-05 12:45:27.862,224418.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
140,jupyterlab-execute-time,A JupyterLab extension for displaying cell timings.,https://github.com/deshaw/jupyterlab-execute-time,,lab-extensions,21,True,jupyterlab-execute-time,deshaw/jupyterlab-execute-time,conda-forge/jupyterlab_execute_time,https://github.com/deshaw/jupyterlab-execute-time,BSD-3-Clause,2020-04-07 22:27:30.000,2024-04-23 20:47:21.000000,2024-03-27 01:10:31,61.0,6.0,45.0,8.0,52.0,9.0,57.0,333.0,2024-02-14 22:33:59.000,3.1.2,,59570.0,15.0,11.0,4.0,17.0,https://pypi.org/project/jupyterlab-execute-time,2024-02-14 22:33:59.000,4.0,56733.0,https://anaconda.org/conda-forge/jupyterlab_execute_time,2024-02-15 00:39:31.021,62986.0,2.0,jupyterlab-execute-time,https://www.npmjs.com/package/jupyterlab-execute-time,2021-01-18 14:16:24.052,3.0,1222.0,,,,,,,,,,,,,,,,,,
