,name,description,homepage,resource,category,projectrank,show,pypi_id,github_id,conda_id,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,license,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,conda_dependent_project_count,updated_github_id,trending,go_id,go_url,go_latest_release_published_at,go_dependent_project_count,cran_id,pypi,gem_id,hex_id,bitbucket_id
10,panel,A high-level app and dashboarding solution for Python.,https://github.com/holoviz/panel,,widgets,36,True,panel,holoviz/panel,conda-forge/panel,https://github.com/holoviz/panel,2018-08-23 12:14:24.000,2022-03-03 07:54:29.000000,2022-03-02 21:12:39,1880.0,139.0,229.0,40.0,1569.0,509.0,1153.0,1627.0,2021-12-09 16:47:15.000,0.12.6,,457082.0,167.0,2910.0,2818.0,88.0,https://pypi.org/project/panel,BSD-3-Clause,2022-02-21 18:17:39.000,92.0,387085.0,https://anaconda.org/conda-forge/panel,2021-12-09 19:00:04.193,377268.0,1.0,@holoviz/panel,https://www.npmjs.com/package/@holoviz/panel,2022-02-21 18:21:09.514,,60796.0,,,,,,,,,,,,,,,,,
11,Jupyter Client,Jupyter protocol client APIs.,https://github.com/jupyter/jupyter_client,,notebook-tools,35,True,jupyter-client,jupyter/jupyter_client,conda-forge/jupyter_client,https://github.com/jupyter/jupyter_client,2015-04-09 06:57:29.000,2022-03-03 12:55:37.000000,2022-02-03 03:11:03,2199.0,82.0,220.0,31.0,448.0,139.0,169.0,264.0,2022-01-21 23:15:35.000,7.1.2,171.0,10413094.0,53.0,2138.0,,113.0,https://pypi.org/project/jupyter-client,BSD-3-Clause,2022-01-21 23:15:30.000,2138.0,10320958.0,https://anaconda.org/conda-forge/jupyter_client,2022-01-22 13:42:45.147,6539996.0,1.0,,,,,,,,,,,,,,,,,,,,,,
12,Jupytext,"Jupyter Notebooks as Markdown Documents, Julia, Python or R scripts.",https://github.com/mwouts/jupytext,,notebook-sharing,34,True,jupytext,mwouts/jupytext,conda-forge/jupytext,https://github.com/mwouts/jupytext,2018-06-15 05:25:36.000,2022-02-27 11:28:33.000000,2022-02-10 16:57:12,2242.0,25.0,326.0,70.0,431.0,58.0,437.0,5231.0,2022-02-09 21:36:45.000,1.13.7,,539923.0,109.0,2624.0,2481.0,68.0,https://pypi.org/project/jupytext,MIT,2022-02-09 21:36:45.000,143.0,521865.0,https://anaconda.org/conda-forge/jupytext,2022-02-15 08:53:11.191,273306.0,1.0,jupyterlab-jupytext,https://www.npmjs.com/package/jupyterlab-jupytext,2021-12-04 13:07:28.249,,11226.0,,,,,,,,,,,,,,,,,
13,Voila,Voil turns Jupyter notebooks into standalone web applications.,https://github.com/voila-dashboards/voila,,notebook-sharing,34,True,voila,voila-dashboards/voila,conda-forge/voila,https://github.com/voila-dashboards/voila,2018-08-21 14:21:42.000,2022-02-28 04:22:29.000000,2022-02-23 09:18:35,1220.0,102.0,383.0,77.0,536.0,253.0,339.0,3951.0,2022-02-22 15:22:11.000,0.3.2,165.0,58453.0,72.0,6197.0,6142.0,57.0,https://pypi.org/project/voila,BSD-3-Clause,2022-02-22 15:22:04.000,55.0,51267.0,https://anaconda.org/conda-forge/voila,2022-02-22 16:10:20.683,163045.0,1.0,@jupyter-voila/jupyterlab-preview,https://www.npmjs.com/package/@jupyter-voila/jupyterlab-preview,2020-05-19 10:24:11.555,,3183.0,,,,,,,,,,,,,,,,,
14,ipyparallel,IPython Parallel: Interactive Parallel Computing in Python.,https://github.com/ipython/ipyparallel,,notebook-tools,34,True,ipyparallel,ipython/ipyparallel,conda-forge/ipyparallel,https://github.com/ipython/ipyparallel,2015-04-09 07:43:55.000,2022-03-01 10:47:10.000000,2022-03-01 10:47:07,2569.0,57.0,863.0,116.0,356.0,49.0,267.0,2159.0,2021-12-22 08:42:58.000,8.1.0,,62807.0,37.0,2120.0,1837.0,106.0,https://pypi.org/project/ipyparallel,BSD-3-Clause,2022-02-07 14:22:40.000,283.0,54849.0,https://anaconda.org/conda-forge/ipyparallel,2022-02-07 17:40:52.548,565049.0,1.0,,,,,,,,,,,,,,,,,,,,,,
15,nteract,The interactive computing suite for you!.,https://github.com/nteract/nteract,,notebook-environments,33,True,nteract_on_jupyter,nteract/nteract,,https://github.com/nteract/nteract,2015-06-15 23:21:49.000,2022-03-02 02:45:36.000000,2022-02-18 01:04:58,11132.0,29.0,558.0,163.0,3913.0,162.0,1520.0,5764.0,2021-10-22 17:46:48.907,7.0.20,1310340.0,49314.0,94.0,37.0,,177.0,https://pypi.org/project/nteract_on_jupyter,BSD-3-Clause,2019-07-16 03:59:16.000,5.0,3041.0,,,,2.0,@nteract/messaging,https://www.npmjs.com/package/@nteract/messaging,2021-10-22 17:46:48.907,32.0,27554.0,,,,,,,,,,,,,,,,,
16,papermill,"Parameterize, execute, and analyze notebooks.",https://github.com/nteract/papermill,,widgets,33,True,papermill,nteract/papermill,conda-forge/papermill,https://github.com/nteract/papermill,2017-07-06 17:17:53.000,2022-02-18 05:38:57.000000,2022-02-18 05:38:57,908.0,11.0,352.0,95.0,316.0,98.0,234.0,4571.0,2022-01-22 22:46:54.000,2.3.4,,474238.0,71.0,2131.0,1958.0,98.0,https://pypi.org/project/papermill,BSD-3-Clause,2022-01-22 22:46:54.000,173.0,468900.0,https://anaconda.org/conda-forge/papermill,2022-01-23 14:55:30.846,229558.0,1.0,,,,,,,,,,,,,,,,,,,,,,
17,nikola,A static website and blog generator.,https://github.com/getnikola/nikola,,notebook-sharing,33,True,nikola,getnikola/nikola,,https://github.com/getnikola/nikola,2012-04-14 13:53:22.000,2022-02-13 12:26:30.000000,2022-02-13 12:26:30,10256.0,17.0,415.0,82.0,1496.0,38.0,2040.0,2258.0,2021-12-27 18:23:21.000,8.2.0,,3161.0,83.0,545.0,408.0,224.0,https://pypi.org/project/nikola,MIT,2021-12-27 18:21:19.000,137.0,3161.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
18,nbformat,Reference implementation of the Jupyter Notebook format.,https://github.com/jupyter/nbformat,,notebook-tools,33,True,nbformat,jupyter/nbformat,conda-forge/nbformat,https://github.com/jupyter/nbformat,2015-04-09 01:07:29.000,2022-03-02 14:28:24.000000,2022-03-02 14:20:47,767.0,15.0,123.0,23.0,137.0,48.0,67.0,166.0,2021-04-02 04:51:11.466,5.1.3,,10104055.0,22.0,151708.0,143204.0,62.0,https://pypi.org/project/nbformat,BSD-3-Clause,2021-04-02 04:40:44.000,8504.0,10001729.0,https://anaconda.org/conda-forge/nbformat,2021-04-02 17:08:52.492,7262931.0,1.0,nbformat-schema,https://www.npmjs.com/package/nbformat-schema,2021-04-02 04:50:52.055,,32.0,,,,,,,,,,,,,,,,,
19,Perspective,"A data visualization and analytics component, especially well-suited for large and/or streaming datasets.",https://github.com/finos/perspective,,lab-extensions,32,True,perspective-python,finos/perspective,conda-forge/perspective,https://github.com/finos/perspective,2017-11-02 16:27:54.000,2022-03-03 09:04:51.000000,2022-03-03 09:04:50,5051.0,153.0,446.0,98.0,1175.0,74.0,429.0,4231.0,2022-02-25 21:06:26.000,1.3.1,,12638.0,65.0,243.0,234.0,66.0,https://pypi.org/project/perspective-python,Apache-2.0,2022-02-25 21:06:26.000,9.0,8573.0,https://anaconda.org/conda-forge/perspective,2022-02-26 19:02:43.946,41905.0,1.0,@finos/perspective-jupyterlab,https://www.npmjs.com/package/@finos/perspective-jupyterlab,2022-03-03 03:04:34.753,,2070.0,,,,,,,,,,,,,,,,,
