,name,github_id,pypi_id,conda_id,github_url,homepage,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,pypi_url,license,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,show,category,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,cran_id,go_id,pypi,gem_id,hex_id,bitbucket_id
56,LDAP Authenticator,jupyterhub/ldapauthenticator,jupyterhub-ldapauthenticator,conda-forge/jupyterhub-ldapauthenticator,https://github.com/jupyterhub/ldapauthenticator,https://github.com/jupyterhub/ldapauthenticator,2016-01-17 05:11:49.000000,2020-12-14 10:15:47.000000,2020-12-14 10:15:47.000000,143.0,53.0,70.0,138.0,162.0,2020-08-28 12:01:56.000000,1.3.2,,4286.0,9.0,LDAP Authenticator Plugin for Jupyter.,68.0,61.0,28.0,22,https://pypi.org/project/jupyterhub-ldapauthenticator,BSD-3-Clause,2020-08-28 12:01:56.000000,7.0,3779.0,https://anaconda.org/conda-forge/jupyterhub-ldapauthenticator,2020-08-28 14:10:52.507000,15745.0,True,hub-auth,1,,,,,,,,,,,,,,,,,
57,nbgitpuller,jupyterhub/nbgitpuller,nbgitpuller,conda-forge/nbgitpuller,https://github.com/jupyterhub/nbgitpuller,https://github.com/jupyterhub/nbgitpuller,2017-05-24 19:41:10.000000,2020-12-17 14:18:01.000000,2020-12-17 14:17:16.000000,42.0,33.0,54.0,122.0,326.0,2020-08-01 12:38:50.000000,0.9.0,,4165.0,13.0,Jupyter server extension to sync a git repository one-way to a local path.,254.0,239.0,20.0,22,https://pypi.org/project/nbgitpuller,BSD-3-Clause,2020-08-01 12:38:50.000000,15.0,3482.0,https://anaconda.org/conda-forge/nbgitpuller,2020-08-01 13:34:29.631000,12979.0,True,jupyter-extensions,2,,,,,,,,,,,,,,,,,
58,commuter,nteract/commuter,,,https://github.com/nteract/commuter,https://github.com/nteract/commuter,2017-01-03 22:23:32.000000,2020-12-11 17:46:35.000000,2020-12-11 17:46:27.000000,534.0,47.0,36.0,5330.0,607.0,2020-07-17 00:15:20.654000,5.10.1,,208.0,70.0,Notebook sharing hub.,3.0,3.0,26.0,21,,BSD-3-Clause,,,,,,,True,notebook-sharing,2,,,,,,@nteract/commuter,https://www.npmjs.com/package/@nteract/commuter,2020-07-17 00:15:20.654000,,208.0,,,,,,,
59,IHaskell,gibiansky/IHaskell,,,https://github.com/gibiansky/IHaskell,https://github.com/gibiansky/IHaskell,2013-08-26 07:16:09.000000,2020-11-23 12:57:02.000000,2020-11-23 12:56:57.000000,231.0,37.0,650.0,2206.0,1877.0,2018-08-01 13:12:37.900000,0.0.5,,32.0,5.0,A Haskell kernel for IPython.,4.0,4.0,99.0,21,,MIT,,,,,,,True,kernels,1,,,,,,ihaskell_jupyterlab,https://www.npmjs.com/package/ihaskell_jupyterlab,2018-08-01 13:12:37.900000,,32.0,,,,,,,
60,IRkernel,IRkernel/IRkernel,,r/r-irkernel,https://github.com/IRkernel/IRkernel,https://github.com/IRkernel/IRkernel,2014-02-26 02:57:07.000000,2020-12-26 17:14:37.394320,2020-10-17 12:25:15.000000,277.0,41.0,490.0,1394.0,572.0,2020-07-20 12:11:32.000000,1.1.1,,3700.0,15.0,R kernel for Jupyter.,,,38.0,21,,MIT,,,,https://anaconda.org/r/r-irkernel,2020-03-10 23:18:20.173000,23375.0,True,kernels,1,jupyter/r-notebook,https://hub.docker.com/r/jupyter/r-notebook,2020-12-26 17:14:37.394320,34.0,279128.0,,,,,,,IRkernel,,,,,
61,notedown,aaren/notedown,notedown,conda-forge/notedown,https://github.com/aaren/notedown,https://github.com/aaren/notedown,2014-02-17 17:28:59.000000,2020-11-03 15:07:00.000000,2017-11-16 19:29:56.000000,83.0,37.0,29.0,746.0,264.0,2017-11-16 17:59:43.000000,1.5.1,,5469.0,26.0,Markdown = IPython Notebook.,127.0,107.0,7.0,21,https://pypi.org/project/notedown,BSD-2-Clause,2017-11-16 17:59:43.000000,20.0,4488.0,https://anaconda.org/conda-forge/notedown,2018-06-07 01:28:24.567000,30426.0,False,notebook-sharing,2,,,,,,,,,,,,,,,,,
62,gmaps,pbugnion/gmaps,gmaps,conda-forge/gmaps,https://github.com/pbugnion/gmaps,https://github.com/pbugnion/gmaps,2014-12-01 09:12:06.000000,2020-10-13 07:09:18.000000,2019-07-22 06:22:45.000000,141.0,63.0,135.0,694.0,1380.0,2019-07-21 08:49:48.715000,0.9.0,,9412.0,93.0,Google maps for Jupyter notebooks.,38.0,1.0,16.0,21,https://pypi.org/project/gmaps,BSD-3-Clause,2019-07-20 07:47:04.000000,37.0,3492.0,https://anaconda.org/conda-forge/gmaps,2019-08-02 11:56:50.940000,200243.0,False,widgets,2,,,,,,jupyter-gmaps,https://www.npmjs.com/package/jupyter-gmaps,2019-07-21 08:49:48.715000,,1370.0,,,,,,,
63,Apache Toree,apache/incubator-toree,toree,,https://github.com/apache/incubator-toree,https://github.com/apache/incubator-toree,2016-01-07 08:00:06.000000,2020-09-28 04:37:49.000000,2020-08-23 17:51:13.000000,211.0,12.0,,663.0,1128.0,2018-11-12 20:46:34.000000,0.4.0,,6303.0,13.0,Jupyter kernel for Apache Spark.,9.0,,101.0,21,https://pypi.org/project/toree,Apache-2.0,2020-08-01 16:46:23.000000,9.0,6303.0,,,,True,kernels,1,,,,,,,,,,,,,,,,,
64,Stencila,stencila/stencila,,,https://github.com/stencila/stencila,https://github.com/stencila/stencila,2012-05-31 02:43:31.000000,2020-12-31 20:29:48.000000,2020-12-21 22:37:33.000000,37.0,10.0,444.0,579.0,2655.0,2020-11-06 15:20:07.000000,0.34.3,1084.0,473.0,75.0,Living documents for reproducible research.,20.0,12.0,19.0,21,,Apache-2.0,,,,,,,True,notebook-sharing,2,stencila/cloud,https://hub.docker.com/r/stencila/cloud,2019-04-08 04:14:51.284193,,16454.0,stencila,https://www.npmjs.com/package/stencila,2020-11-06 15:20:04.059000,8.0,302.0,,,,,,,
65,Code Formatter,ryantam626/jupyterlab_code_formatter,jupyterlab_code_formatter,,https://github.com/ryantam626/jupyterlab_code_formatter,https://github.com/ryantam626/jupyterlab_code_formatter,2018-08-12 20:50:17.000000,2021-01-01 17:05:10.000000,2021-01-01 17:04:45.000000,32.0,10.0,101.0,376.0,319.0,2021-01-01 14:25:45.000000,1.4.0,,17398.0,43.0,A universal code formatter for JupyterLab.,2.0,,26.0,21,https://pypi.org/project/jupyterlab_code_formatter,MIT,2021-01-01 14:25:45.000000,2.0,4905.0,,,,True,lab-extensions,2,,,,,,@ryantam626/jupyterlab_code_formatter,https://www.npmjs.com/package/@ryantam626/jupyterlab_code_formatter,2020-11-17 21:18:29.546000,,12493.0,,,,,,,
