,name,description,homepage,resource,category,projectrank,show,github_id,pypi_id,conda_id,github_url,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,license,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,trending,go_id,cran_id,gem_id,pypi,hex_id,bitbucket_id
120,SAS Kernel,A Jupyter kernel for SAS. This opens up all the data manipulation and analytics capabilities of your SAS system within..,https://github.com/sassoftware/sas_kernel,,kernels,19,True,sassoftware/sas_kernel,sas_kernel,,https://github.com/sassoftware/sas_kernel,2016-04-01 16:19:50.000000,2021-09-21 14:53:24.000000,2021-09-21 14:53:24.000000,70.0,3.0,52.0,180.0,213.0,2021-07-14 17:27:18.000000,2.4.11,,3338.0,14.0,2.0,,7.0,https://pypi.org/project/sas_kernel,Apache-2.0,2017-09-13 16:41:27.000000,2.0,3338.0,,,,2.0,,,,,,,,,,,,,,,,,,
121,ipytest,Pytest in IPython notebooks.,https://github.com/chmp/ipytest,,notebook-tools,19,True,chmp/ipytest,ipytest,,https://github.com/chmp/ipytest,2016-02-07 20:24:41.000000,2021-07-28 17:52:52.000000,2021-07-28 17:34:15.000000,15.0,2.0,41.0,169.0,,2021-07-28 17:34:35.000000,0.11.0,,11869.0,28.0,138.0,116.0,4.0,https://pypi.org/project/ipytest,MIT,2021-07-28 17:34:35.000000,22.0,11869.0,,,,3.0,,,,,,,,,,,,,,,,,,
122,JupyterLab Data Explorer,First class datasets in JupyterLab.,https://github.com/jupyterlab/jupyterlab-data-explorer,,lab-extensions,19,False,jupyterlab/jupyterlab-data-explorer,,,https://github.com/jupyterlab/jupyterlab-data-explorer,2019-01-03 21:57:42.000000,2021-09-08 15:52:13.000000,2020-05-24 13:16:16.000000,32.0,57.0,34.0,159.0,426.0,2019-10-03 18:34:08.594000,3.0.0,,183.0,17.0,14.0,10.0,9.0,,BSD-3-Clause,,,,,,,2.0,,,,,,@jupyterlab/dataregistry-extension,https://www.npmjs.com/package/@jupyterlab/dataregistry-extension,2019-10-03 18:34:08.594000,4.0,183.0,,2.0,,,,,,
123,Spylon Kernel,Jupyter kernel for scala and spark.,https://github.com/vericast/spylon-kernel,,kernels,19,False,vericast/spylon-kernel,spylon-kernel,conda-forge/spylon-kernel,https://github.com/vericast/spylon-kernel,2016-11-21 02:23:14.000000,2021-06-10 08:02:43.000000,2018-09-20 15:43:57.000000,23.0,16.0,18.0,143.0,188.0,2018-03-23 20:36:58.000000,0.4.1,,5152.0,14.0,66.0,66.0,6.0,https://pypi.org/project/spylon-kernel,BSD-3-Clause,2018-03-23 20:36:58.000000,,3811.0,https://anaconda.org/conda-forge/spylon-kernel,2018-10-05 21:02:27.447000,75139.0,2.0,,,,,,,,,,,,,,,,,,
124,BatchSpawner,Custom Spawner for Jupyterhub to start servers in batch scheduled systems.,https://github.com/jupyterhub/batchspawner,,hub-spawners,19,True,jupyterhub/batchspawner,batchspawner,,https://github.com/jupyterhub/batchspawner,2015-10-27 03:53:10.000000,2021-08-09 01:17:36.000000,2021-05-05 12:02:36.000000,94.0,42.0,70.0,126.0,327.0,2021-04-07 15:14:58.000000,1.1.0,,756.0,9.0,10.0,10.0,38.0,https://pypi.org/project/batchspawner,BSD-3-Clause,2021-04-07 15:14:58.000000,0.0,756.0,,,,2.0,,,,,,,,,,,,,,,,,,
125,LTI Authenticator,A JupyterHub authenticator for LTI.,https://github.com/jupyterhub/ltiauthenticator,,hub-auth,19,True,jupyterhub/ltiauthenticator,jupyterhub-ltiauthenticator,,https://github.com/jupyterhub/ltiauthenticator,2017-12-15 02:54:15.000000,2021-10-04 19:48:21.000000,2021-09-14 10:29:34.000000,38.0,6.0,24.0,47.0,,2021-09-02 00:17:38.000000,1.2.0,,3305.0,7.0,73.0,64.0,11.0,https://pypi.org/project/jupyterhub-ltiauthenticator,BSD-3-Clause,2021-09-02 00:17:38.000000,9.0,3305.0,,,,2.0,,,,,,,,,,,,,,,,,,
126,jupyter-packaging,Tools to help build and install Jupyter Python packages.,https://github.com/jupyter/jupyter-packaging,,components,19,True,jupyter/jupyter-packaging,jupyter-packaging,conda-forge/jupyter-packaging,https://github.com/jupyter/jupyter-packaging,2017-03-04 19:38:49.000000,2021-09-27 22:49:16.470000,2021-09-27 18:29:35.000000,37.0,9.0,19.0,36.0,286.0,2021-09-27 18:31:00.000000,0.10.6,,10449.0,33.0,2.0,,19.0,https://pypi.org/project/jupyter-packaging,BSD-3-Clause,2021-09-27 18:29:40.000000,2.0,,https://anaconda.org/conda-forge/jupyter-packaging,2021-09-27 22:49:16.470000,177637.0,3.0,,,,,,,,,,,,,,,,,,
127,ipyvue,Jupyter widgets base for Vue libraries.,https://github.com/mariobuikhuizen/ipyvue,,widgets,19,True,mariobuikhuizen/ipyvue,ipyvue,conda-forge/ipyvue,https://github.com/mariobuikhuizen/ipyvue,2019-08-11 10:10:05.000000,2021-10-06 17:37:12.000000,2021-10-06 17:26:19.000000,9.0,2.0,3.0,34.0,81.0,2021-09-28 13:02:09.000000,1.6.0,,46844.0,17.0,16.0,16.0,3.0,https://pypi.org/project/ipyvue,MIT,2021-10-06 17:37:12.000000,0.0,45497.0,https://anaconda.org/conda-forge/ipyvue,2021-10-04 10:35:04.146000,35039.0,3.0,,,,,,,,,,,,2.0,,,,,,
128,BinderHub,"Run your code in the cloud, with technology so advanced, it feels like magic!.",https://github.com/jupyterhub/binderhub,,notebook-sharing,18,True,jupyterhub/binderhub,,,https://github.com/jupyterhub/binderhub,2017-04-26 00:28:26.000000,2021-10-07 13:59:44.000000,2021-10-07 13:56:35.000000,304.0,273.0,435.0,2003.0,2537.0,,,,,1.0,5.0,5.0,82.0,,BSD-3-Clause,,,,,,,3.0,,,,,,,,,,,,,,,,binderhub,,
129,colabcode,Run VSCode (codeserver) on Google Colab or Kaggle Notebooks.,https://github.com/abhishekkrthakur/colabcode,,others,18,True,abhishekkrthakur/colabcode,colabcode,,https://github.com/abhishekkrthakur/colabcode,2020-09-09 10:06:26.000000,2021-06-14 09:40:15.000000,2021-06-11 15:16:36.000000,206.0,42.0,29.0,1539.0,44.0,2021-06-11 15:17:12.000000,0.3.0,,,13.0,39.0,39.0,8.0,https://pypi.org/project/colabcode,MIT,2021-06-11 15:17:12.000000,,,,,,3.0,,,,,,,,,,,,-5.0,,,,,,
