,name,description,homepage,resource,category,projectrank,show,github_id,pypi_id,conda_id,github_url,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,license,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,trending,go_id,updated_github_id,cran_id,pypi,gem_id,hex_id,bitbucket_id
21,Contrib NBextensions,A collection of various notebook extensions for Jupyter.,https://github.com/ipython-contrib/jupyter_contrib_nbextensions,,jupyter-extensions,28,True,ipython-contrib/jupyter_contrib_nbextensions,jupyter_contrib_nbextensions,,https://github.com/ipython-contrib/jupyter_contrib_nbextensions,2013-07-13 17:05:16.000000,2021-04-16 21:26:59.000000,2021-04-06 05:51:36.000000,726.0,328.0,447.0,4585.0,2608.0,2019-01-02 12:23:07.000000,0.5.1,,216583.0,16.0,494.0,,127.0,https://pypi.org/project/jupyter_contrib_nbextensions,BSD-3-Clause,2018-03-28 11:04:12.000000,494.0,216583.0,,,,1.0,,,,,,,,,,,,,,,,,,,
22,bqplot,Plotting library for IPython/Jupyter notebooks.,https://github.com/bqplot/bqplot,,widgets,28,True,bqplot/bqplot,bqplot,conda-forge/bqplot,https://github.com/bqplot/bqplot,2015-09-26 04:02:18.000000,2021-05-17 19:52:33.000000,2021-05-11 16:26:36.000000,405.0,193.0,335.0,3078.0,3336.0,2021-04-21 13:59:07.421000,0.5.27,,67085.0,93.0,148.0,26.0,51.0,https://pypi.org/project/bqplot,Apache-2.0,2021-04-08 11:30:01.000000,112.0,41641.0,https://anaconda.org/conda-forge/bqplot,2021-04-21 14:28:06.059000,614084.0,1.0,,,,,,bqplot,https://www.npmjs.com/package/bqplot,2021-04-21 13:59:07.421000,10.0,15210.0,,,,,,,,,
23,nbdime,Tools for diffing and merging of Jupyter notebooks.,https://github.com/jupyter/nbdime,,notebook-sharing,28,True,jupyter/nbdime,nbdime,conda-forge/nbdime,https://github.com/jupyter/nbdime,2015-11-16 09:25:53.000000,2021-05-19 18:27:09.000000,2021-04-20 11:27:09.000000,122.0,52.0,213.0,1987.0,1928.0,2021-04-14 17:36:09.471000,2.1.0,,212422.0,23.0,259.0,47.0,32.0,https://pypi.org/project/nbdime,BSD-3-Clause,2021-04-14 17:37:10.000000,212.0,134905.0,https://anaconda.org/conda-forge/nbdime,2021-04-15 00:58:33.048000,308712.0,2.0,,,,,,nbdime-jupyterlab,https://www.npmjs.com/package/nbdime-jupyterlab,2021-04-14 17:36:09.471000,,71693.0,,,,,,,,,
24,nteract,The interactive computing suite for you!.,https://github.com/nteract/nteract,,notebook-environments,27,True,nteract/nteract,nteract_on_jupyter,,https://github.com/nteract/nteract,2015-06-15 23:21:49.000000,2021-05-18 00:04:42.000000,2021-05-18 00:04:41.000000,543.0,140.0,1500.0,5536.0,10501.0,2021-01-26 05:18:38.000000,0.28.0,1185281.0,23323.0,66.0,5.0,,166.0,https://pypi.org/project/nteract_on_jupyter,BSD-3-Clause,2019-07-16 03:59:16.000000,5.0,3569.0,,,,2.0,,,,,,,,,,,,,,,,,,,
25,papermill,"Parameterize, execute, and analyze notebooks.",https://github.com/nteract/papermill,,widgets,27,True,nteract/papermill,papermill,conda-forge/papermill,https://github.com/nteract/papermill,2017-07-06 17:17:53.000000,2021-05-07 07:49:38.000000,2021-04-27 07:07:42.000000,311.0,91.0,217.0,4125.0,,2021-03-09 17:54:04.000000,2.3.3,,365928.0,70.0,1433.0,1283.0,89.0,https://pypi.org/project/papermill,BSD-3-Clause,2021-03-09 17:54:04.000000,150.0,361286.0,https://anaconda.org/conda-forge/papermill,2021-03-11 16:25:12.955000,153200.0,2.0,,,,,,,,,,,,,,,,,,,
26,Perspective,Streaming pivot visualization via WebAssembly.,https://github.com/finos/perspective,,lab-extensions,27,True,finos/perspective,perspective-python,,https://github.com/finos/perspective,2017-11-02 16:27:54.000000,2021-05-19 16:12:48.000000,2021-05-14 21:05:52.000000,366.0,66.0,350.0,3369.0,4488.0,2021-05-11 13:14:50.000000,0.8.2,,4464.0,45.0,196.0,188.0,63.0,https://pypi.org/project/perspective-python,Apache-2.0,2021-05-11 13:14:50.000000,8.0,2132.0,,,,1.0,,,,,,@finos/perspective-jupyterlab,https://www.npmjs.com/package/@finos/perspective-jupyterlab,2021-05-12 05:26:10.640000,,2332.0,,,,,,,,,
27,RISE,RISE: Live Reveal.js Jupyter/IPython Slideshow Extension.,https://github.com/damianavila/RISE,,notebook-sharing,27,True,damianavila/RISE,RISE,conda-forge/rise,https://github.com/damianavila/RISE,2013-08-26 18:55:36.000000,2021-04-29 15:35:53.000000,2021-04-29 10:13:29.000000,356.0,127.0,279.0,3017.0,737.0,2020-10-29 01:31:20.000000,5.7.1,,10580.0,28.0,1786.0,1476.0,39.0,https://pypi.org/project/RISE,BSD-3-Clause,2020-10-29 01:31:20.000000,310.0,6697.0,https://anaconda.org/conda-forge/rise,2021-03-11 13:00:21.741000,151455.0,2.0,,,,,,,,,,,,,,,,,,,
28,Jupyter Book,"Build interactive, publication-quality documents from Jupyter Notebooks.",https://github.com/executablebooks/jupyter-book,,notebook-sharing,27,True,executablebooks/jupyter-book,jupyter-book,,https://github.com/executablebooks/jupyter-book,2018-06-14 01:55:51.000000,2021-05-19 20:06:25.000000,2021-05-05 21:06:42.000000,345.0,291.0,506.0,2251.0,1240.0,2021-04-04 20:28:28.000000,0.10.2,,16295.0,33.0,44.0,,77.0,https://pypi.org/project/jupyter-book,BSD-3-Clause,2021-05-04 23:53:39.000000,44.0,16295.0,,,,2.0,,,,,,,,,,,,,,,,,,,
29,ipython-sql,"%%sql magic for IPython, hopefully evolving into full SQL client.",https://github.com/catherinedevlin/ipython-sql,,magic,27,True,catherinedevlin/ipython-sql,ipython-sql,conda-forge/ipython-sql,https://github.com/catherinedevlin/ipython-sql,2013-03-20 16:41:10.000000,2021-05-02 14:20:52.000000,2021-03-14 13:53:23.000000,233.0,96.0,37.0,1382.0,251.0,2020-05-02 15:29:58.000000,0.4.0,,36833.0,16.0,1847.0,1725.0,43.0,https://pypi.org/project/ipython-sql,MIT,2020-05-02 15:29:58.000000,122.0,34926.0,https://anaconda.org/conda-forge/ipython-sql,2020-10-14 09:42:08.609000,108747.0,1.0,,,,,,,,,,,,,,,,,,,
30,jupyter-matplotlib,Matplotlib Jupyter Integration.,https://github.com/matplotlib/ipympl,,widgets,27,True,matplotlib/ipympl,ipympl,,https://github.com/matplotlib/ipympl,2016-07-21 14:38:56.000000,2021-05-07 14:58:25.000000,2021-05-07 14:58:22.000000,146.0,102.0,96.0,1054.0,305.0,2021-03-22 22:29:34.000000,0.7.0,,118253.0,36.0,1511.0,1459.0,23.0,https://pypi.org/project/ipympl,BSD-3-Clause,2021-03-22 22:31:30.000000,52.0,54183.0,,,,2.0,,,,,,jupyter-matplotlib,https://www.npmjs.com/package/jupyter-matplotlib,2021-01-20 17:50:35.010000,,64070.0,,,,,,,,,
