,name,description,homepage,resource,category,projectrank,show,pypi_id,github_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,conda_dependent_project_count,updated_github_id,trending,pypi,cran_id,go_id,go_url,go_latest_release_published_at,go_dependent_project_count,gem_id,hex_id,bitbucket_id
107,scrapbook,A library for recording and reading data in notebooks.,https://github.com/nteract/scrapbook,,notebook-sharing,23,False,nteract-scrapbook,nteract/scrapbook,conda-forge/nteract-scrapbook,https://github.com/nteract/scrapbook,BSD-3-Clause,2018-10-22 04:17:04.000,2023-06-16 19:17:54.716000,2022-04-13 16:57:42,184.0,,27.0,19.0,41.0,24.0,25.0,261.0,2021-01-06 19:12:18.000,0.4.2,,18243.0,7.0,277.0,254.0,11.0,https://pypi.org/project/nteract-scrapbook,2021-01-06 19:12:18.000,23.0,17884.0,https://anaconda.org/conda-forge/nteract-scrapbook,2023-06-16 19:17:54.716,14743.0,3.0,,,,,,,,,,,,,,,,,,,,,,
108,ipycytoscape,A Cytoscape Jupyter widget.,https://github.com/cytoscape/ipycytoscape,,widgets,23,True,ipycytoscape,cytoscape/ipycytoscape,conda-forge/ipycytoscape,https://github.com/cytoscape/ipycytoscape,BSD-3-Clause,2020-02-05 13:46:52.000,2023-07-03 21:14:52.000000,2023-05-23 19:06:45,716.0,1.0,58.0,31.0,191.0,59.0,99.0,234.0,2022-04-04 22:06:25.396,1.3.3,3.0,21838.0,21.0,148.0,146.0,32.0,https://pypi.org/project/ipycytoscape,,,13417.0,https://anaconda.org/conda-forge/ipycytoscape,2023-06-16 19:18:19.577,308629.0,3.0,jupyter-cytoscape,https://www.npmjs.com/package/jupyter-cytoscape,2022-04-04 22:06:25.396,2.0,706.0,,,,,,,,,,,,,,,,,
109,ipywebrtc,WebRTC for Jupyter notebook/lab.,https://github.com/maartenbreddels/ipywebrtc,,widgets,23,True,ipywebrtc,maartenbreddels/ipywebrtc,conda-forge/ipywebrtc,https://github.com/maartenbreddels/ipywebrtc,MIT,2017-08-10 18:07:51.000,2023-06-16 13:24:24.196000,2023-03-06 12:26:30,217.0,,36.0,12.0,74.0,39.0,28.0,228.0,2021-03-29 11:25:34.632,0.6.0,,54855.0,12.0,849.0,835.0,9.0,https://pypi.org/project/ipywebrtc,2019-07-04 12:53:46.000,11.0,50040.0,https://anaconda.org/conda-forge/ipywebrtc,2023-06-16 13:24:24.196,315558.0,3.0,jupyter-webrtc,https://www.npmjs.com/package/jupyter-webrtc,2021-03-29 11:25:34.632,3.0,371.0,,,,,,,,,,,,,,,,,
110,Rsession Proxy,Jupyter extensions for running an RStudio rsession proxy.,https://github.com/jupyterhub/jupyter-rsession-proxy,,jupyter-extensions,23,True,jupyter-rsession-proxy,jupyterhub/jupyter-rsession-proxy,conda-forge/jupyter-rsession-proxy,https://github.com/jupyterhub/jupyter-rsession-proxy,BSD-3-Clause,2016-12-09 06:26:18.000,2023-06-25 05:31:24.530000,2023-06-23 00:48:01,236.0,4.0,84.0,14.0,65.0,32.0,47.0,104.0,2023-06-23 01:00:00.721,2.2.0,,10885.0,14.0,44.0,43.0,21.0,https://pypi.org/project/jupyter-rsession-proxy,2022-09-07 23:29:00.801,1.0,10119.0,https://anaconda.org/conda-forge/jupyter-rsession-proxy,2023-06-25 05:31:24.530,19158.0,2.0,,,,,,,,,,,,,,,,,,,,,,
111,Native Authenticator,JupyterHub-native User Authenticator.,https://github.com/jupyterhub/nativeauthenticator,,hub-auth,23,True,jupyterhub-nativeauthenticator,jupyterhub/nativeauthenticator,,https://github.com/jupyterhub/nativeauthenticator,BSD-3-Clause,2018-12-03 17:38:18.000,2023-07-04 07:41:24.000000,2023-07-04 07:41:23,564.0,33.0,63.0,11.0,150.0,30.0,73.0,63.0,2023-05-22 08:28:01.738,1.2.0,,7573.0,13.0,53.0,53.0,22.0,https://pypi.org/project/jupyterhub-nativeauthenticator,2022-09-09 11:33:03.525,,7573.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
112,ipydatawidgets,A set of widgets to help facilitate reuse of large datasets across widgets.,https://github.com/vidartf/ipydatawidgets,,widgets,23,True,ipydatawidgets,vidartf/ipydatawidgets,conda-forge/ipydatawidgets,https://github.com/vidartf/ipydatawidgets,BSD-3-Clause,2017-07-31 17:37:26.000,2023-06-16 16:11:33.197000,2023-06-14 12:39:14,307.0,7.0,9.0,5.0,47.0,8.0,10.0,38.0,2023-06-14 12:41:06.000,4.3.5,,79184.0,22.0,888.0,861.0,5.0,https://pypi.org/project/ipydatawidgets,2022-05-19 09:59:51.000,27.0,75341.0,https://anaconda.org/conda-forge/ipydatawidgets,2023-06-16 16:11:33.197,234475.0,3.0,,,,,,,,,,,,,,,,,,,,,,
113,Hydrogen,"Run code interactively, inspect data, and plot. All the power of Jupyter kernels, inside your favorite text editor.",https://github.com/nteract/hydrogen,,notebook-environments,22,True,,nteract/hydrogen,,https://github.com/nteract/hydrogen,MIT,2015-05-11 01:16:55.000,2023-07-06 02:16:41.000000,2023-01-10 01:11:13,2371.0,,352.0,91.0,874.0,170.0,1100.0,3862.0,2023-01-10 01:02:49.000,2.16.5,,,92.0,,,90.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
114,gophernotes,The Go kernel for Jupyter notebooks and nteract.,https://github.com/gopherdata/gophernotes,,kernels,22,True,,gopherdata/gophernotes,,https://github.com/gopherdata/gophernotes,MIT,2016-01-22 19:22:16.000,2023-03-29 09:07:02.000000,2023-03-29 09:05:21,401.0,,255.0,83.0,78.0,53.0,128.0,3612.0,2022-05-31 17:34:28.000,0.7.5,43.0,964.0,22.0,13.0,12.0,29.0,,,,,,,,2.0,,,,,,gopherdata/gophernotes,https://hub.docker.com/r/gopherdata/gophernotes,2018-12-22 19:00:35.934804,7.0,86822.0,,,,,,github.com/gopherdata/gophernotes,https://pkg.go.dev/github.com/gopherdata/gophernotes,2022-05-31 17:31:46,1.0,,,
115,colabcode,Run VSCode (codeserver) on Google Colab or Kaggle Notebooks.,https://github.com/abhishekkrthakur/colabcode,,others,22,False,colabcode,abhishekkrthakur/colabcode,,https://github.com/abhishekkrthakur/colabcode,MIT,2020-09-09 10:06:26.000,2023-05-31 15:54:53.000000,2021-06-11 15:16:36,44.0,,284.0,19.0,39.0,63.0,33.0,1932.0,2021-06-11 15:17:12.000,0.3.0,,4552.0,13.0,127.0,127.0,8.0,https://pypi.org/project/colabcode,2021-06-11 15:17:12.000,,4552.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
116,ipyvizzu,Build animated charts in Jupyter Notebook and similar environments with a simple Python syntax.,https://github.com/vizzuhq/ipyvizzu,,widgets,22,True,ipyvizzu,vizzuhq/ipyvizzu,,https://github.com/vizzuhq/ipyvizzu,Apache-2.0,2022-01-05 22:37:39.000,2023-06-10 11:49:33.000000,2023-06-10 11:48:53,973.0,21.0,83.0,17.0,158.0,19.0,67.0,844.0,2023-03-22 07:06:54.000,0.15.0,84.0,796.0,20.0,59.0,59.0,19.0,https://pypi.org/project/ipyvizzu,,,792.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
