,name,description,homepage,resource,category,projectrank,show,pypi_id,github_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,updated_github_id,trending,conda_dependent_project_count,go_id,go_url,go_latest_release_published_at,go_dependent_project_count,pypi,cran_id,gem_id,hex_id,bitbucket_id
260,Jupyter DataTables,Jupyter Notebook extension leveraging pandas DataFrames by integrating DataTables and ChartJS.,https://github.com/CermakM/jupyter-datatables,,widgets,12,False,jupyter-datatables,CermakM/jupyter-datatables,,https://github.com/CermakM/jupyter-datatables,MIT,2019-03-28 20:55:12.000,2019-12-11 12:10:31.000000,2019-12-11 12:10:07,147.0,,15.0,8.0,4.0,13.0,15.0,142.0,2019-11-22 07:33:04.000,0.3.9,,265.0,9.0,,,4.0,https://pypi.org/project/jupyter-datatables,2019-11-22 07:33:04.000,,265.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
261,JupyterLab Quickopen,Quickly open a file in JupyterLab by typing part of its name.,https://github.com/parente/jupyterlab-quickopen,,lab-extensions,12,True,jupyterlab-quickopen,parente/jupyterlab-quickopen,,https://github.com/parente/jupyterlab-quickopen,BSD-3-Clause,2018-12-04 01:00:58.000,2022-07-08 08:50:58.000000,2021-12-12 18:25:55,56.0,,7.0,1.0,29.0,7.0,,74.0,2021-12-12 18:33:03.000,1.2.0,,540.0,9.0,1.0,,5.0,https://pypi.org/project/jupyterlab-quickopen,2021-12-12 18:33:03.000,1.0,514.0,,,,3.0,@parente/jupyterlab-quickopen,https://www.npmjs.com/package/@parente/jupyterlab-quickopen,2020-03-20 12:56:10.580,,26.0,,,,,,,,,,,,,,,,,
262,allthekernels,A multiplexer kernel for Jupyter.,https://github.com/minrk/allthekernels,,kernels,12,False,allthekernels,minrk/allthekernels,conda-forge/allthekernels,https://github.com/minrk/allthekernels,MIT,2016-03-15 15:30:49.000,2020-12-14 09:10:56.000000,2020-12-14 09:10:54,37.0,,9.0,7.0,7.0,5.0,6.0,67.0,2019-12-10 13:17:26.000,1.1.0,,136.0,5.0,5.0,5.0,6.0,https://pypi.org/project/allthekernels,2019-12-10 13:17:26.000,,31.0,https://anaconda.org/conda-forge/allthekernels,2020-01-09 14:25:03.862,3705.0,3.0,,,,,,,,,,,,,,,,,,,,,,
263,Horizon Theme,VSCode Horizon Theme port for JupyterLab.,https://github.com/mohirio/jupyterlab-horizon-theme,,lab-themes,12,False,jupyterlab-horizon-theme,mohirio/jupyterlab-horizon-theme,,https://github.com/mohirio/jupyterlab-horizon-theme,BSD-3-Clause,2019-06-07 08:46:59.000,2022-03-17 13:56:35.000000,2021-04-11 16:55:54,25.0,,3.0,,2.0,1.0,4.0,52.0,2021-04-11 16:55:37.000,3.0.1,,2767.0,13.0,,,1.0,https://pypi.org/project/jupyterlab-horizon-theme,2021-04-11 16:55:37.000,,266.0,,,,3.0,@mohirio/jupyterlab-horizon-theme,https://www.npmjs.com/package/@mohirio/jupyterlab-horizon-theme,2021-04-11 16:54:49.357,,2501.0,,,,,,,,,,,,,,,,,
264,JupyterLab Python Files,JupyterLab extension to create Python files.,https://github.com/jtpio/jupyterlab-python-file,,lab-extensions,12,True,jupyterlab-python-file,jtpio/jupyterlab-python-file,conda-forge/jupyterlab-python-file,https://github.com/jtpio/jupyterlab-python-file,BSD-3-Clause,2018-10-17 22:21:21.000,2021-08-27 11:18:53.000000,2021-08-27 11:18:51,92.0,,10.0,2.0,41.0,3.0,8.0,51.0,2021-06-23 21:13:28.000,0.5.5,77.0,1513.0,10.0,,,4.0,https://pypi.org/project/jupyterlab-python-file,2021-06-23 21:13:27.000,,392.0,https://anaconda.org/conda-forge/jupyterlab-python-file,2021-06-24 12:22:40.193,5431.0,3.0,jupyterlab-python-file,https://www.npmjs.com/package/jupyterlab-python-file,2021-06-23 21:13:24.676,,859.0,,,,,,,,,,,,,,,,,
265,Gruvbox Theme,Gruvbox dark theme for Jupyter Lab. Modeled on classic gruvbox color palette and jupyter-themes gruvbox theme.,https://github.com/Rahlir/theme-gruvbox,,lab-themes,12,False,,Rahlir/theme-gruvbox,,https://github.com/Rahlir/theme-gruvbox,BSD-3-Clause,2019-05-03 20:34:01.000,2020-04-12 19:23:01.000000,2020-04-12 19:22:55,44.0,,11.0,5.0,2.0,,,47.0,2019-09-22 14:06:52.149,1.1.0,,160.0,5.0,1.0,,3.0,,,,,,,,3.0,@rahlir/theme-gruvbox,https://www.npmjs.com/package/@rahlir/theme-gruvbox,2019-09-22 14:06:52.149,1.0,160.0,,,,,,,,,,,,,,,,,
266,FargateSpawner,Spawns JupyterHub single user servers in Docker containers running in AWS Fargate.,https://github.com/uktrade/fargatespawner,,hub-spawners,12,False,fargatespawner,uktrade/fargatespawner,,https://github.com/uktrade/fargatespawner,MIT,2018-09-12 14:06:22.000,2020-06-28 13:26:26.000000,2020-06-28 13:25:54,59.0,,20.0,11.0,12.0,6.0,5.0,35.0,2020-06-28 13:26:26.000,0.0.25,,163.0,25.0,1.0,1.0,3.0,https://pypi.org/project/fargatespawner,2020-06-28 13:26:26.000,,163.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
267,pidgy,Interactive computing in Markdown.,https://github.com/deathbeds/pidgy,,kernels,12,True,pidgy,deathbeds/pidgy,,https://github.com/deathbeds/pidgy,BSD-3-Clause,2018-02-26 20:44:05.000,2022-07-13 22:05:04.000000,2021-12-14 02:28:59,324.0,,6.0,5.0,49.0,8.0,12.0,34.0,2020-04-23 22:26:32.000,2020.4.23,1.0,11.0,9.0,,,3.0,https://pypi.org/project/pidgy,2021-11-27 00:19:00.000,,11.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
268,Remote User Auth,REMOTE_USER authenticator for Jupyterhub.,https://github.com/cwaldbieser/jhub_remote_user_authenticator,,hub-auth,12,False,jhub_remote_user_authenticator,cwaldbieser/jhub_remote_user_authenticator,,https://github.com/cwaldbieser/jhub_remote_user_authenticator,GPL-3.0,2015-11-04 03:17:18.000,2022-03-31 20:04:45.000000,2019-04-16 20:10:44,27.0,,25.0,3.0,7.0,8.0,11.0,33.0,2018-09-27 22:26:32.000,0.1.0,,1076.0,3.0,1.0,,5.0,https://pypi.org/project/jhub_remote_user_authenticator,2018-09-27 22:26:32.000,1.0,1076.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
269,ICSharp,C# kernel for Jupyter.,https://github.com/zabirauf/icsharp,,kernels,11,False,,zabirauf/icsharp,,https://github.com/zabirauf/icsharp,Apache-2.0,2014-09-22 07:57:50.000,2022-06-22 17:44:39.000000,2018-09-23 04:19:45,45.0,,57.0,19.0,19.0,33.0,13.0,265.0,,,,,,,,10.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
