,name,description,homepage,resource,category,projectrank,show,pypi_id,github_id,conda_id,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,license,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,updated_github_id,conda_dependent_project_count,cran_id,go_id,go_url,go_latest_release_published_at,go_dependent_project_count,pypi,gem_id,hex_id,bitbucket_id
26,Perspective,"A data visualization and analytics component, especially well-suited for large and/or streaming datasets.",https://github.com/finos/perspective,,lab-extensions,31,True,perspective-python,finos/perspective,conda-forge/perspective,https://github.com/finos/perspective,2017-11-02 16:27:54.000,2022-05-19 03:26:06.000000,2022-05-19 03:26:05,5169.0,146.0,468.0,100.0,1236.0,86.0,439.0,4500.0,2022-05-10 01:50:43.164,1.3.12,,8056.0,76.0,255.0,246.0,69.0,https://pypi.org/project/perspective-python,Apache-2.0,2022-03-14 20:14:01.000,9.0,2728.0,https://anaconda.org/conda-forge/perspective,2022-05-18 17:48:37.412,59258.0,1.0,@finos/perspective-jupyterlab,https://www.npmjs.com/package/@finos/perspective-jupyterlab,2022-05-13 22:12:24.034,,2752.0,,,,,,,,,,,,,,,,,
27,bqplot,Plotting library for IPython/Jupyter notebooks.,https://github.com/bqplot/bqplot,,widgets,31,True,bqplot,bqplot/bqplot,conda-forge/bqplot,https://github.com/bqplot/bqplot,2015-09-26 04:02:18.000,2022-05-09 07:18:11.000000,2022-05-09 07:18:07,3519.0,22.0,458.0,108.0,933.0,228.0,357.0,3302.0,2022-02-11 15:29:07.544,0.5.34,,108834.0,100.0,132.0,30.0,57.0,https://pypi.org/project/bqplot,Apache-2.0,2022-02-11 15:27:16.000,92.0,69812.0,https://anaconda.org/conda-forge/bqplot,2022-02-11 15:47:15.986,962704.0,1.0,bqplot,https://www.npmjs.com/package/bqplot,2022-02-11 15:29:07.544,10.0,25652.0,,,,,,,,,,,,,,,,,
28,jupyter-matplotlib,Matplotlib Jupyter Integration.,https://github.com/matplotlib/ipympl,,widgets,31,True,ipympl,matplotlib/ipympl,conda-forge/ipympl,https://github.com/matplotlib/ipympl,2016-07-21 14:38:56.000,2022-05-16 17:13:13.000000,2022-04-25 11:51:48,468.0,31.0,183.0,42.0,217.0,110.0,141.0,1280.0,2022-04-25 12:06:36.481,0.11.1,,154532.0,47.0,3189.0,3108.0,27.0,https://pypi.org/project/ipympl,BSD-3-Clause,2022-04-25 12:03:10.000,81.0,98622.0,https://anaconda.org/conda-forge/ipympl,2022-04-25 12:22:35.098,927390.0,1.0,jupyter-matplotlib,https://www.npmjs.com/package/jupyter-matplotlib,2022-04-25 12:06:36.481,,41420.0,,,,,,,,,,,,,,,,,
29,sparkmagic,Jupyter magics and kernels for working with remote Spark clusters.,https://github.com/jupyter-incubator/sparkmagic,,magic,31,True,sparkmagic,jupyter-incubator/sparkmagic,conda-forge/sparkmagic,https://github.com/jupyter-incubator/sparkmagic,2015-09-21 15:35:25.000,2022-05-09 18:27:42.421000,2022-05-02 22:12:52,1212.0,36.0,398.0,52.0,368.0,138.0,269.0,1122.0,2022-05-02 22:18:06.000,0.20.0,,37087.0,50.0,256.0,236.0,57.0,https://pypi.org/project/sparkmagic,BSD-3-Clause,2022-05-02 22:18:06.000,20.0,36352.0,https://anaconda.org/conda-forge/sparkmagic,2022-05-09 18:27:42.421,41921.0,1.0,,,,,,,,,,,,,,,,,,,,,,
30,Contrib NBextensions,A collection of various notebook extensions for Jupyter.,https://github.com/ipython-contrib/jupyter_contrib_nbextensions,,jupyter-extensions,30,False,jupyter_contrib_nbextensions,ipython-contrib/jupyter_contrib_nbextensions,conda-forge/jupyter_contrib_nbextensions,https://github.com/ipython-contrib/jupyter_contrib_nbextensions,2013-07-13 17:05:16.000,2022-04-14 08:30:10.000000,2021-04-06 05:51:36,2608.0,,753.0,141.0,825.0,333.0,450.0,4829.0,2019-01-02 12:23:07.000,0.5.1,,380967.0,16.0,251.0,,126.0,https://pypi.org/project/jupyter_contrib_nbextensions,BSD-3-Clause,2018-03-28 11:04:12.000,251.0,362752.0,https://anaconda.org/conda-forge/jupyter_contrib_nbextensions,2021-03-05 08:03:36.764,1256900.0,1.0,,,,,,,,,,,,,,,,,,,,,,
31,D-Tale,Visualizer for Pandas Data Structures.,https://github.com/man-group/dtale,,widgets,30,False,dtale,man-group/dtale,conda-forge/dtale,https://github.com/man-group/dtale,2019-07-15 09:34:48.000,2022-05-08 15:20:48.899000,2022-05-08 14:23:22,598.0,35.0,273.0,65.0,205.0,40.0,422.0,3403.0,2022-05-08 14:50:41.000,2.4.0,,63411.0,146.0,380.0,368.0,23.0,https://pypi.org/project/dtale,LGPL-2.1,2022-05-08 14:45:40.000,12.0,59174.0,https://anaconda.org/conda-forge/dtale,2022-05-08 15:20:48.899,114407.0,2.0,,,,,,,,,,,,,,,,,,,,,,
32,dtale,Visualizer for pandas data structures.,https://github.com/man-group/dtale,,jupyter-extensions,30,False,dtale,man-group/dtale,conda-forge/dtale,https://github.com/man-group/dtale,2019-07-15 09:34:48.000,2022-05-08 15:20:48.899000,2022-05-08 14:23:22,598.0,35.0,273.0,65.0,205.0,40.0,422.0,3403.0,2022-05-08 14:50:41.000,2.4.0,,63411.0,146.0,380.0,368.0,23.0,https://pypi.org/project/dtale,LGPL-2.1,2022-05-08 14:45:40.000,12.0,59174.0,https://anaconda.org/conda-forge/dtale,2022-05-08 15:20:48.899,114407.0,1.0,,,,,,,,,,,,,,,,,,,,,,
33,RISE,RISE: Live Reveal.js Jupyter/IPython Slideshow Extension.,https://github.com/damianavila/RISE,,notebook-sharing,30,True,RISE,damianavila/RISE,conda-forge/rise,https://github.com/damianavila/RISE,2013-08-26 18:55:36.000,2022-03-28 15:29:03.000000,2022-03-28 15:25:07,751.0,11.0,393.0,80.0,194.0,142.0,283.0,3268.0,2020-10-29 01:31:20.000,5.7.1,,13468.0,30.0,2030.0,1863.0,41.0,https://pypi.org/project/RISE,BSD-3-Clause,2022-03-28 15:29:03.000,167.0,9600.0,https://anaconda.org/conda-forge/rise,2021-11-16 18:12:02.058,196133.0,2.0,rise-reveal,https://www.npmjs.com/package/rise-reveal,2019-07-03 12:51:16.722,,23.0,,,,,,,,,,,,,,,,,
34,Jupyter Book,"Create beautiful, publication-quality books and documents from computational content.",https://github.com/executablebooks/jupyter-book,,notebook-sharing,30,True,jupyter-book,executablebooks/jupyter-book,conda-forge/jupyter-book,https://github.com/executablebooks/jupyter-book,2018-06-14 01:55:51.000,2022-05-19 12:53:57.000000,2022-05-19 12:53:57,1361.0,33.0,478.0,62.0,642.0,416.0,643.0,2826.0,2022-04-04 03:32:06.000,0.12.3,,48519.0,40.0,54.0,,106.0,https://pypi.org/project/jupyter-book,BSD-3-Clause,2022-04-04 03:32:06.000,54.0,47559.0,https://anaconda.org/conda-forge/jupyter-book,2022-04-04 13:05:37.264,14409.0,2.0,,,,,,,,,,,,,,,,,,,,,,
35,elyra,Elyra extends JupyterLab with an AI centric approach.,https://github.com/elyra-ai/elyra,,lab-extensions,30,True,elyra,elyra-ai/elyra,conda-forge/elyra,https://github.com/elyra-ai/elyra,2019-10-22 21:37:58.000,2022-05-18 22:27:14.000000,2022-05-17 19:53:15,1625.0,129.0,228.0,47.0,1242.0,212.0,1207.0,1334.0,2022-05-03 23:19:45.733,3.8.1,,4320.0,100.0,38.0,31.0,46.0,https://pypi.org/project/elyra,Apache-2.0,2022-05-03 23:15:14.000,3.0,1973.0,https://anaconda.org/conda-forge/elyra,2022-05-05 15:50:43.734,10683.0,1.0,@elyra/services,https://www.npmjs.com/package/@elyra/services,2022-05-03 23:19:45.733,4.0,1839.0,,,,,,,,,,,,,,,,,
