,name,description,homepage,resource,category,projectrank,show,pypi_id,github_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,npm_id,npm_url,npm_monthly_downloads,dockerhub_id,pypi_latest_release_published_at,pypi_dependent_project_count,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,conda_dependent_project_count,updated_github_id,npm_latest_release_published_at,npm_dependent_project_count,trending,pypi,cran_id,go_id,go_url,go_latest_release_published_at,go_dependent_project_count,gem_id,hex_id,bitbucket_id
182,ipyregulartable,"High performance, editable, stylable datagrids in jupyter and jupyterlab.",https://github.com/finos/ipyregulartable,,widgets,17,True,ipyregulartable,jpmorganchase/ipyregulartable,conda-forge/ipyregulartable,https://github.com/finos/ipyregulartable,Apache-2.0,2020-06-15 21:45:08.000,2023-10-07 23:53:19.000000,2023-10-07 23:53:18,227.0,6.0,15.0,7.0,87.0,10.0,17.0,95.0,,,,54083.0,6.0,13.0,13.0,5.0,https://pypi.org/project/ipyregulartable,80.0,https://anaconda.org/conda-forge/ipyregulartable,2023-06-16 19:23:44.012,5424.0,3.0,@jupyter-widgets/jupyterlab-manager,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-manager,53849.0,,,,,,,,,finos/ipyregulartable,,,,,,,,,,,,
183,sphinxcontrib.jupyter,A Sphinx Extension for Generating Jupyter Notebooks.,https://github.com/QuantEcon/sphinxcontrib-jupyter,,notebook-tools,17,False,sphinxcontrib-jupyter,QuantEcon/sphinxcontrib-jupyter,,https://github.com/QuantEcon/sphinxcontrib-jupyter,BSD-3-Clause,2017-10-12 04:04:05.000,2022-02-09 08:46:28.000000,2020-06-18 03:28:01,269.0,,23.0,10.0,159.0,88.0,93.0,73.0,2020-06-18 03:31:10.000,0.5.10,,343.0,23.0,38.0,34.0,13.0,https://pypi.org/project/sphinxcontrib-jupyter,343.0,,,,3.0,,,,,2020-06-18 03:31:10.000,4.0,,,,,,,,,,,,,,,,,,
184,JupyterLab Kernelspy,A Jupyter Lab extension for inspecting messages to/from a kernel.,https://github.com/jupyterlab-contrib/jupyterlab-kernelspy,,lab-extensions,17,True,jupyterlab-kernelspy,jupyterlab-contrib/jupyterlab-kernelspy,conda-forge/jupyterlab-kernelspy,https://github.com/jupyterlab-contrib/jupyterlab-kernelspy,BSD-3-Clause,2018-04-20 16:11:58.000,2023-10-08 08:15:21.000000,2023-10-08 08:15:20,158.0,15.0,11.0,7.0,78.0,2.0,11.0,72.0,2023-08-30 15:49:27.000,4.0.0,19.0,915.0,23.0,8.0,6.0,6.0,https://pypi.org/project/jupyterlab-kernelspy,270.0,https://anaconda.org/conda-forge/jupyterlab-kernelspy,2023-08-30 16:54:25.412,11403.0,3.0,jupyterlab-kernelspy,https://www.npmjs.com/package/jupyterlab-kernelspy,223.0,,2023-08-30 15:49:23.000,,,,,,,,2023-08-30 15:49:13.452,2.0,,,,,,,,,,
185,Altair Viewer,Viewer for Altair and Vega-Lite visualizations.,https://github.com/altair-viz/altair_viewer,,widgets,17,True,altair_viewer,altair-viz/altair_viewer,conda-forge/altair_viewer,https://github.com/altair-viz/altair_viewer,BSD-3-Clause,2019-12-20 14:32:14.000,2023-06-16 19:17:31.930000,2023-05-02 16:09:30,149.0,,11.0,7.0,48.0,6.0,5.0,71.0,2021-11-06 14:18:45.000,0.4.0,,28308.0,7.0,14.0,,3.0,https://pypi.org/project/altair_viewer,26672.0,https://anaconda.org/conda-forge/altair_viewer,2023-06-16 19:17:31.930,73625.0,3.0,,,,,2021-11-06 14:16:09.000,14.0,,,,,,,,,,,,,,,,,,
186,First Use Authenticator,JupyterHub Authenticator that lets users set passwords when they first log in.,https://github.com/jupyterhub/firstuseauthenticator,,hub-auth,17,True,jupyterhub-firstuseauthenticator,jupyterhub/firstuseauthenticator,,https://github.com/jupyterhub/firstuseauthenticator,BSD-3-Clause,2016-10-25 03:09:14.000,2023-06-30 06:50:09.000000,2023-06-30 06:50:08,100.0,,27.0,5.0,29.0,9.0,17.0,46.0,2021-10-28 11:35:32.000,1.0.0,,3129.0,8.0,88.0,85.0,12.0,https://pypi.org/project/jupyterhub-firstuseauthenticator,3129.0,,,,2.0,,,,,2021-10-28 11:35:32.000,3.0,,,,,,,,,,,,,,,,,,
187,SudoSpawner,Spawn JupyterHub single-user servers with sudo.,https://github.com/jupyterhub/sudospawner,,hub-spawners,17,False,sudospawner,jupyterhub/sudospawner,,https://github.com/jupyterhub/sudospawner,BSD-3-Clause,2014-11-24 23:21:36.000,2022-12-07 12:46:17.000000,2021-09-10 08:58:36,115.0,,38.0,11.0,36.0,18.0,21.0,45.0,2018-06-19 13:50:35.000,0.5.2,,674.0,8.0,60.0,56.0,14.0,https://pypi.org/project/sudospawner,674.0,,,,3.0,,,,,2018-06-19 13:50:35.000,4.0,,,,,,,,,,,,,,,,,,
188,geonotebook,A Jupyter notebook extension for geospatial visualization and analysis.,https://github.com/OpenGeoscience/geonotebook,,widgets,16,False,,OpenGeoscience/geonotebook,,https://github.com/OpenGeoscience/geonotebook,Apache-2.0,2016-07-26 19:48:45.000,2019-01-21 18:59:02.250643,2019-01-21 15:53:00,647.0,,136.0,68.0,90.0,37.0,46.0,1081.0,,,,1509.0,,,,9.0,,,,,,3.0,,,,geonotebook/geonotebook,,,https://hub.docker.com/r/geonotebook/geonotebook,2019-01-21 18:59:02.250643,9.0,131299.0,,,,,,,,,,,,,,
189,clojupyter,a Jupyter kernel for Clojure.,https://github.com/clojupyter/clojupyter,,kernels,16,True,,clojupyter/clojupyter,simplect/clojupyter,https://github.com/clojupyter/clojupyter,MIT,2014-05-09 07:09:06.000,2023-07-20 06:35:35.164000,2022-11-06 15:47:40,299.0,,82.0,38.0,59.0,17.0,86.0,793.0,,,,70.0,8.0,,,26.0,,,https://anaconda.org/simplect/clojupyter,2023-07-20 06:35:35.164,3440.0,3.0,,,,simplect/clojupyter,,,https://hub.docker.com/r/simplect/clojupyter,2019-04-25 08:25:07.304303,,414.0,,,,,,,,,,,,,,
190,jupyter-tabnine,Autocompletion with Deep Learning on Jupyter Notebook.,https://github.com/codota/jupyter-tabnine,,jupyter-extensions,16,False,jupyter-tabnine,codota/jupyter-tabnine,,https://github.com/codota/jupyter-tabnine,MIT,2019-09-07 00:30:49.000,2023-02-05 13:08:34.000000,2021-08-23 11:44:08,105.0,,117.0,18.0,16.0,42.0,28.0,783.0,2021-08-23 11:45:07.000,1.2.3,,4940.0,8.0,,,10.0,https://pypi.org/project/jupyter-tabnine,4940.0,,,,3.0,,,,,2021-08-23 11:45:07.000,,,,,,,,,,,,,,,,,,,
191,jupyter-notify,A Jupyter Notebook magic for browser notifications of cell completion.,https://github.com/ShopRunner/jupyter-notify,,magic,16,False,jupyternotify,ShopRunner/jupyter-notify,,https://github.com/ShopRunner/jupyter-notify,BSD-3-Clause,2017-06-01 14:08:55.000,2022-08-09 17:30:42.000000,2021-04-27 14:56:38,57.0,,38.0,69.0,26.0,13.0,12.0,574.0,2018-01-08 14:51:41.000,0.1.15,,1100.0,4.0,,,11.0,https://pypi.org/project/jupyternotify,1100.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
