,name,description,homepage,resource,category,projectrank,show,github_id,pypi_id,conda_id,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,license,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,updated_github_id,cran_id,go_id,go_url,go_latest_release_published_at,go_dependent_project_count,pypi,gem_id,hex_id,bitbucket_id
27,Jupyter Book,"Create beautiful, publication-quality books and documents from computational content.",https://github.com/executablebooks/jupyter-book,,notebook-sharing,30,True,executablebooks/jupyter-book,jupyter-book,,https://github.com/executablebooks/jupyter-book,2018-06-14 01:55:51.000000,2022-01-12 19:10:58.000000,2022-01-12 19:10:58.000000,1318.0,29.0,437.0,60.0,592.0,385.0,596.0,2619.0,2021-11-19 04:33:20.000000,0.12.1,,28312.0,38.0,47.0,,99.0,https://pypi.org/project/jupyter-book,BSD-3-Clause,2021-11-19 04:33:20.000000,47.0,28312.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
28,nbdime,Tools for diffing and merging of Jupyter notebooks.,https://github.com/jupyter/nbdime,,notebook-sharing,30,True,jupyter/nbdime,nbdime,conda-forge/nbdime,https://github.com/jupyter/nbdime,2015-11-16 09:25:53.000000,2021-11-03 11:51:17.000000,2021-11-03 11:51:16.000000,1952.0,8.0,133.0,46.0,336.0,67.0,218.0,2146.0,2021-10-25 23:48:13.575000,2.1.1,,239096.0,27.0,204.0,63.0,34.0,https://pypi.org/project/nbdime,BSD-3-Clause,2021-10-25 23:22:53.000000,141.0,176496.0,https://anaconda.org/conda-forge/nbdime,2021-10-26 17:29:52.628000,427659.0,2.0,,,,,,,nbdime-jupyterlab,https://www.npmjs.com/package/nbdime-jupyterlab,2021-10-25 23:48:13.575000,,55590.0,,,,,,,,,,,
29,KubeSpawner,Kubernetes spawner for JupyterHub.,https://github.com/jupyterhub/kubespawner,,hub-spawners,30,True,jupyterhub/kubespawner,jupyterhub-kubespawner,,https://github.com/jupyterhub/kubespawner,2015-11-21 07:02:52.000000,2022-01-05 23:34:17.000000,2022-01-05 23:34:17.000000,1020.0,50.0,240.0,31.0,290.0,58.0,217.0,393.0,2021-11-28 14:50:59.000000,2.0.0,,95549.0,25.0,115.0,101.0,66.0,https://pypi.org/project/jupyterhub-kubespawner,BSD-3-Clause,2021-11-28 14:50:59.000000,14.0,95549.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
30,jupyter_server,"The backendi.e. core services, APIs, and REST endpointsto Jupyter web applications.",https://github.com/jupyter-server/jupyter_server,,components,30,True,jupyter-server/jupyter_server,jupyter_server,conda-forge/jupyter_server,https://github.com/jupyter-server/jupyter_server,2016-09-21 19:18:45.000000,2022-01-12 19:47:52.508000,2022-01-12 16:10:38.000000,12189.0,47.0,148.0,37.0,429.0,78.0,157.0,282.0,2022-01-12 16:11:31.000000,1.13.2,195.0,1000629.0,50.0,,,453.0,https://pypi.org/project/jupyter_server,BSD-3-Clause,2018-07-31 14:15:16.000000,,973648.0,https://anaconda.org/conda-forge/jupyter_server,2022-01-12 19:47:52.508000,1078993.0,3.0,8.0,,,,,,,,,,,,,,,,,,,,,
31,JupyterLab TOC,Table of Contents extension for JupyterLab.,https://github.com/jupyterlab/jupyterlab-toc,,lab-extensions,29,True,jupyterlab/jupyterlab-toc,,,https://github.com/jupyterlab/jupyterlab-toc,2018-03-12 15:55:19.000000,2022-01-12 11:10:44.568000,2021-08-10 23:33:21.000000,523.0,,2207.0,30.0,59.0,64.0,51.0,11716.0,2022-01-12 13:03:53.253000,5.2.7,,91375.0,134.0,171.0,165.0,14.0,,BSD-3-Clause,,,,,,,1.0,,,,,,,@jupyterlab/toc,https://www.npmjs.com/package/@jupyterlab/toc,2022-01-12 11:10:44.568000,6.0,91375.0,,,,,,,,,,,
32,Jupyter Themes,Custom Jupyter Notebook Themes.,https://github.com/dunovank/jupyter-themes,,jupyter-extensions,29,True,dunovank/jupyter-themes,jupyterthemes,,https://github.com/dunovank/jupyter-themes,2014-12-10 23:22:23.000000,2021-12-04 01:00:56.000000,2021-08-23 17:19:38.000000,634.0,,988.0,160.0,75.0,205.0,197.0,8910.0,2018-11-22 17:02:16.000000,0.20.0,,34116.0,116.0,99.0,,42.0,https://pypi.org/project/jupyterthemes,MIT,2018-11-22 17:02:16.000000,99.0,34116.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
33,papermill,"Parameterize, execute, and analyze notebooks.",https://github.com/nteract/papermill,,widgets,29,True,nteract/papermill,papermill,conda-forge/papermill,https://github.com/nteract/papermill,2017-07-06 17:17:53.000000,2021-12-22 18:47:43.000000,2021-12-11 04:46:33.000000,898.0,2.0,338.0,95.0,314.0,99.0,231.0,4489.0,2021-03-09 17:54:04.000000,2.3.3,,396866.0,70.0,2016.0,1847.0,96.0,https://pypi.org/project/papermill,BSD-3-Clause,2021-03-09 17:54:04.000000,169.0,391610.0,https://anaconda.org/conda-forge/papermill,2021-10-21 18:29:28.606000,215513.0,2.0,,,,,,,,,,,,,,,,,,,,,,
34,BeakerX,Beaker Extensions for Jupyter Notebook.,https://github.com/twosigma/beakerx,,notebook-tools,29,True,twosigma/beakerx,beakerx,conda-forge/beakerx,https://github.com/twosigma/beakerx,2013-12-03 14:16:36.000000,2021-12-16 15:02:23.000000,2021-01-21 14:02:57.000000,1689.0,,381.0,126.0,3797.0,343.0,4174.0,2621.0,2021-12-16 15:02:23.000000,2.3.11,31.0,19029.0,53.0,23.0,,81.0,https://pypi.org/project/beakerx,Apache-2.0,2021-12-16 15:02:23.000000,22.0,6572.0,https://anaconda.org/conda-forge/beakerx,2021-11-18 19:15:17.218000,481432.0,2.0,,beakerx/beakerx,https://hub.docker.com/r/beakerx/beakerx,2018-12-02 20:23:21.082606,22.0,244574.0,beakerx,https://www.npmjs.com/package/beakerx,2019-04-06 03:31:02.776000,1.0,678.0,,,,,,,,,,,
35,ipython-sql,"%%sql magic for IPython, hopefully evolving into full SQL client.",https://github.com/catherinedevlin/ipython-sql,,magic,29,True,catherinedevlin/ipython-sql,ipython-sql,conda-forge/ipython-sql,https://github.com/catherinedevlin/ipython-sql,2013-03-20 16:41:10.000000,2021-11-13 15:23:35.182000,2021-06-29 17:43:55.000000,253.0,,237.0,50.0,69.0,102.0,37.0,1477.0,2020-05-02 15:29:58.000000,0.4.0,,65981.0,17.0,2662.0,2595.0,44.0,https://pypi.org/project/ipython-sql,MIT,2020-05-02 15:29:58.000000,67.0,63951.0,https://anaconda.org/conda-forge/ipython-sql,2021-11-13 15:23:35.182000,131995.0,1.0,,,,,,,,,,,,,,,,,,,,,,
36,repo2docker,Turn repositories into Jupyter-enabled Docker images.,https://github.com/jupyterhub/repo2docker,,notebook-tools,29,True,jupyterhub/repo2docker,jupyter-repo2docker,,https://github.com/jupyterhub/repo2docker,2017-05-09 08:36:30.000000,2022-01-11 10:44:28.000000,2022-01-11 10:39:22.000000,2247.0,53.0,293.0,46.0,665.0,167.0,308.0,1290.0,2021-08-24 17:28:11.000000,2021.08.0,,4002.0,17.0,161.0,137.0,102.0,https://pypi.org/project/jupyter-repo2docker,BSD-3-Clause,2021-08-24 16:57:08.000000,24.0,4002.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
37,elyra,Elyra extends JupyterLab Notebooks with an AI centric approach.,https://github.com/elyra-ai/elyra,,lab-extensions,29,True,elyra-ai/elyra,elyra,conda-forge/elyra,https://github.com/elyra-ai/elyra,2019-10-22 21:37:58.000000,2022-01-13 02:45:11.000000,2022-01-08 01:00:57.000000,1434.0,114.0,199.0,43.0,1057.0,232.0,1048.0,1194.0,2022-01-08 01:04:21.000000,3.4.1,,2191.0,83.0,31.0,28.0,38.0,https://pypi.org/project/elyra,Apache-2.0,2022-01-08 01:04:21.000000,3.0,1657.0,https://anaconda.org/conda-forge/elyra,2021-04-27 19:22:26.105000,9089.0,1.0,,,,,,,,,,,,,,,,,,,,,,
38,sparkmagic,Jupyter magics and kernels for working with remote Spark clusters.,https://github.com/jupyter-incubator/sparkmagic,,magic,29,True,jupyter-incubator/sparkmagic,sparkmagic,conda-forge/sparkmagic,https://github.com/jupyter-incubator/sparkmagic,2015-09-21 15:35:25.000000,2021-12-16 20:46:07.000000,2021-09-09 18:47:00.000000,1163.0,,370.0,50.0,360.0,131.0,257.0,1077.0,2021-08-27 16:28:41.000000,0.19.1,,36887.0,48.0,244.0,224.0,54.0,https://pypi.org/project/sparkmagic,BSD-3-Clause,2021-08-19 13:52:26.000000,20.0,36171.0,https://anaconda.org/conda-forge/sparkmagic,2021-08-17 12:12:12.530000,37962.0,1.0,,,,,,,,,,,,,,,,,,,,,,
39,JupyterLab Git,A Git extension for JupyterLab.,https://github.com/jupyterlab/jupyterlab-git,,lab-extensions,29,True,jupyterlab/jupyterlab-git,jupyterlab-git,conda-forge/jupyterlab-git,https://github.com/jupyterlab/jupyterlab-git,2017-06-20 17:31:00.000000,2022-01-10 12:04:07.406000,2022-01-10 08:07:22.000000,1735.0,13.0,215.0,37.0,550.0,87.0,418.0,1022.0,2022-01-10 08:13:48.000000,0.34.1,,94517.0,51.0,34.0,14.0,69.0,https://pypi.org/project/jupyterlab-git,BSD-3-Clause,2022-01-10 08:13:48.000000,20.0,91400.0,https://anaconda.org/conda-forge/jupyterlab-git,2022-01-10 12:04:07.406000,115341.0,1.0,,,,,,,,,,,,,,,,,,,,,,
40,JupyterLab Debugger,"A visual debugger for Jupyter notebooks, consoles, and source files.",https://github.com/jupyterlab/debugger,,lab-extensions,28,True,jupyterlab/debugger,,,https://github.com/jupyterlab/debugger,2019-07-19 18:19:17.000000,2022-01-12 11:05:50.739000,2021-03-31 14:20:34.000000,1174.0,,2207.0,23.0,321.0,30.0,245.0,11716.0,2022-01-12 12:59:04.434000,3.2.7,,73404.0,143.0,2.0,,11.0,,BSD-3-Clause,,,,,,,1.0,,,,,,,@jupyterlab/debugger,https://www.npmjs.com/package/@jupyterlab/debugger,2022-01-12 11:05:50.739000,2.0,73404.0,,,,,,,,,,,
41,facets-overview,Visualizations for machine learning datasets.,https://github.com/PAIR-code/facets,,widgets,28,True,pair-code/facets,facets-overview,,https://github.com/PAIR-code/facets,2017-07-07 14:03:03.000000,2021-11-29 10:48:23.000000,2021-05-06 12:01:05.000000,264.0,,834.0,276.0,93.0,76.0,76.0,6754.0,2019-07-24 15:57:06.000000,1.0.0,,103578.0,4.0,99.0,95.0,28.0,https://pypi.org/project/facets-overview,Apache-2.0,2019-07-24 15:57:06.000000,4.0,103578.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
42,RISE,RISE: Live Reveal.js Jupyter/IPython Slideshow Extension.,https://github.com/damianavila/RISE,,notebook-sharing,28,True,damianavila/RISE,RISE,conda-forge/rise,https://github.com/damianavila/RISE,2013-08-26 18:55:36.000000,2021-12-23 15:55:32.000000,2021-11-26 23:05:35.000000,739.0,2.0,367.0,81.0,192.0,135.0,280.0,3168.0,2020-10-29 01:31:20.000000,5.7.1,,15705.0,28.0,1898.0,1735.0,40.0,https://pypi.org/project/RISE,BSD-3-Clause,2020-10-29 01:31:20.000000,163.0,11762.0,https://anaconda.org/conda-forge/rise,2021-11-16 18:12:02.058000,185352.0,2.0,,,,,,,,,,,,,,,,,,,,,,
